accession	pool	n_samples	cu_cu_mean	cu_cu_sd	cu_cu_min	cu_cu_max	cu1_plddt_mean	cu1_plddt_sd	cu2_plddt_mean	cu2_plddt_sd	n_coordinating_his_values	his_agreement	min_coord_his_plddt_mean	min_coord_his_plddt_sd	n_canonical	all_canonical	any_canonical
A0A8H4PWQ3	canonical	5	4.3823	0.0676	4.2905	4.4735	97.2300	0.0742	95.4520	0.1741	6	yes	94.3240	0.4958	5	yes	yes
A0A8H4PYE1	canonical	5	4.1855	0.0568	4.0892	4.2234	94.7480	0.1071	93.6180	0.1569	6	yes	93.3700	0.1257	5	yes	yes
A0A8H4PYJ1	canonical	5	4.2216	0.0789	4.1402	4.3486	95.9620	0.1386	93.0540	0.2503	6	yes	95.7760	0.2272	5	yes	yes
A0A8H4Q371	canonical	5	4.2266	0.0449	4.1844	4.2937	95.9680	0.0622	94.6080	0.1256	6	yes	94.2780	0.1669	5	yes	yes
A0A8H4Q5Y0	canonical	5	4.2373	0.1006	4.1349	4.3927	92.1060	0.2964	89.0760	0.4608	6	yes	82.4760	1.4640	5	yes	yes
A0A8H4Q7B4	canonical	5	4.0156	0.1022	3.9034	4.1680	96.3420	0.1171	93.5580	0.3004	6	yes	94.4100	0.7334	5	yes	yes
A0A8H4QB03	discarded	5	13.6265	7.4928	9.7352	27.0135	83.3380	0.5635	50.7340	7.4219	4	yes	72.3840	8.2689	0	no	no
A0A8H4QE39	canonical	5	4.2936	0.0788	4.1896	4.3724	94.9520	0.3109	91.0820	0.8552	6	yes	89.6020	0.7341	5	yes	yes
A0A8H4QLM8	discarded	5	4.0335	0.1760	3.8392	4.3116	93.9200	0.3987	77.5100	0.7419	5	yes	91.9140	0.6303	0	no	no
A0A8H4QR39	noncanonical	5	10.2833	15.0589	3.4258	37.2212	92.2940	0.5377	68.8400	24.3755	5	yes	90.7820	5.8168	0	no	no
A0A8H4QV49	canonical	5	3.7510	0.0816	3.6492	3.8415	98.2360	0.0230	97.4120	0.0545	6	yes	98.5540	0.0391	5	yes	yes
A0A8H4QXJ4	canonical	5	3.8716	0.0293	3.8397	3.9032	97.8800	0.0187	97.4720	0.0164	6	yes	97.1960	0.0522	5	yes	yes
A0A8H4QY85	canonical	5	4.1048	0.0395	4.0609	4.1526	98.1960	0.0410	97.4340	0.0451	6	yes	98.4880	0.0319	5	yes	yes
A0A8H4R0R5	canonical	5	4.1678	0.0567	4.1214	4.2590	97.2760	0.0891	96.8760	0.0871	6	yes	97.3160	0.0607	5	yes	yes
A0A8H4R4D3	canonical	5	4.0911	0.0519	4.0359	4.1443	95.7500	0.1179	94.2320	0.1465	6	yes	87.9860	0.5250	5	yes	yes
A0A8H4R646	canonical	5	4.0081	0.0315	3.9742	4.0431	96.0020	0.0743	93.9840	0.1318	6	yes	93.0620	0.4153	5	yes	yes
A0A8H4RB41	discarded	5	21.0173	10.5604	7.4812	31.1545	85.4140	1.1568	41.2440	15.2425	3,4	no	79.9600	7.3881	0	no	no
A0A8H4RCD7	canonical	5	4.4767	0.1219	4.2863	4.6261	90.2440	0.2159	80.3720	1.1149	6	yes	73.0460	2.2354	4	no	yes
A0A8H4RCV6	discarded	5	8.9492	4.0894	3.2149	13.7941	76.2180	0.8878	23.4220	1.4423	3,4	no	68.9960	14.8945	0	no	no
A0A8H4RD19	canonical	5	3.9603	0.0561	3.8853	4.0248	93.3660	0.1531	90.4400	0.2032	6	yes	85.7640	0.8248	5	yes	yes
A0A8H4REF5	canonical	5	4.1789	0.0563	4.1018	4.2584	94.2840	0.1993	90.2560	0.2975	6	yes	90.8060	0.4411	5	yes	yes
A0A8H4RGI4	canonical	5	3.9958	0.0502	3.9293	4.0488	94.5160	0.1016	92.8500	0.1190	6	yes	89.4440	0.4084	5	yes	yes
A0A8H4RK75	noncanonical	5	4.0210	0.0381	3.9982	4.0884	96.2600	0.0949	94.3540	0.0826	5	yes	96.2300	0.1920	0	no	no
A0A8H4RQF7	canonical	5	3.7910	0.0267	3.7667	3.8360	97.8780	0.0228	97.4040	0.0358	6	yes	98.7400	0.0158	5	yes	yes
A0A8H4RSF8	canonical	5	4.0659	0.0598	3.9981	4.1344	96.9960	0.0564	95.7060	0.2182	6	yes	96.3740	0.1313	5	yes	yes
A0A8H4RVR8	canonical	5	4.1080	0.0616	4.0352	4.1915	94.4140	0.1949	89.4720	0.3124	6	yes	86.1600	1.1098	5	yes	yes
A0A8H4RXM0	noncanonical	5	3.7025	0.0522	3.6201	3.7523	94.2460	0.4833	93.3400	0.2970	5	yes	86.9060	2.2626	0	no	no
A0A8H4RXW4	canonical	5	4.4491	0.0646	4.3480	4.5261	92.2040	1.2241	91.1940	1.3123	6	yes	94.7300	1.1285	5	yes	yes
A0A8H4RYR9	discarded	5	20.7970	1.8549	19.3856	23.7354	83.0700	0.3007	68.9440	1.1763	4	yes	85.9820	0.1763	0	no	no
A0A8H4SPQ6	discarded	5	10.6138	7.7676	4.0138	23.5392	48.7540	4.1677	23.3940	1.8558	3,4	no	51.9940	2.2691	0	no	no
A0A8H4SQZ4	canonical	5	4.0402	0.0919	3.9403	4.1557	91.2860	0.2509	85.4600	0.3021	6	yes	81.1640	0.9676	5	yes	yes
A0A8H4SVI5	canonical	5	4.2127	0.0306	4.1729	4.2488	98.1420	0.0084	97.1940	0.0416	6	yes	98.1680	0.0396	5	yes	yes
A0A8H4SVT9	canonical	5	4.3029	0.0959	4.2230	4.4574	93.1960	0.2643	86.5240	0.5032	6	yes	88.2520	0.3911	5	yes	yes
A0A8H4SX43	canonical	5	4.0971	0.0400	4.0592	4.1398	93.8640	0.1668	91.3420	0.1959	6	yes	91.4820	0.3443	5	yes	yes
A0A8H4SZ29	canonical	5	4.2234	0.0530	4.1640	4.2837	89.1040	0.3890	83.7660	0.3535	6	yes	82.6480	0.4732	5	yes	yes
A0A8H4T3A8	canonical	5	3.9834	0.0261	3.9467	4.0138	97.8520	0.0536	97.6820	0.0572	6	yes	97.4620	0.1003	5	yes	yes
A0A8H4T4S3	canonical	5	3.9640	0.0572	3.8803	4.0221	91.2780	0.4729	88.6000	0.4160	6	yes	90.6800	0.7170	5	yes	yes
A0A8H4T571	canonical	5	3.9200	0.0816	3.8343	4.0462	93.6680	0.1479	88.5800	0.3020	6	yes	89.1960	0.4894	5	yes	yes
A0A8H4TAU8	canonical	5	4.1346	0.0343	4.0938	4.1744	97.9100	0.0620	97.8340	0.0434	6	yes	97.0760	0.0896	5	yes	yes
A0A8H4TMG2	canonical	5	4.1967	0.0613	4.1457	4.3016	97.8900	0.0339	97.4940	0.0336	6	yes	98.7000	0.0224	5	yes	yes
A0A8H4TN67	canonical	5	4.0465	0.0619	3.9518	4.1048	97.2540	0.0907	97.2060	0.0439	6	yes	98.4640	0.0546	5	yes	yes
A0A8H4U9U3	canonical	5	4.1060	0.0727	4.0137	4.1800	96.9720	0.1252	93.9020	0.3939	6	yes	95.5020	0.7014	5	yes	yes
A0A8H4UHJ6	canonical	5	4.4670	0.0853	4.3849	4.6100	98.2460	0.0351	97.7620	0.0698	6	yes	98.2540	0.0865	5	yes	yes
A0A8H4UN72	canonical	5	4.2017	0.0479	4.1342	4.2553	91.1800	0.4558	86.3280	0.7881	6	yes	84.9700	0.6561	5	yes	yes
A0A8H4UR38	canonical	5	4.0395	0.0432	3.9869	4.0878	87.7620	0.7254	73.6600	1.3747	6	yes	78.8000	0.9375	5	yes	yes
A0A8H4V5M0	discarded	5	17.4282	8.9462	3.0021	24.3973	92.7900	1.0732	49.5760	5.8679	3	yes	88.5360	0.5305	0	no	no
A0A8H4V879	canonical	5	3.7056	0.0402	3.6571	3.7538	96.2160	0.0885	94.6720	0.0920	6	yes	97.8320	0.0722	5	yes	yes
A0A8H4VD00	canonical	5	4.0971	0.0550	4.0392	4.1566	97.5020	0.0449	95.7480	0.1033	6	yes	95.0540	0.1419	5	yes	yes
A0A8H4VEK6	canonical	5	3.8653	0.0304	3.8304	3.9020	92.7080	0.2754	89.2420	0.4983	6	yes	85.7180	0.4355	5	yes	yes
A0A8H4VEL5	canonical	5	4.2909	0.0449	4.2422	4.3399	98.1740	0.0358	97.8700	0.0430	6	yes	97.7880	0.0909	5	yes	yes
A0A8H4VFC3	canonical	5	4.4542	0.0558	4.3685	4.5017	94.7980	0.2555	91.3780	0.4272	6	yes	91.7160	0.6473	5	yes	yes
A0A8H4VIV0	canonical	5	4.0143	0.1284	3.8023	4.1448	96.2040	0.2493	92.2460	0.8960	6	yes	88.4180	1.1009	5	yes	yes
A0A8H4VJ57	canonical	5	4.1664	0.2905	3.9669	4.6703	76.1320	3.3579	67.5880	8.2346	6	yes	89.5080	0.2743	5	yes	yes
A0A8H4VJZ4	discarded	5	4.3154	0.2319	4.0166	4.6579	85.6820	0.4532	56.9900	1.5115	5	yes	75.1920	0.6663	0	no	no
A0A8H4VQE1	canonical	5	3.8981	0.0374	3.8534	3.9554	97.4840	0.0329	97.3140	0.0358	6	yes	96.3520	0.0942	5	yes	yes
A0A8H4VSB1	canonical	5	4.1730	0.0407	4.1320	4.2278	98.2600	0.0235	97.2520	0.0259	6	yes	98.2540	0.0336	5	yes	yes
A0A8H4VW33	discarded	5	3.4433	0.9934	2.5666	4.9811	88.8220	0.7007	57.5800	5.6611	3	yes	86.9340	1.3881	0	no	no
A0A8H4W2C0	canonical	5	4.2986	0.1117	4.1137	4.3985	92.4200	0.1754	87.8980	0.4713	6	yes	90.1080	0.5054	5	yes	yes
A0A8H4W3I3	discarded	5	33.0468	0.5295	32.7219	33.9892	68.9600	1.2983	23.2840	1.1861	3	yes	59.7800	1.2627	0	no	no
A0A8H4W5E3	canonical	5	4.1731	0.0507	4.1154	4.2350	98.0360	0.0351	97.4420	0.0356	6	yes	98.0100	0.0453	5	yes	yes
A0A8H4W5K7	canonical	5	3.8907	0.0313	3.8636	3.9370	94.4880	0.1854	91.4440	0.3598	6	yes	89.3240	0.4876	5	yes	yes
A0A8H4W988	canonical	5	4.1993	0.0687	4.0894	4.2595	87.8360	1.0465	79.3540	1.1940	6	yes	82.0660	0.5823	5	yes	yes
A0A8H4WA62	canonical	5	4.1525	0.0629	4.0723	4.2361	96.1040	0.0594	93.0520	0.1941	6	yes	94.0560	0.1679	5	yes	yes
A0A8H4WPP8	canonical	5	4.1321	0.0603	4.0611	4.2138	97.0740	0.1060	93.7020	0.3120	6	yes	95.9120	0.4272	5	yes	yes
A0A8H4WW32	canonical	5	4.0066	0.0166	3.9910	4.0319	94.8900	0.2811	91.2880	0.4164	6	yes	86.3380	0.5318	5	yes	yes
A0A8H4WWH2	canonical	5	4.0836	0.0405	4.0288	4.1169	97.9340	0.0195	98.0640	0.0182	6	yes	98.2920	0.0303	5	yes	yes
A0A8H4X0V2	canonical	5	4.0571	0.1392	3.9379	4.2753	94.2160	0.2921	90.7280	0.5108	6	yes	86.1580	1.0481	5	yes	yes
A0A8H4X204	canonical	5	4.0580	0.0595	3.9602	4.1088	97.6240	0.0195	97.0260	0.0378	6	yes	95.0500	0.4593	5	yes	yes
A0A8H4X3P9	canonical	5	4.0993	0.0307	4.0648	4.1420	98.4040	0.0182	98.0520	0.0327	6	yes	98.8080	0.0084	5	yes	yes
A0A8H4X8T0	canonical	5	4.0116	0.0171	3.9963	4.0390	98.2240	0.0152	97.9440	0.0241	6	yes	98.6960	0.0167	5	yes	yes
A0A8H4X9G3	canonical	5	4.1037	0.0331	4.0578	4.1459	97.7920	0.0319	96.2380	0.0526	6	yes	97.2720	0.1203	5	yes	yes
A0A8H4XA50	canonical	5	4.0603	0.0660	3.9849	4.1504	97.0760	0.0709	97.3320	0.0432	6	yes	98.4560	0.0594	5	yes	yes
A0A8H4XKD8	canonical	5	4.2377	0.0676	4.1739	4.3326	97.2620	0.0455	94.5700	0.2497	6	yes	96.4200	0.2776	5	yes	yes
A0A8H4XP10	canonical	5	4.1754	0.0695	4.0768	4.2511	97.0040	0.0607	97.4480	0.0335	6	yes	97.7380	0.1003	5	yes	yes
A0A8H4YMN9	canonical	5	4.1232	0.0456	4.0691	4.1744	97.8540	0.0493	97.7420	0.0295	6	yes	97.4900	0.1678	5	yes	yes
A0A8H4YZH8	canonical	5	4.0159	0.0670	3.8996	4.0609	95.8100	0.1583	94.9660	0.3735	6	yes	97.4880	0.2247	5	yes	yes
A0A8H4Z0P3	noncanonical	5	3.8314	0.1214	3.6943	3.9727	94.8840	0.2018	93.9440	0.2211	5	yes	92.2840	0.2196	0	no	no
A0A8H4Z2B8	canonical	5	4.0406	0.0375	3.9955	4.0785	93.9860	0.1280	90.7980	0.1550	6	yes	86.9840	0.3136	5	yes	yes
A0A8H4ZIX0	noncanonical	5	3.8602	0.0613	3.7601	3.9141	95.2340	0.2251	92.6700	0.3231	5,6	no	92.2340	2.0600	4	no	yes
A0A8H4ZJ61	canonical	5	4.2065	0.0663	4.1124	4.2763	89.7520	0.1746	84.8440	0.3113	6	yes	81.3900	0.6605	5	yes	yes
A0A8H4ZJR9	canonical	5	3.8741	0.0439	3.8218	3.9374	98.4640	0.0134	97.6140	0.0313	6	yes	98.6020	0.0409	5	yes	yes
A0A8H4ZL32	canonical	5	4.4124	0.1133	4.2254	4.5339	91.8560	0.2065	86.2300	0.4117	6	yes	91.9060	0.4483	5	yes	yes
A0A8H4ZQE0	discarded	5	11.6026	9.7451	1.5672	25.2931	42.0440	6.0813	24.7440	9.0798	1,2,3	no	53.0400	16.8028	0	no	no
A0A8H4ZRI9	canonical	5	4.0866	0.0491	4.0193	4.1433	97.1100	0.0745	94.6200	0.1924	6	yes	96.3640	0.2496	5	yes	yes
A0A8H4ZX87	canonical	5	4.2305	0.1137	4.0409	4.3486	97.7240	0.1095	96.2720	0.1555	6	yes	95.8540	0.1649	5	yes	yes
A0A8H4ZZ08	canonical	5	4.3311	0.0385	4.2894	4.3681	91.7940	0.5117	88.1100	0.5252	6	yes	91.4420	0.5866	5	yes	yes
A0A8H5A3H7	discarded	5	24.4503	14.5715	2.8850	35.1999	65.5940	2.7627	33.0720	10.3809	3,4	no	71.7340	2.8127	0	no	no
A0A8H5AC02	canonical	5	4.1029	0.0441	4.0269	4.1407	98.3940	0.0089	98.0940	0.0152	6	yes	98.8200	0.0122	5	yes	yes
A0A8H5ACA7	canonical	5	4.2868	0.0505	4.2315	4.3447	93.5060	0.3847	88.7780	0.5789	6	yes	86.6320	1.2759	5	yes	yes
A0A8H5ACT0	discarded	5	30.9456	3.8991	25.6112	34.9784	97.0600	0.1544	32.9200	4.7231	3	yes	92.9440	0.3975	0	no	no
A0A8H5AG12	discarded	5	47.9846	3.8564	41.8577	52.2380	59.9580	1.4211	39.2680	2.2853	5	yes	71.2540	2.9116	0	no	no
A0A8H5ANI9	canonical	5	4.1507	0.0412	4.1139	4.2153	97.7880	0.0277	97.4980	0.0130	6	yes	98.6120	0.0130	5	yes	yes
A0A8H5AS67	noncanonical	5	4.0654	0.0468	4.0240	4.1446	94.0820	0.6469	88.7040	1.1303	5,6	no	84.4680	6.3148	4	no	yes
A0A8H5ATL4	canonical	5	4.1202	0.0532	4.0297	4.1572	97.8220	0.0164	96.8200	0.0235	6	yes	98.0780	0.0931	5	yes	yes
A0A8H5ATU2	noncanonical	5	19.4378	2.4817	17.0679	23.5608	72.7920	0.9508	51.7640	6.9270	3	yes	87.3280	6.1850	0	no	no
A0A8H5AZD0	canonical	5	4.5193	0.1283	4.4119	4.7281	96.4860	0.6184	96.6260	0.2074	6	yes	96.7000	0.9188	5	yes	yes
A0A8H5B6S5	canonical	5	4.0542	0.0598	3.9738	4.0998	95.4300	0.1279	92.2800	0.0941	6	yes	95.5340	0.1081	5	yes	yes
A0A8H5BMN4	canonical	5	4.1947	0.0101	4.1852	4.2094	97.5320	0.0526	97.2880	0.0432	6	yes	97.3820	0.0691	5	yes	yes
A0A8H5BNN2	canonical	5	4.1203	0.0779	3.9893	4.1881	97.3980	0.0719	97.3260	0.0773	6	yes	97.4180	0.0756	5	yes	yes
A0A8H5BWS2	discarded	5	10.7134	8.1429	4.8642	24.7284	95.2140	0.5656	58.3520	7.4199	3,4	no	84.1340	19.9248	0	no	no
A0A8H5C6D9	canonical	5	3.8762	0.0364	3.8252	3.9214	98.4220	0.0311	97.9720	0.0517	6	yes	98.4480	0.0311	5	yes	yes
A0A8H5C7T8	canonical	5	4.1447	0.0312	4.1187	4.1931	96.6960	0.1984	96.5440	0.1753	6	yes	95.8140	0.2891	5	yes	yes
A0A8H5C9M2	canonical	5	4.0367	0.0568	3.9851	4.1332	97.2840	0.0416	97.1060	0.0462	6	yes	96.1760	0.1587	5	yes	yes
A0A8H5CLG7	canonical	5	4.6288	0.0754	4.5069	4.6975	91.7060	0.6743	93.2440	0.4879	6	yes	84.1920	0.6177	5	yes	yes
A0A8H5CPZ2	canonical	5	4.1135	0.0642	4.0141	4.1923	95.0920	0.1450	90.1700	0.3976	6	yes	79.2800	0.4488	5	yes	yes
A0A8H5CSQ3	canonical	5	4.0198	0.0592	3.9486	4.0866	97.5280	0.0876	95.9640	0.2399	6	yes	95.6160	0.1933	5	yes	yes
A0A8H5CSR4	canonical	5	4.0734	0.0296	4.0321	4.0967	96.4320	0.0942	92.3680	0.1406	6	yes	91.9140	0.5060	5	yes	yes
A0A8H5CT78	canonical	5	4.3969	0.0653	4.2976	4.4545	94.9460	0.1573	95.6000	0.1405	6	yes	93.6300	0.1861	5	yes	yes
A0A8H5CW67	canonical	5	4.0892	0.0189	4.0687	4.1176	98.1600	0.0122	97.9740	0.0114	6	yes	98.7600	0.0100	5	yes	yes
A0A8H5CXW9	canonical	5	3.9687	0.0240	3.9342	3.9876	96.4760	0.0907	96.4220	0.1003	6	yes	94.2840	0.2049	5	yes	yes
A0A8H5CYR8	canonical	5	4.1698	0.0768	4.0811	4.2936	93.1180	0.2027	91.9580	0.1301	6	yes	77.9280	1.1885	5	yes	yes
A0A8H5DYD1	canonical	5	4.1227	0.0674	4.0622	4.2314	97.6980	0.0415	97.7320	0.0349	6	yes	97.1980	0.2315	5	yes	yes
A0A8H5E686	canonical	5	3.8879	0.0799	3.8241	4.0270	93.1980	0.2161	87.5860	0.3363	6	yes	89.1480	0.3464	5	yes	yes
A0A8H5E7V3	canonical	5	4.0865	0.0285	4.0481	4.1247	98.3020	0.0130	97.9020	0.0363	6	yes	98.4200	0.0255	5	yes	yes
A0A8H5E8T2	canonical	5	4.0370	0.0506	3.9676	4.0981	97.2020	0.0676	97.2860	0.0336	6	yes	98.2920	0.0455	5	yes	yes
A0A8H5EA09	canonical	5	4.1924	0.0168	4.1736	4.2151	97.4780	0.0779	97.5920	0.0327	6	yes	94.9000	0.2401	5	yes	yes
A0A8H5EAG2	noncanonical	5	4.9945	0.0780	4.8725	5.0671	96.3400	0.1625	91.1440	0.3923	5,6	no	91.3120	3.6312	4	no	yes
A0A8H5ECQ3	canonical	5	4.1523	0.0217	4.1277	4.1804	97.7400	0.0624	96.1680	0.0691	6	yes	96.2780	0.1112	5	yes	yes
A0A8H5EE65	canonical	5	3.9643	0.0594	3.8689	4.0168	97.9400	0.0490	97.7260	0.0288	6	yes	98.6540	0.0261	5	yes	yes
A0A8H5EN09	canonical	5	4.1494	0.0667	4.0788	4.2525	92.2260	0.4376	85.8940	0.6970	6	yes	85.5700	0.9058	5	yes	yes
A0A8H5ENW3	canonical	5	4.1050	0.0765	3.9879	4.1678	97.5660	0.0439	96.9180	0.0370	6	yes	94.4100	0.2633	5	yes	yes
A0A8H5EP99	canonical	5	3.9930	0.0418	3.9541	4.0610	92.2160	0.3227	85.6560	0.3083	6	yes	86.0240	0.5412	5	yes	yes
A0A8H5ES61	canonical	5	4.7978	0.0958	4.6794	4.8914	82.0960	0.7594	87.9340	0.6025	6	yes	70.0200	0.9981	3	no	yes
A0A8H5ESC3	canonical	5	4.1059	0.0399	4.0470	4.1509	97.7980	0.0277	96.8600	0.0255	6	yes	97.2640	0.0416	5	yes	yes
A0A8H5ESN2	canonical	5	4.3044	0.0603	4.2161	4.3629	97.6560	0.0709	96.9180	0.0817	6	yes	97.3900	0.1912	5	yes	yes
A0A8H5ET27	canonical	5	4.2308	0.1014	4.0823	4.3315	97.7040	0.0635	97.2040	0.0915	6	yes	97.1380	0.2571	5	yes	yes
A0A8H5ET41	canonical	5	4.0492	0.1048	3.9590	4.2137	94.6320	0.1180	93.6100	0.3892	6	yes	92.9340	0.2385	5	yes	yes
A0A8H5EVZ1	canonical	5	4.1213	0.0528	4.0381	4.1720	91.8360	0.4152	85.0580	0.7073	6	yes	81.8500	1.0455	5	yes	yes
A0A8H5FVJ2	discarded	5	2.9958	0.2562	2.6417	3.3583	44.4620	2.3376	34.0680	2.5462	2	yes	50.4100	2.0730	0	no	no
A0A8H5FVW2	discarded	5	30.0788	1.3244	28.0663	31.5667	82.6580	0.3605	43.8540	5.0931	4,5	no	56.6800	16.2826	0	no	no
A0A8H5G7U9	canonical	5	4.0832	0.0611	4.0231	4.1803	95.7020	0.2036	92.6700	0.2396	6	yes	86.0740	0.5670	5	yes	yes
A0A8H5GBP1	canonical	5	4.0256	0.0567	3.9327	4.0716	95.4760	0.1890	93.4800	0.1546	6	yes	94.8180	0.2063	5	yes	yes
A0A8H5GBV2	noncanonical	5	3.8437	0.1210	3.6491	3.9627	78.7500	0.4370	79.9980	0.8583	5	yes	87.1500	0.4856	0	no	no
A0A8H5GWW4	canonical	5	4.2427	0.0276	4.2080	4.2847	93.7700	0.7076	83.8080	1.7774	6	yes	83.8600	1.9888	5	yes	yes
A0A8H5H461	discarded	5	11.3514	6.1307	2.9407	20.2565	68.1540	4.5613	58.0640	5.6282	1,2	no	73.3240	3.8008	0	no	no
A0A8H5HDP7	canonical	5	4.0765	0.0248	4.0509	4.1137	93.7440	0.1170	87.6440	0.1734	6	yes	88.9280	0.4270	5	yes	yes
A0A8H5HXK5	canonical	5	4.1132	0.1185	4.0164	4.3018	95.9560	0.0750	85.7740	0.4872	6	yes	82.3780	0.7445	5	yes	yes
A0A8H5I441	discarded	5	5.5705	3.5672	2.8284	11.6886	54.9060	1.3877	28.3600	5.9867	1,2	no	87.6820	0.7450	0	no	no
A0A8H5I5E5	canonical	5	4.0013	0.0276	3.9679	4.0361	95.1340	0.1001	91.8640	0.1832	6	yes	87.0040	0.3940	5	yes	yes
A0A8H5I9A0	discarded	5	4.2099	0.2313	3.9115	4.4407	82.8800	0.8953	81.3220	1.4277	5	yes	80.5220	0.9191	0	no	no
A0A8H5IBZ4	canonical	5	4.0732	0.0427	4.0181	4.1310	98.3860	0.0152	98.0300	0.0245	6	yes	98.7540	0.0270	5	yes	yes
A0A8H5ICY9	canonical	5	3.6077	0.0424	3.5722	3.6689	97.7080	0.0383	96.2100	0.0495	6	yes	93.5840	0.2115	5	yes	yes
A0A8H5IDB1	canonical	5	4.3206	0.0566	4.2518	4.3841	93.9440	0.3001	90.2640	0.3493	6	yes	89.2520	0.7986	5	yes	yes
A0A8H5IDF7	canonical	5	4.1237	0.0334	4.0881	4.1760	97.7160	0.0329	97.6900	0.0552	6	yes	95.3580	0.2104	5	yes	yes
A0A8H5IFN4	canonical	5	4.2968	0.0713	4.2099	4.3643	97.5940	0.0518	97.2140	0.0518	6	yes	98.3980	0.0687	5	yes	yes
A0A8H5IQ56	canonical	5	4.0893	0.0417	4.0204	4.1330	96.8920	0.2186	95.7720	0.2773	6	yes	96.7420	1.7092	5	yes	yes
A0A8H5IQI9	canonical	5	3.9181	0.0718	3.8465	4.0290	93.1360	0.2447	85.3040	0.4599	6	yes	95.1280	0.3137	5	yes	yes
A0A8H5J2Q4	discarded	5	3.2980	0.9995	2.7388	5.0754	43.1520	1.0327	19.0420	1.8773	3	yes	50.3620	1.0422	0	no	no
A0A8H5J758	canonical	5	3.8793	0.0440	3.8134	3.9285	98.5820	0.0130	97.7500	0.0515	6	yes	98.7440	0.0358	5	yes	yes
A0A8H5J780	canonical	5	4.1001	0.0797	4.0043	4.1797	89.7060	0.3866	81.4160	0.8441	6	yes	83.2080	1.2030	5	yes	yes
A0A8H5J841	canonical	5	4.3056	0.0738	4.2227	4.3876	93.8260	0.1890	89.5840	0.1897	6	yes	88.2180	0.5653	5	yes	yes
A0A8H5J9Q5	canonical	5	4.0066	0.0808	3.8808	4.0798	89.0060	0.7344	81.9520	1.2022	6	yes	78.0140	1.0151	5	yes	yes
A0A8H5JC63	canonical	5	4.4147	0.0855	4.2765	4.4997	93.8060	0.4811	89.1700	0.7737	6	yes	93.2500	1.1782	5	yes	yes
A0A8H5JCZ8	discarded	5	11.2430	10.7520	2.6461	25.3034	71.5280	0.6163	54.7200	15.9431	4	yes	66.3420	0.3471	0	no	no
A0A8H5JGL4	canonical	5	4.0970	0.0524	4.0117	4.1413	98.0000	0.0158	98.0200	0.0187	6	yes	98.3600	0.0187	5	yes	yes
A0A8H5JJT6	discarded	5	8.7814	3.2336	6.0935	14.3041	74.1560	0.7373	46.1180	5.8045	4	yes	54.2640	1.1386	0	no	no
A0A8H5JKQ2	canonical	5	4.1064	0.0470	4.0367	4.1639	95.3940	0.0850	88.0080	0.2296	6	yes	88.1880	0.3500	5	yes	yes
A0A8H5JP05	canonical	5	4.0735	0.0514	3.9883	4.1280	97.0640	0.0940	94.7060	0.2078	6	yes	96.6920	0.2588	5	yes	yes
A0A8H5JP71	discarded	5	5.1706	0.1076	5.0433	5.3052	46.7440	1.7228	55.2760	1.7050	6	yes	67.2040	0.9124	0	no	no
A0A8H5JRL3	noncanonical	5	3.7819	0.0818	3.7145	3.9126	84.7000	0.6579	64.7200	1.2221	5	yes	75.6340	1.2063	0	no	no
A0A8H5JSZ0	discarded	5	24.6955	14.4878	2.6458	39.7631	94.6140	1.4205	44.0880	24.9904	3,4	no	83.1620	18.1553	0	no	no
A0A8H5JU90	canonical	5	4.1055	0.0700	3.9958	4.1684	97.8460	0.0371	97.1920	0.0507	6	yes	94.8980	0.1789	5	yes	yes
A0A8H5JUP5	canonical	5	4.1631	0.0319	4.1269	4.2080	98.0580	0.0432	96.7660	0.0976	6	yes	97.1080	0.1918	5	yes	yes
A0A8H5JW57	canonical	5	4.1388	0.0849	4.0252	4.2579	93.4360	0.3305	87.6860	0.4986	6	yes	86.6220	2.6268	5	yes	yes
A0A8H5K7H7	canonical	5	4.0561	0.0469	3.9848	4.1061	97.1560	0.0462	97.2440	0.0305	6	yes	98.3780	0.0335	5	yes	yes
A0A8H5KA52	canonical	5	4.1356	0.0370	4.1046	4.1957	98.0020	0.0239	97.9080	0.0303	6	yes	97.8020	0.2416	5	yes	yes
A0A8H5KBA7	canonical	5	4.0999	0.0509	4.0238	4.1382	97.9900	0.0324	98.0520	0.0239	6	yes	98.3600	0.0339	5	yes	yes
A0A8H5KIL6	canonical	5	3.9680	0.0443	3.9047	4.0063	93.6600	0.3923	94.8980	0.3966	6	yes	94.1680	0.2708	5	yes	yes
A0A8H5KJP4	canonical	5	4.0969	0.0528	4.0508	4.1558	89.3340	0.9671	83.9720	1.4745	6	yes	82.2180	2.4443	5	yes	yes
A0A8H5KJQ9	canonical	5	3.9300	0.0544	3.8474	3.9899	97.6040	0.0230	97.3100	0.0387	6	yes	97.4020	0.2003	5	yes	yes
A0A8H5KKH2	canonical	5	4.2506	0.0754	4.1690	4.3446	92.9960	0.2984	88.1860	0.6221	6	yes	87.9460	0.6302	5	yes	yes
A0A8H5KLF1	canonical	5	4.0614	0.0774	3.9670	4.1426	89.8000	0.2712	82.9540	0.4556	6	yes	79.2560	0.9416	5	yes	yes
A0A8H5KLN9	canonical	5	4.1211	0.0288	4.0800	4.1566	98.2320	0.0268	97.8140	0.0439	6	yes	98.2980	0.0502	5	yes	yes
