accession	length	ndom_chainsaw	all_pfam	extra_pfam	domain_annotations
A0A8K0TQB4	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A8K0WNM9	325	1	PF00264 (Tyrosinase)	—	240-251: Tyrosinase copper-binding
A0A8S3PVY6	498	3	PF00264 (Tyrosinase)	—	158-175: Tyrosinase copper-binding; 281-292: Tyrosinase copper-binding
A0A8S3R655	597	2	PF00264 (Tyrosinase)	—	300-311: Tyrosinase copper-binding
A0A8S3RKR7	561	2	PF00264 (Tyrosinase)	—	110-285: Tyrosinase copper-binding
A0A8S3SDN1	461	3	PF00264 (Tyrosinase)	—	157-174: Tyrosinase copper-binding; 291-302: Tyrosinase copper-binding
A0A8S3TBT4	597	2	PF00264 (Tyrosinase)	—	300-311: Tyrosinase copper-binding
A0A8S3UET5	294	2	PF00264 (Tyrosinase)	—	127-144: Tyrosinase copper-binding; 268-279: Tyrosinase copper-binding
A0A8S3ZE77	392	1	PF00264 (Tyrosinase)	—	238-249: Tyrosinase copper-binding
A0A8S9ZKX1	440	2	PF00264 (Tyrosinase)	—	152-169: Tyrosinase copper-binding; 305-316: Tyrosinase copper-binding
A0A8S9ZXM6	521	2	PF00264 (Tyrosinase)	—	196-213: Tyrosinase copper-binding; 355-366: Tyrosinase copper-binding
A0A8T1W4C6	575	2	PF00264 (Tyrosinase)	—	256-267: Tyrosinase copper-binding
A0A8T1W6M6	542	2	PF00264 (Tyrosinase)	—	122-314: Tyrosinase copper-binding
A0A8T1WU85	501	2	PF00264 (Tyrosinase)	—	82-274: Tyrosinase copper-binding
A0A8T8WMD9	329	1	PF00264 (Tyrosinase)	—	99-116: Tyrosinase copper-binding; 247-258: Tyrosinase copper-binding
A0A8T8X2Y5	338	1	PF00264 (Tyrosinase)	—	108-125: Tyrosinase copper-binding; 256-267: Tyrosinase copper-binding
A0A8T9AZC4	322	1	PF00264 (Tyrosinase)	—	119-136: Tyrosinase copper-binding; 248-259: Tyrosinase copper-binding
A0A8T9CAL5	358	2	PF00264 (Tyrosinase)	—	73-292: Tyrosinase copper-binding
A0A8W8JFH2	601	2	PF00264 (Tyrosinase)	—	76-93: Tyrosinase copper-binding; 210-221: Tyrosinase copper-binding
A0A8W8JWC9	459	2	PF00264 (Tyrosinase)	—	134-151: Tyrosinase copper-binding; 275-286: Tyrosinase copper-binding
A0A8W8JY17	410	2	PF00264 (Tyrosinase)	—	85-102: Tyrosinase copper-binding; 226-237: Tyrosinase copper-binding
A0A8W8JY26	725	2	PF00264 (Tyrosinase)	—	154-171: Tyrosinase copper-binding; 299-310: Tyrosinase copper-binding
A0A8W8K452	720	2	PF00264 (Tyrosinase)	—	149-166: Tyrosinase copper-binding; 294-305: Tyrosinase copper-binding
A0A8W8K7P4	873	2	PF00264 (Tyrosinase)	—	199-216: Tyrosinase copper-binding; 343-354: Tyrosinase copper-binding
A0A8W8LVB7	765	2	PF00264 (Tyrosinase)	—	179-196: Tyrosinase copper-binding; 319-330: Tyrosinase copper-binding
A0A913WQ01	659	1	PF00264 (Tyrosinase)	—	241-258: Tyrosinase copper-binding
A0A913WWA6	564	3	PF00090 (TSP_1); PF00264 (Tyrosinase)	PF00090 (TSP_1)	251-436: Tyrosinase copper-binding
A0A913X4H6	570	2	PF00264 (Tyrosinase); PF00092 (VWA)	PF00092 (VWA)	61-236: VWFA
A0A913XDR8	340	1	PF00264 (Tyrosinase)	—	102-119: Tyrosinase copper-binding
A0A913XUE8	481	2	PF00264 (Tyrosinase)	—	192-210: Tyrosinase copper-binding
A0A913XUF7	398	2	PF00264 (Tyrosinase)	—	186-204: Tyrosinase copper-binding
A0A913Y9Y4	567	2	PF00264 (Tyrosinase); PF00092 (VWA)	PF00092 (VWA)	56-233: VWFA
A0A913YC92	568	4	PF00090 (TSP_1); PF00264 (Tyrosinase)	PF00090 (TSP_1)	268-285: Tyrosinase copper-binding
A0A913YCG3	926	8	PF00090 (TSP_1); PF00264 (Tyrosinase)	PF00090 (TSP_1)	603-793: Tyrosinase copper-binding
A0A913YCI0	647	1	PF00264 (Tyrosinase)	—	142-159: Tyrosinase copper-binding
A0A913YDR0	688	6	PF00090 (TSP_1); PF00264 (Tyrosinase)	PF00090 (TSP_1)	388-405: Tyrosinase copper-binding
A0A913YE43	326	2	PF00264 (Tyrosinase)	—	43-60: Tyrosinase copper-binding
A0A913YST3	351	2	PF00264 (Tyrosinase)	—	139-157: Tyrosinase copper-binding
A0A914GX34	664	4	PF00264 (Tyrosinase)	—	366-383: Tyrosinase copper-binding; 525-536: Tyrosinase copper-binding
A0A914I0C7	561	2	PF00264 (Tyrosinase)	—	311-328: Tyrosinase copper-binding; 470-481: Tyrosinase copper-binding
A0A914KGN4	656	4	PF00264 (Tyrosinase)	—	326-343: Tyrosinase copper-binding; 485-496: Tyrosinase copper-binding
A0A914X740	437	2	PF00264 (Tyrosinase)	—	297-308: Tyrosinase copper-binding
A0A915KH89	366	3	PF00264 (Tyrosinase)	—	179-362: Tyrosinase copper-binding
A0A915KKL6	973	5	PF01549 (ShK); PF00264 (Tyrosinase)	PF01549 (ShK)	831-864: ShKT; 875-909: ShKT; 929-963: ShKT
A0A915PE14	419	2	PF00264 (Tyrosinase)	—	75-92: Tyrosinase copper-binding; 248-259: Tyrosinase copper-binding
A0A918F473	306	2	PF00264 (Tyrosinase)	—	241-252: Tyrosinase copper-binding
A0A918GY00	285	1	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A918I4N0	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A918K8V8	424	2	PF00264 (Tyrosinase)	—	190-201: Tyrosinase copper-binding
A0A918Y127	274	2	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 209-220: Tyrosinase copper-binding
A0A918YDN7	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A919B0T2	274	1	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 210-221: Tyrosinase copper-binding
A0A919DUL7	275	1	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 209-220: Tyrosinase copper-binding
A0A919FJI3	318	2	PF00264 (Tyrosinase)	—	250-261: Tyrosinase copper-binding
A0A926QP60	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A927QKQ5	0	2	—	—	—
A0A931G5C6	269	1	PF00264 (Tyrosinase)	—	58-75: Tyrosinase copper-binding; 203-214: Tyrosinase copper-binding
A0A934KPH0	449	2	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	196-207: Tyrosinase copper-binding
A0A934W1F1	599	3	PF00264 (Tyrosinase)	—	359-370: Tyrosinase copper-binding
A0A937FSZ6	509	3	PF00264 (Tyrosinase)	—	294-305: Tyrosinase copper-binding
A0A964TAH5	465	3	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	210-221: Tyrosinase copper-binding
A0A976IE71	495	2	PF00264 (Tyrosinase)	—	74-266: Tyrosinase copper-binding
A0A9D4GXD0	549	2	PF00264 (Tyrosinase)	—	139-156: Tyrosinase copper-binding; 287-298: Tyrosinase copper-binding
A0A9D4H0G3	524	2	PF00264 (Tyrosinase)	—	141-158: Tyrosinase copper-binding; 289-300: Tyrosinase copper-binding
A0A9D4ICM2	892	3	PF00264 (Tyrosinase)	—	147-164: Tyrosinase copper-binding; 288-299: Tyrosinase copper-binding
A0A9K3PD30	494	2	PF00264 (Tyrosinase)	—	220-231: Tyrosinase copper-binding
A0A9K3Q9J1	493	2	PF00264 (Tyrosinase)	—	219-230: Tyrosinase copper-binding
A0A9N8NBI7	0	1	—	—	—
A0A9N8WZP9	0	4	—	—	—
A0A9N9KL52	388	1	PF00264 (Tyrosinase)	—	159-176: Tyrosinase copper-binding; 315-326: Tyrosinase copper-binding
A0A9N9KSE5	375	1	PF00264 (Tyrosinase)	—	117-317: Tyrosinase copper-binding
A0A9N9KVW9	315	1	PF00264 (Tyrosinase)	—	241-252: Tyrosinase copper-binding
A0A9N9UHQ8	335	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9N9VIP6	337	2	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P0ERG8	335	2	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P1C3Z2	671	4	PF00264 (Tyrosinase)	—	319-336: Tyrosinase copper-binding
A0A9P1CS61	542	2	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding
A0A9P1G1G0	587	2	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding
A0A9P1G3G3	578	3	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding
A0A9P1H0N5	377	1	PF00264 (Tyrosinase)	—	302-313: Tyrosinase copper-binding
A0A9P1M7K0	577	2	PF00264 (Tyrosinase)	—	473-484: Tyrosinase copper-binding
A0A9P3PVH5	310	1	PF00264 (Tyrosinase)	—	230-241: Tyrosinase copper-binding
A0A9P4I595	313	1	PF00264 (Tyrosinase)	—	240-251: Tyrosinase copper-binding
A0A9P4JTW6	308	1	PF00264 (Tyrosinase)	—	79-96: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A9P4PM39	404	1	PF00264 (Tyrosinase)	—	321-332: Tyrosinase copper-binding
A0A9P4QMU1	356	1	PF00264 (Tyrosinase)	—	126-143: Tyrosinase copper-binding; 283-294: Tyrosinase copper-binding
A0A9P4SB82	818	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	378-389: Tyrosinase copper-binding
A0A9P4SDQ3	592	3	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	141-158: Tyrosinase copper-binding; 343-354: Tyrosinase copper-binding
A0A9P4TAB7	316	1	PF00264 (Tyrosinase)	—	82-99: Tyrosinase copper-binding; 241-252: Tyrosinase copper-binding
A0A9P4V8T4	700	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	93-110: Tyrosinase copper-binding; 331-342: Tyrosinase copper-binding
A0A9P5AJD2	835	4	PF01593 (Amino_oxidase); PF00264 (Tyrosinase)	PF01593 (Amino_oxidase)	18-311: Amine oxidase; 579-779: Tyrosinase copper-binding
A0A9P5AMW5	607	3	PF00264 (Tyrosinase)	—	362-373: Tyrosinase copper-binding
A0A9P5B9W0	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P5DT73	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P5F1P8	332	2	PF00264 (Tyrosinase)	—	57-74: Tyrosinase copper-binding
A0A9P5GFI9	305	1	PF00264 (Tyrosinase)	—	68-85: Tyrosinase copper-binding; 227-238: Tyrosinase copper-binding
A0A9P5IJI5	362	1	PF00264 (Tyrosinase)	—	133-150: Tyrosinase copper-binding; 289-300: Tyrosinase copper-binding
A0A9P5JXT8	364	2	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding; 278-289: Tyrosinase copper-binding
A0A9P5JY23	366	2	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding; 280-291: Tyrosinase copper-binding
A0A9P5JYN0	363	2	PF00264 (Tyrosinase)	—	277-288: Tyrosinase copper-binding
A0A9P5JYN9	347	1	PF00264 (Tyrosinase)	—	261-272: Tyrosinase copper-binding
A0A9P5JYU8	363	1	PF00264 (Tyrosinase)	—	277-288: Tyrosinase copper-binding
A0A9P5JZA9	366	1	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding; 280-291: Tyrosinase copper-binding
A0A9P5JZI2	364	1	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding; 278-289: Tyrosinase copper-binding
A0A9P5K8I6	299	1	PF00264 (Tyrosinase)	—	83-100: Tyrosinase copper-binding; 224-235: Tyrosinase copper-binding
A0A9P5K8U6	328	1	PF00264 (Tyrosinase)	—	85-102: Tyrosinase copper-binding; 251-262: Tyrosinase copper-binding
A0A9P5XZM4	593	3	PF00264 (Tyrosinase)	—	167-184: Tyrosinase copper-binding; 352-363: Tyrosinase copper-binding
A0A9P5ZHD6	295	1	PF00264 (Tyrosinase)	—	67-279: Tyrosinase copper-binding
A0A9P6ADS6	362	2	PF00264 (Tyrosinase)	—	282-293: Tyrosinase copper-binding
A0A9P6AJI0	360	2	PF00264 (Tyrosinase)	—	280-291: Tyrosinase copper-binding
A0A9P6DDV4	342	1	PF00264 (Tyrosinase)	—	93-110: Tyrosinase copper-binding; 267-278: Tyrosinase copper-binding
A0A9P6G6A9	581	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	326-337: Tyrosinase copper-binding
A0A9P6GNG8	404	1	PF00264 (Tyrosinase)	—	321-332: Tyrosinase copper-binding
A0A9P6H427	364	2	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding; 278-289: Tyrosinase copper-binding
A0A9P6H4S6	360	1	PF00264 (Tyrosinase)	—	88-293: Tyrosinase copper-binding
A0A9P6H6N4	370	2	PF00264 (Tyrosinase)	—	285-296: Tyrosinase copper-binding
A0A9P6H6P2	371	2	PF00264 (Tyrosinase)	—	286-297: Tyrosinase copper-binding
A0A9P6HAV3	370	2	PF00264 (Tyrosinase)	—	99-116: Tyrosinase copper-binding; 284-295: Tyrosinase copper-binding
A0A9P6HE18	366	2	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding; 279-290: Tyrosinase copper-binding
A0A9P6HEG3	365	2	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding; 280-291: Tyrosinase copper-binding
A0A9P6HES9	361	2	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding; 275-286: Tyrosinase copper-binding
A0A9P6HFP7	368	2	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding; 283-294: Tyrosinase copper-binding
A0A9P6HYB5	366	2	PF00264 (Tyrosinase)	—	91-108: Tyrosinase copper-binding
A0A9P6HYU3	287	1	PF00264 (Tyrosinase)	—	82-99: Tyrosinase copper-binding
A0A9P6L1G9	367	2	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding; 280-291: Tyrosinase copper-binding
A0A9P6LG06	311	2	PF00264 (Tyrosinase)	—	58-75: Tyrosinase copper-binding; 231-242: Tyrosinase copper-binding
A0A9P6LGC9	327	2	PF00264 (Tyrosinase)	—	250-261: Tyrosinase copper-binding
A0A9P6NP50	317	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding; 240-251: Tyrosinase copper-binding
A0A9P6NUP1	317	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding; 240-251: Tyrosinase copper-binding
A0A9P7HU99	294	2	PF00264 (Tyrosinase)	—	50-67: Tyrosinase copper-binding; 215-226: Tyrosinase copper-binding
A0A9P7KJA4	327	1	PF00264 (Tyrosinase)	—	84-101: Tyrosinase copper-binding; 249-260: Tyrosinase copper-binding
A0A9P7KVD4	332	1	PF00264 (Tyrosinase)	—	75-277: Tyrosinase copper-binding
A0A9P7NE30	389	1	PF00264 (Tyrosinase)	—	117-134: Tyrosinase copper-binding; 313-324: Tyrosinase copper-binding
A0A9P7R386	339	1	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding
A0A9P7R8M5	495	4	PF00264 (Tyrosinase)	—	56-73: Tyrosinase copper-binding; 297-308: Tyrosinase copper-binding
A0A9P7R9D2	488	1	PF00264 (Tyrosinase)	—	213-230: Tyrosinase copper-binding
A0A9P7S7P4	318	1	PF00264 (Tyrosinase)	—	65-82: Tyrosinase copper-binding; 243-254: Tyrosinase copper-binding
A0A9P7W2Q5	387	2	PF00264 (Tyrosinase)	—	93-110: Tyrosinase copper-binding; 299-310: Tyrosinase copper-binding
A0A9P7YCU3	324	1	PF00264 (Tyrosinase)	—	253-264: Tyrosinase copper-binding
A0A9P7YDW7	391	2	PF00264 (Tyrosinase)	—	322-333: Tyrosinase copper-binding
A0A9P8AZ72	376	2	PF00264 (Tyrosinase)	—	107-124: Tyrosinase copper-binding; 289-300: Tyrosinase copper-binding
A0A9P8CPW1	342	2	PF00264 (Tyrosinase)	—	92-109: Tyrosinase copper-binding
A0A9P8D5I1	338	2	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P8D8F5	324	1	PF00264 (Tyrosinase)	—	67-268: Tyrosinase copper-binding
A0A9P8DKY9	294	2	PF00264 (Tyrosinase)	—	215-226: Tyrosinase copper-binding
A0A9P8SUG2	0	2	—	—	—
A0A9P8UDW5	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P8UG69	376	1	PF00264 (Tyrosinase)	—	293-304: Tyrosinase copper-binding
A0A9P8UIC0	352	1	PF00264 (Tyrosinase)	—	266-277: Tyrosinase copper-binding
A0A9P8XSB3	331	2	PF00264 (Tyrosinase)	—	69-274: Tyrosinase copper-binding
A0A9P8XWL6	282	1	PF00264 (Tyrosinase)	—	205-216: Tyrosinase copper-binding
A0A9P8YAM6	342	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P8YGS0	361	1	PF00264 (Tyrosinase)	—	92-109: Tyrosinase copper-binding
A0A9P8YJY5	384	1	PF00264 (Tyrosinase)	—	117-134: Tyrosinase copper-binding
A0A9P8YM28	342	1	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding
A0A9P8ZYD0	891	4	PF00264 (Tyrosinase)	—	640-651: Tyrosinase copper-binding
A0A9P9AFP1	297	1	PF00264 (Tyrosinase)	—	81-98: Tyrosinase copper-binding; 222-233: Tyrosinase copper-binding
A0A9P9AG59	281	1	PF00264 (Tyrosinase)	—	207-218: Tyrosinase copper-binding
A0A9P9AGJ3	341	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P9APM6	604	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	70-87: Tyrosinase copper-binding; 325-336: Tyrosinase copper-binding
A0A9P9BVC7	368	1	PF00264 (Tyrosinase)	—	99-116: Tyrosinase copper-binding; 289-300: Tyrosinase copper-binding
A0A9P9D313	301	1	PF00264 (Tyrosinase)	—	224-235: Tyrosinase copper-binding
A0A9P9DY84	301	1	PF00264 (Tyrosinase)	—	224-235: Tyrosinase copper-binding
A0A9P9E097	715	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	90-107: Tyrosinase copper-binding; 298-309: Tyrosinase copper-binding
A0A9P9E4D0	321	1	PF00264 (Tyrosinase)	—	81-98: Tyrosinase copper-binding; 245-256: Tyrosinase copper-binding
A0A9P9EVV4	301	1	PF00264 (Tyrosinase)	—	224-235: Tyrosinase copper-binding
A0A9P9HAD7	728	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	105-122: Tyrosinase copper-binding; 343-354: Tyrosinase copper-binding
A0A9P9HJ81	618	3	PF00264 (Tyrosinase)	—	371-382: Tyrosinase copper-binding
A0A9P9IDE3	301	1	PF00264 (Tyrosinase)	—	224-235: Tyrosinase copper-binding
A0A9P9IXR3	615	3	PF00264 (Tyrosinase)	—	363-374: Tyrosinase copper-binding
A0A9P9J4T8	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P9J7R2	327	1	PF00264 (Tyrosinase)	—	77-94: Tyrosinase copper-binding
A0A9P9JVC3	596	3	PF00264 (Tyrosinase)	—	350-361: Tyrosinase copper-binding
A0A9P9K123	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9P9KEG5	324	1	PF00264 (Tyrosinase)	—	67-268: Tyrosinase copper-binding
A0A9P9KNI3	294	2	PF00264 (Tyrosinase)	—	215-226: Tyrosinase copper-binding
A0A9P9WAQ4	329	1	PF00264 (Tyrosinase)	—	84-101: Tyrosinase copper-binding; 252-263: Tyrosinase copper-binding
A0A9P9WLG7	321	1	PF00264 (Tyrosinase)	—	78-95: Tyrosinase copper-binding; 246-257: Tyrosinase copper-binding
A0A9P9XQR7	721	4	PF06985 (HET); PF00264 (Tyrosinase)	PF06985 (HET)	82-99: Tyrosinase copper-binding; 248-259: Tyrosinase copper-binding
A0A9P9XU62	342	1	PF00264 (Tyrosinase)	—	92-109: Tyrosinase copper-binding
A0A9Q0ANI9	342	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9Q0B6Y1	488	1	PF00264 (Tyrosinase)	—	213-230: Tyrosinase copper-binding
A0A9Q0BAF8	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9Q3E4W3	329	1	PF00264 (Tyrosinase)	—	86-271: Tyrosinase copper-binding
A0A9Q8LKP3	372	1	PF00264 (Tyrosinase)	—	140-157: Tyrosinase copper-binding; 299-310: Tyrosinase copper-binding
A0A9Q8T0W7	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9Q8WCM4	488	1	PF00264 (Tyrosinase)	—	213-230: Tyrosinase copper-binding
A0A9Q9AK53	634	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	291-302: Tyrosinase copper-binding
A0A9Q9AVV7	267	1	PF00264 (Tyrosinase)	—	30-47: Tyrosinase copper-binding; 189-200: Tyrosinase copper-binding
A0A9U8DXM5	636	2	PF00264 (Tyrosinase)	—	150-167: Tyrosinase copper-binding; 290-301: Tyrosinase copper-binding
A0A9U8DXQ3	635	2	PF00264 (Tyrosinase)	—	150-167: Tyrosinase copper-binding; 290-301: Tyrosinase copper-binding
A0A9U8DY29	644	2	PF00264 (Tyrosinase)	—	294-305: Tyrosinase copper-binding
A0A9W3AZ70	396	2	PF00264 (Tyrosinase)	—	239-250: Tyrosinase copper-binding
A0A9W3BCD9	633	2	PF00264 (Tyrosinase)	—	148-165: Tyrosinase copper-binding; 287-298: Tyrosinase copper-binding
A0A9W3BCI9	765	3	PF00264 (Tyrosinase)	—	155-172: Tyrosinase copper-binding; 296-307: Tyrosinase copper-binding
A0A9W3BCN2	647	2	PF00264 (Tyrosinase)	—	158-175: Tyrosinase copper-binding; 300-311: Tyrosinase copper-binding
A0A9W3BCU0	766	3	PF00264 (Tyrosinase)	—	155-172: Tyrosinase copper-binding; 296-307: Tyrosinase copper-binding
A0A9W3BCU2	628	2	PF00264 (Tyrosinase)	—	149-166: Tyrosinase copper-binding; 290-301: Tyrosinase copper-binding
A0A9W3BCU8	648	2	PF00264 (Tyrosinase)	—	135-312: Tyrosinase copper-binding
A0A9W3BCV1	637	2	PF00264 (Tyrosinase)	—	153-170: Tyrosinase copper-binding; 294-305: Tyrosinase copper-binding
A0A9W4IER4	0	3	—	—	—
A0A9W4N770	628	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	92-109: Tyrosinase copper-binding; 392-403: Tyrosinase copper-binding
A0A9W4RJE0	328	1	PF00264 (Tyrosinase)	—	85-102: Tyrosinase copper-binding; 251-262: Tyrosinase copper-binding
A0A9W4S0R7	299	1	PF00264 (Tyrosinase)	—	83-100: Tyrosinase copper-binding; 224-235: Tyrosinase copper-binding
A0A9W4U7M0	422	1	PF00264 (Tyrosinase)	—	134-358: Tyrosinase copper-binding
A0A9W4W8U2	419	2	PF00264 (Tyrosinase)	—	57-74: Tyrosinase copper-binding
A0A9W5YXR1	0	1	—	—	—
A0A9W5ZU18	0	1	—	—	—
A0A9W6ASD3	0	1	—	—	—
A0A9W6DIJ1	0	1	—	—	—
A0A9W6UBD6	481	2	PF00264 (Tyrosinase)	—	73-256: Tyrosinase copper-binding
A0A9W7T0I7	263	1	PF00264 (Tyrosinase)	—	182-193: Tyrosinase copper-binding
A0A9W7Y720	407	3	PF00264 (Tyrosinase)	—	46-63: Tyrosinase copper-binding
A0A9W7ZYI4	403	2	PF00264 (Tyrosinase)	—	47-64: Tyrosinase copper-binding
A0A9W8ABZ6	546	3	PF01849 (NAC); PF00264 (Tyrosinase)	PF01849 (NAC)	34-100: NAC-A/B
A0A9W8B7N1	333	1	PF00264 (Tyrosinase)	—	75-92: Tyrosinase copper-binding
A0A9W8B7S7	283	1	PF00264 (Tyrosinase)	—	50-233: Tyrosinase copper-binding
A0A9W8BH04	368	2	PF00264 (Tyrosinase)	—	52-69: Tyrosinase copper-binding
A0A9W8CWN9	385	2	PF00264 (Tyrosinase)	—	79-96: Tyrosinase copper-binding
A0A9W8CXW5	577	2	PF00264 (Tyrosinase)	—	60-232: Tyrosinase copper-binding
A0A9W8E3J8	350	2	PF00264 (Tyrosinase)	—	76-93: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A9W8GLQ1	431	2	PF00264 (Tyrosinase)	—	72-89: Tyrosinase copper-binding
A0A9W8GXD7	399	2	PF00264 (Tyrosinase)	—	68-238: Tyrosinase copper-binding
A0A9W8GZT3	420	2	PF00264 (Tyrosinase)	—	71-88: Tyrosinase copper-binding
A0A9W8H1R1	427	2	PF00264 (Tyrosinase)	—	76-93: Tyrosinase copper-binding
A0A9W8H6W1	390	2	PF00264 (Tyrosinase)	—	78-95: Tyrosinase copper-binding
A0A9W8HQF2	426	2	PF00264 (Tyrosinase)	—	72-89: Tyrosinase copper-binding
A0A9W8IDD7	383	2	PF00264 (Tyrosinase)	—	77-94: Tyrosinase copper-binding
A0A9W8IG38	420	2	PF00264 (Tyrosinase)	—	71-88: Tyrosinase copper-binding
A0A9W8LKD4	407	3	PF00264 (Tyrosinase)	—	46-63: Tyrosinase copper-binding
A0A9W8LSU1	384	2	PF00264 (Tyrosinase)	—	78-95: Tyrosinase copper-binding
A0A9W8M233	424	2	PF00264 (Tyrosinase)	—	76-93: Tyrosinase copper-binding
A0A9W8M6D4	399	2	PF00264 (Tyrosinase)	—	68-238: Tyrosinase copper-binding
A0A9W8N878	364	1	PF00264 (Tyrosinase)	—	287-298: Tyrosinase copper-binding
A0A9W8NZF7	356	2	PF00264 (Tyrosinase)	—	92-109: Tyrosinase copper-binding
A0A9W8NZJ0	367	2	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding
A0A9W8PIM9	338	1	PF00264 (Tyrosinase)	—	87-104: Tyrosinase copper-binding
A0A9W8RVI0	321	1	PF00264 (Tyrosinase)	—	83-100: Tyrosinase copper-binding; 246-257: Tyrosinase copper-binding
A0A9W8U1T8	353	2	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding
A0A9W8U7F8	332	1	PF00264 (Tyrosinase)	—	75-277: Tyrosinase copper-binding
A0A9W8V7S4	343	1	PF00264 (Tyrosinase)	—	100-117: Tyrosinase copper-binding; 265-276: Tyrosinase copper-binding
A0A9W8V905	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A9W8YXX2	341	1	PF00264 (Tyrosinase)	—	95-112: Tyrosinase copper-binding; 244-255: Tyrosinase copper-binding
A0A9W9AEE6	377	2	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding
A0A9W9AEI2	341	1	PF00264 (Tyrosinase)	—	97-114: Tyrosinase copper-binding
A0A9W9BUC3	334	1	PF00264 (Tyrosinase)	—	82-99: Tyrosinase copper-binding
A0A9W9CD07	834	2	PF00264 (Tyrosinase); PF00172 (Zn_clus)	PF00172 (Zn_clus)	6-36: Zn(2)-C6 fungal-type
