accession	pool	length	ndom_chainsaw	pfam_id	pfam_name	env_from	env_to	dom_evalue	description
A0A6M3U4Q3	discarded	176	1	PF00264	Tyrosinase	111	176	3.3e-10	Common central domain of tyrosinase
A0A6M3U4S2	discarded	177	1	PF00264	Tyrosinase	112	177	3.4e-10	Common central domain of tyrosinase
A0A6M3U4S3	discarded	170	1	PF00264	Tyrosinase	105	170	4.4e-10	Common central domain of tyrosinase
A0A6M3U4S4	discarded	176	1	PF00264	Tyrosinase	111	176	3.3e-10	Common central domain of tyrosinase
A0A6M3U4T1	discarded	173	1	PF00264	Tyrosinase	112	173	3.0e-08	Common central domain of tyrosinase
A0A6M3U4T7	discarded	177	1	PF00264	Tyrosinase	112	177	4.8e-10	Common central domain of tyrosinase
A0A6M3U4U8	discarded	176	1	PF00264	Tyrosinase	111	176	4.2e-10	Common central domain of tyrosinase
A0A6M3U4V7	discarded	177	1	PF00264	Tyrosinase	112	177	3.9e-10	Common central domain of tyrosinase
A0A6M3U4W5	discarded	177	1	PF00264	Tyrosinase	112	177	4.8e-10	Common central domain of tyrosinase
A0A6M3U4W8	discarded	176	1	PF00264	Tyrosinase	111	176	3.3e-10	Common central domain of tyrosinase
A0A6M3U4X3	discarded	174	1	PF00264	Tyrosinase	111	174	1.1e-08	Common central domain of tyrosinase
A0A6M3U4Y9	discarded	171	1	PF00264	Tyrosinase	106	171	3.1e-10	Common central domain of tyrosinase
A0A6M3U4Z9	discarded	177	1	PF00264	Tyrosinase	112	177	3.4e-10	Common central domain of tyrosinase
A0A6M3U527	discarded	176	1	PF00264	Tyrosinase	111	176	3.3e-10	Common central domain of tyrosinase
A0A6M3YBB3	discarded	142	1	PF00264	Tyrosinase	1	142	2.3e-07	Common central domain of tyrosinase
A0A6M3Z7I9	canonical	525	1	PF00264	Tyrosinase	175	410	3.9e-34	Common central domain of tyrosinase
A0A6M4PQD2	canonical	288	2	PF00264	Tyrosinase	29	239	8.4e-43	Common central domain of tyrosinase
A0A6M4PSG3	canonical	273	1	PF00264	Tyrosinase	28	229	1.4e-45	Common central domain of tyrosinase
A0A6M4WI55	canonical	274	1	PF00264	Tyrosinase	28	229	8.5e-46	Common central domain of tyrosinase
A0A6M4WV60	canonical	288	2	PF00264	Tyrosinase	29	239	7.0e-45	Common central domain of tyrosinase
A0A6M5YW59	canonical	478	2	PF00264	Tyrosinase	70	154	1.2e-15	Common central domain of tyrosinase
A0A6M5YW59	canonical	478	2	PF00264	Tyrosinase	128	247	2.7e-13	Common central domain of tyrosinase
A0A6M6DP70	canonical	297	2	PF00264	Tyrosinase	32	244	2.0e-48	Common central domain of tyrosinase
A0A6M8NXE9	canonical	730	2	PF00264	Tyrosinase	145	323	1.0e-34	Common central domain of tyrosinase
A0A6N1APE8	canonical	536	2	PF00264	Tyrosinase	52	324	6.0e-35	Common central domain of tyrosinase
A0A6N2AKH8	canonical	589	2	PF00264	Tyrosinase	165	374	1.9e-35	Common central domain of tyrosinase
A0A6N2AKH8	canonical	589	2	PF12142	PPO1_DWL	380	431	4.2e-25	Polyphenol oxidase middle domain
A0A6N2AKH8	canonical	589	2	PF12143	PPO1_KFDV	451	584	4.1e-38	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2ALI0	canonical	593	2	PF00264	Tyrosinase	170	383	5.3e-33	Common central domain of tyrosinase
A0A6N2ALI0	canonical	593	2	PF12142	PPO1_DWL	389	440	3.4e-24	Polyphenol oxidase middle domain
A0A6N2ALI0	canonical	593	2	PF12143	PPO1_KFDV	460	590	5.2e-42	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2ALR9	canonical	596	2	PF00264	Tyrosinase	171	384	8.9e-30	Common central domain of tyrosinase
A0A6N2ALR9	canonical	596	2	PF12142	PPO1_DWL	390	441	4.2e-23	Polyphenol oxidase middle domain
A0A6N2ALR9	canonical	596	2	PF12143	PPO1_KFDV	461	593	6.8e-42	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2ANX6	canonical	593	2	PF00264	Tyrosinase	168	381	9.7e-35	Common central domain of tyrosinase
A0A6N2ANX6	canonical	593	2	PF12142	PPO1_DWL	387	438	2.4e-24	Polyphenol oxidase middle domain
A0A6N2ANX6	canonical	593	2	PF12143	PPO1_KFDV	458	590	4.2e-43	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2B2V5	canonical	587	2	PF00264	Tyrosinase	169	376	1.2e-32	Common central domain of tyrosinase
A0A6N2B2V5	canonical	587	2	PF12142	PPO1_DWL	382	433	2.1e-23	Polyphenol oxidase middle domain
A0A6N2B2V5	canonical	587	2	PF12143	PPO1_KFDV	453	584	1.1e-41	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2CBM7	canonical	624	2	PF00264	Tyrosinase	190	398	5.1e-34	Common central domain of tyrosinase
A0A6N2CBM7	canonical	624	2	PF12142	PPO1_DWL	404	455	1.6e-25	Polyphenol oxidase middle domain
A0A6N2CBM7	canonical	624	2	PF12143	PPO1_KFDV	490	622	2.0e-47	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2KGZ7	canonical	583	2	PF00264	Tyrosinase	152	361	1.4e-33	Common central domain of tyrosinase
A0A6N2KGZ7	canonical	583	2	PF12142	PPO1_DWL	367	418	9.2e-22	Polyphenol oxidase middle domain
A0A6N2KGZ7	canonical	583	2	PF12143	PPO1_KFDV	453	580	9.8e-55	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2KNK4	canonical	573	2	PF00264	Tyrosinase	159	367	2.9e-35	Common central domain of tyrosinase
A0A6N2KNK4	canonical	573	2	PF12142	PPO1_DWL	374	425	2.7e-26	Polyphenol oxidase middle domain
A0A6N2KNK4	canonical	573	2	PF12143	PPO1_KFDV	445	570	4.5e-45	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2KR60	discarded	388	2	PF00264	Tyrosinase	30	190	6.8e-06	Common central domain of tyrosinase
A0A6N2KR60	discarded	388	2	PF12142	PPO1_DWL	193	235	1.1e-15	Polyphenol oxidase middle domain
A0A6N2KR60	discarded	388	2	PF12143	PPO1_KFDV	260	385	6.2e-48	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2KVB3	canonical	562	3	PF00264	Tyrosinase	126	344	1.6e-32	Common central domain of tyrosinase
A0A6N2KVB3	canonical	562	3	PF12142	PPO1_DWL	350	400	2.2e-20	Polyphenol oxidase middle domain
A0A6N2KVB3	canonical	562	3	PF12143	PPO1_KFDV	425	560	4.0e-36	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2KXN2	discarded	560	2	PF00264	Tyrosinase	144	350	1.1e-36	Common central domain of tyrosinase
A0A6N2KXN2	discarded	560	2	PF12142	PPO1_DWL	357	408	7.3e-24	Polyphenol oxidase middle domain
A0A6N2KXN2	discarded	560	2	PF12143	PPO1_KFDV	429	557	1.1e-46	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2KYI3	discarded	306	2	PF00264	Tyrosinase	19	131	3.4e-16	Common central domain of tyrosinase
A0A6N2KYI3	discarded	306	2	PF12142	PPO1_DWL	138	189	5.5e-27	Polyphenol oxidase middle domain
A0A6N2KYI3	discarded	306	2	PF12143	PPO1_KFDV	209	306	3.5e-29	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2NH22	canonical	564	2	PF00264	Tyrosinase	159	360	8.5e-34	Common central domain of tyrosinase
A0A6N2NH22	canonical	564	2	PF12142	PPO1_DWL	367	414	8.6e-22	Polyphenol oxidase middle domain
A0A6N2NH22	canonical	564	2	PF12143	PPO1_KFDV	437	561	7.5e-45	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N2NJ47	discarded	403	2	PF00264	Tyrosinase	28	199	4.0e-16	Common central domain of tyrosinase
A0A6N2NJ47	discarded	403	2	PF12142	PPO1_DWL	206	257	6.2e-27	Polyphenol oxidase middle domain
A0A6N2NJ47	discarded	403	2	PF12143	PPO1_KFDV	277	400	1.5e-39	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6N6JP54	canonical	484	3	PF00264	Tyrosinase	128	301	5.9e-28	Common central domain of tyrosinase
A0A6N7KV80	canonical	302	1	PF00264	Tyrosinase	100	176	4.4e-12	Common central domain of tyrosinase
A0A6N7KV80	canonical	302	1	PF00264	Tyrosinase	184	266	1.0e-17	Common central domain of tyrosinase
A0A6N7L0B2	canonical	337	2	PF00264	Tyrosinase	47	286	4.3e-41	Common central domain of tyrosinase
A0A6N7YXA6	discarded	203	1	PF00264	Tyrosinase	63	197	1.3e-14	Common central domain of tyrosinase
A0A6N8FVU8	canonical	508	2	PF00264	Tyrosinase	78	276	8.9e-35	Common central domain of tyrosinase
A0A6N8FVU8	canonical	508	2	PF12142	PPO1_DWL	283	329	2.0e-14	Polyphenol oxidase middle domain
A0A6N8FVU8	canonical	508	2	PF25271	DUF7868	354	485	2.9e-08	Domain of unknown function (DUF7868)
A0A6N9T3N7	canonical	529	2	PF00264	Tyrosinase	67	196	1.2e-11	Common central domain of tyrosinase
A0A6N9T3N7	canonical	529	2	PF00264	Tyrosinase	175	274	6.8e-16	Common central domain of tyrosinase
A0A6N9T3N7	canonical	529	2	PF25271	DUF7868	382	528	2.2e-06	Domain of unknown function (DUF7868)
A0A6N9U3A4	canonical	286	2	PF00264	Tyrosinase	28	237	3.3e-44	Common central domain of tyrosinase
A0A6N9UN96	canonical	288	2	PF00264	Tyrosinase	29	239	2.8e-43	Common central domain of tyrosinase
A0A6N9VB05	canonical	287	2	PF00264	Tyrosinase	28	238	4.1e-42	Common central domain of tyrosinase
A0A6P0UFZ0	canonical	469	3	PF00264	Tyrosinase	58	166	8.7e-08	Common central domain of tyrosinase
A0A6P0UFZ0	canonical	469	3	PF00264	Tyrosinase	151	229	8.8e-17	Common central domain of tyrosinase
A0A6P0UFZ0	canonical	469	3	PF18962	Por_Secre_tail	393	469	3.0e-10	Secretion system C-terminal sorting domain
A0A6P0UL92	canonical	458	2	PF00264	Tyrosinase	49	146	6.7e-07	Common central domain of tyrosinase
A0A6P0UL92	canonical	458	2	PF00264	Tyrosinase	135	220	6.4e-16	Common central domain of tyrosinase
A0A6P0UL92	canonical	458	2	PF18962	Por_Secre_tail	381	457	6.3e-12	Secretion system C-terminal sorting domain
A0A6P1BIH4	canonical	702	4	PF00264	Tyrosinase	196	508	4.9e-31	Common central domain of tyrosinase
A0A6P2C4L1	canonical	377	3	PF00264	Tyrosinase	30	282	2.4e-36	Common central domain of tyrosinase
A0A6P2D548	canonical	463	2	PF00264	Tyrosinase	45	135	1.4e-16	Common central domain of tyrosinase
A0A6P2D548	canonical	463	2	PF00264	Tyrosinase	126	234	8.8e-15	Common central domain of tyrosinase
A0A6P2ID10	canonical	542	2	PF00264	Tyrosinase	46	332	1.0e-44	Common central domain of tyrosinase
A0A6P2M5N1	canonical	541	2	PF00264	Tyrosinase	39	292	3.8e-33	Common central domain of tyrosinase
A0A6P2M5N1	canonical	541	2	PF25271	DUF7868	380	539	8.7e-48	Domain of unknown function (DUF7868)
A0A6P2TWT9	canonical	542	2	PF00264	Tyrosinase	46	332	8.5e-45	Common central domain of tyrosinase
A0A6P2WMV0	canonical	542	2	PF00264	Tyrosinase	46	332	2.9e-44	Common central domain of tyrosinase
A0A6P2XBC7	canonical	542	2	PF00264	Tyrosinase	46	332	1.5e-44	Common central domain of tyrosinase
A0A6P2YXH6	canonical	542	2	PF00264	Tyrosinase	46	332	5.2e-44	Common central domain of tyrosinase
A0A6P3EM25	canonical	526	2	PF00264	Tyrosinase	179	409	1.8e-33	Common central domain of tyrosinase
A0A6P3ETL0	canonical	525	2	PF00264	Tyrosinase	182	417	2.8e-34	Common central domain of tyrosinase
A0A6P3FKC4	canonical	530	1	PF00264	Tyrosinase	170	403	1.3e-41	Common central domain of tyrosinase
A0A6P3HNW9	canonical	519	1	PF00264	Tyrosinase	179	409	9.5e-34	Common central domain of tyrosinase
A0A6P3HXY8	canonical	530	2	PF00264	Tyrosinase	192	422	1.0e-33	Common central domain of tyrosinase
A0A6P3I3N4	canonical	530	2	PF00264	Tyrosinase	170	403	2.1e-43	Common central domain of tyrosinase
A0A6P3IUI9	canonical	537	1	PF00264	Tyrosinase	182	417	6.3e-36	Common central domain of tyrosinase
A0A6P3PYB1	canonical	519	1	PF00264	Tyrosinase	179	409	1.2e-33	Common central domain of tyrosinase
A0A6P3QC37	canonical	531	2	PF00264	Tyrosinase	170	403	4.4e-42	Common central domain of tyrosinase
A0A6P3QQH8	canonical	465	2	PF00264	Tyrosinase	170	403	3.2e-42	Common central domain of tyrosinase
A0A6P3RFC7	canonical	537	1	PF00264	Tyrosinase	182	417	1.6e-35	Common central domain of tyrosinase
A0A6P3VT16	canonical	514	1	PF00264	Tyrosinase	177	407	1.8e-32	Common central domain of tyrosinase
A0A6P3W1X2	canonical	524	2	PF00264	Tyrosinase	172	407	5.4e-34	Common central domain of tyrosinase
A0A6P3YXQ8	canonical	555	2	PF00264	Tyrosinase	130	337	2.8e-34	Common central domain of tyrosinase
A0A6P3YXQ8	canonical	555	2	PF12142	PPO1_DWL	343	394	9.1e-22	Polyphenol oxidase middle domain
A0A6P3YXQ8	canonical	555	2	PF12143	PPO1_KFDV	424	553	2.7e-37	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P3YY59	canonical	603	2	PF00264	Tyrosinase	176	385	3.6e-36	Common central domain of tyrosinase
A0A6P3YY59	canonical	603	2	PF12142	PPO1_DWL	391	442	3.0e-29	Polyphenol oxidase middle domain
A0A6P3YY59	canonical	603	2	PF12143	PPO1_KFDV	475	602	9.7e-55	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P4C4R2	canonical	606	2	PF00264	Tyrosinase	178	389	1.9e-36	Common central domain of tyrosinase
A0A6P4C4R2	canonical	606	2	PF12142	PPO1_DWL	395	446	3.2e-26	Polyphenol oxidase middle domain
A0A6P4C4R2	canonical	606	2	PF12143	PPO1_KFDV	475	604	2.4e-53	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P4CRV9	canonical	571	2	PF00264	Tyrosinase	156	363	1.5e-34	Common central domain of tyrosinase
A0A6P4CRV9	canonical	571	2	PF12142	PPO1_DWL	368	419	2.6e-23	Polyphenol oxidase middle domain
A0A6P4CRV9	canonical	571	2	PF12143	PPO1_KFDV	439	568	1.1e-38	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P4CY22	canonical	577	2	PF00264	Tyrosinase	162	367	8.6e-32	Common central domain of tyrosinase
A0A6P4CY22	canonical	577	2	PF12142	PPO1_DWL	372	423	7.6e-22	Polyphenol oxidase middle domain
A0A6P4CY22	canonical	577	2	PF12143	PPO1_KFDV	444	570	4.5e-33	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P4CZR3	canonical	573	2	PF00264	Tyrosinase	155	366	6.7e-37	Common central domain of tyrosinase
A0A6P4CZR3	canonical	573	2	PF12142	PPO1_DWL	371	422	1.1e-17	Polyphenol oxidase middle domain
A0A6P4CZR3	canonical	573	2	PF12143	PPO1_KFDV	440	567	7.3e-38	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P4D463	canonical	600	2	PF00264	Tyrosinase	176	385	4.9e-33	Common central domain of tyrosinase
A0A6P4D463	canonical	600	2	PF12142	PPO1_DWL	392	443	2.9e-23	Polyphenol oxidase middle domain
A0A6P4D463	canonical	600	2	PF12143	PPO1_KFDV	473	597	1.4e-35	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P4D7K5	canonical	610	2	PF00264	Tyrosinase	189	399	5.1e-34	Common central domain of tyrosinase
A0A6P4D7K5	canonical	610	2	PF12142	PPO1_DWL	407	457	1.8e-23	Polyphenol oxidase middle domain
A0A6P4D7K5	canonical	610	2	PF12143	PPO1_KFDV	481	607	2.2e-39	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P4XRW3	canonical	532	2	PF00264	Tyrosinase	177	433	2.1e-39	Common central domain of tyrosinase
A0A6P4Y7G1	canonical	565	1	PF00264	Tyrosinase	189	419	4.2e-37	Common central domain of tyrosinase
A0A6P4YGM5	canonical	541	2	PF00264	Tyrosinase	172	402	8.7e-40	Common central domain of tyrosinase
A0A6P4YP62	canonical	550	2	PF00264	Tyrosinase	175	431	9.7e-40	Common central domain of tyrosinase
A0A6P4YV80	canonical	525	2	PF00264	Tyrosinase	172	429	6.4e-41	Common central domain of tyrosinase
A0A6P4ZCR3	noncanonical	518	2	PF00264	Tyrosinase	171	400	7.2e-25	Common central domain of tyrosinase
A0A6P4ZW15	canonical	551	2	PF00264	Tyrosinase	178	412	2.3e-30	Common central domain of tyrosinase
A0A6P5A764	canonical	594	2	PF00264	Tyrosinase	224	458	2.9e-28	Common central domain of tyrosinase
A0A6P5AGC0	canonical	592	2	PF00264	Tyrosinase	222	456	2.9e-28	Common central domain of tyrosinase
A0A6P5ATF9	canonical	530	2	PF00264	Tyrosinase	170	403	2.4e-43	Common central domain of tyrosinase
A0A6P5C7F9	canonical	537	1	PF00264	Tyrosinase	182	417	6.3e-36	Common central domain of tyrosinase
A0A6P5CQM7	canonical	517	2	PF00264	Tyrosinase	179	409	9.4e-34	Common central domain of tyrosinase
A0A6P5G1C1	canonical	562	2	PF00264	Tyrosinase	154	359	2.7e-34	Common central domain of tyrosinase
A0A6P5G1C1	canonical	562	2	PF12142	PPO1_DWL	365	416	1.3e-26	Polyphenol oxidase middle domain
A0A6P5G1C1	canonical	562	2	PF12143	PPO1_KFDV	435	560	1.1e-35	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5GAN2	canonical	577	2	PF00264	Tyrosinase	165	374	4.0e-34	Common central domain of tyrosinase
A0A6P5GAN2	canonical	577	2	PF12142	PPO1_DWL	380	431	5.0e-27	Polyphenol oxidase middle domain
A0A6P5GAN2	canonical	577	2	PF12143	PPO1_KFDV	448	575	1.3e-46	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5IH15	canonical	525	1	PF00264	Tyrosinase	184	413	1.2e-34	Common central domain of tyrosinase
A0A6P5J2K7	canonical	535	1	PF00264	Tyrosinase	180	415	1.1e-34	Common central domain of tyrosinase
A0A6P5JQ56	discarded	234	1	PF00264	Tyrosinase	180	234	4.9e-06	Common central domain of tyrosinase
A0A6P5L107	canonical	530	2	PF00264	Tyrosinase	170	403	2.1e-42	Common central domain of tyrosinase
A0A6P5MV04	canonical	580	2	PF00264	Tyrosinase	158	365	4.3e-34	Common central domain of tyrosinase
A0A6P5MV04	canonical	580	2	PF12142	PPO1_DWL	371	422	1.0e-26	Polyphenol oxidase middle domain
A0A6P5MV04	canonical	580	2	PF12143	PPO1_KFDV	449	577	6.8e-57	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5PJQ9	canonical	537	2	PF00264	Tyrosinase	182	417	1.5e-35	Common central domain of tyrosinase
A0A6P5Q199	discarded	390	2	PF00264	Tyrosinase	170	369	2.9e-21	Common central domain of tyrosinase
A0A6P5Q8G7	canonical	531	2	PF00264	Tyrosinase	170	403	1.0e-42	Common central domain of tyrosinase
A0A6P5QYZ9	canonical	517	2	PF00264	Tyrosinase	179	409	1.1e-33	Common central domain of tyrosinase
A0A6P5TSP4	canonical	596	2	PF00264	Tyrosinase	177	387	1.2e-39	Common central domain of tyrosinase
A0A6P5TSP4	canonical	596	2	PF12142	PPO1_DWL	393	445	1.4e-22	Polyphenol oxidase middle domain
A0A6P5TSP4	canonical	596	2	PF12143	PPO1_KFDV	466	594	3.7e-49	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5TUG1	canonical	587	2	PF00264	Tyrosinase	173	382	4.2e-35	Common central domain of tyrosinase
A0A6P5TUG1	canonical	587	2	PF12142	PPO1_DWL	387	438	3.0e-24	Polyphenol oxidase middle domain
A0A6P5TUG1	canonical	587	2	PF12143	PPO1_KFDV	459	583	1.2e-41	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5TUS8	canonical	589	2	PF00264	Tyrosinase	162	371	2.2e-37	Common central domain of tyrosinase
A0A6P5TUS8	canonical	589	2	PF12142	PPO1_DWL	377	428	3.3e-23	Polyphenol oxidase middle domain
A0A6P5TUS8	canonical	589	2	PF12143	PPO1_KFDV	461	587	1.5e-51	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5TUU8	canonical	588	2	PF00264	Tyrosinase	173	382	6.1e-36	Common central domain of tyrosinase
A0A6P5TUU8	canonical	588	2	PF12142	PPO1_DWL	387	439	2.8e-23	Polyphenol oxidase middle domain
A0A6P5TUU8	canonical	588	2	PF12143	PPO1_KFDV	460	584	8.9e-42	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5TUV6	canonical	601	2	PF00264	Tyrosinase	168	377	1.9e-36	Common central domain of tyrosinase
A0A6P5TUV6	canonical	601	2	PF12142	PPO1_DWL	383	434	5.0e-26	Polyphenol oxidase middle domain
A0A6P5TUV6	canonical	601	2	PF12143	PPO1_KFDV	467	599	2.0e-49	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5TVH0	canonical	596	2	PF00264	Tyrosinase	180	388	6.8e-35	Common central domain of tyrosinase
A0A6P5TVH0	canonical	596	2	PF12142	PPO1_DWL	393	445	1.2e-23	Polyphenol oxidase middle domain
A0A6P5TVH0	canonical	596	2	PF12143	PPO1_KFDV	466	592	2.0e-45	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5U5T0	canonical	570	3	PF00264	Tyrosinase	142	348	1.9e-28	Common central domain of tyrosinase
A0A6P5U5T0	canonical	570	3	PF12142	PPO1_DWL	355	405	7.5e-23	Polyphenol oxidase middle domain
A0A6P5U5T0	canonical	570	3	PF12143	PPO1_KFDV	442	568	8.2e-40	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5WWI1	canonical	608	2	PF00264	Tyrosinase	179	388	1.5e-37	Common central domain of tyrosinase
A0A6P5WWI1	canonical	608	2	PF12142	PPO1_DWL	394	445	1.5e-28	Polyphenol oxidase middle domain
A0A6P5WWI1	canonical	608	2	PF12143	PPO1_KFDV	478	605	2.3e-53	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5WYD0	canonical	600	2	PF00264	Tyrosinase	174	383	5.3e-35	Common central domain of tyrosinase
A0A6P5WYD0	canonical	600	2	PF12142	PPO1_DWL	389	440	8.0e-28	Polyphenol oxidase middle domain
A0A6P5WYD0	canonical	600	2	PF12143	PPO1_KFDV	470	597	1.9e-56	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5XCY6	canonical	571	2	PF00264	Tyrosinase	143	350	6.3e-30	Common central domain of tyrosinase
A0A6P5XCY6	canonical	571	2	PF12142	PPO1_DWL	356	407	3.7e-24	Polyphenol oxidase middle domain
A0A6P5XCY6	canonical	571	2	PF12143	PPO1_KFDV	443	569	2.6e-32	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P5XY90	canonical	552	2	PF00264	Tyrosinase	176	385	2.5e-35	Common central domain of tyrosinase
A0A6P5XY90	canonical	552	2	PF12142	PPO1_DWL	392	443	9.7e-21	Polyphenol oxidase middle domain
A0A6P5XY90	canonical	552	2	PF12143	PPO1_KFDV	467	549	6.7e-20	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6ABN5	canonical	571	2	PF00264	Tyrosinase	143	350	5.0e-30	Common central domain of tyrosinase
A0A6P6ABN5	canonical	571	2	PF12142	PPO1_DWL	356	407	2.5e-22	Polyphenol oxidase middle domain
A0A6P6ABN5	canonical	571	2	PF12143	PPO1_KFDV	443	569	1.7e-33	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6BJY7	canonical	601	2	PF00264	Tyrosinase	175	383	1.1e-37	Common central domain of tyrosinase
A0A6P6BJY7	canonical	601	2	PF12142	PPO1_DWL	390	441	1.3e-25	Polyphenol oxidase middle domain
A0A6P6BJY7	canonical	601	2	PF12143	PPO1_KFDV	470	598	7.2e-48	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6HWD8	canonical	549	1	PF00264	Tyrosinase	211	441	3.8e-34	Common central domain of tyrosinase
A0A6P6I7U8	canonical	554	1	PF00264	Tyrosinase	182	417	2.1e-35	Common central domain of tyrosinase
A0A6P6I7X4	canonical	537	2	PF00264	Tyrosinase	182	417	2.0e-35	Common central domain of tyrosinase
A0A6P6I8I8	canonical	555	1	PF00264	Tyrosinase	182	417	2.1e-35	Common central domain of tyrosinase
A0A6P6IAZ8	canonical	530	1	PF00264	Tyrosinase	170	403	1.8e-43	Common central domain of tyrosinase
A0A6P6JJR2	canonical	526	1	PF00264	Tyrosinase	172	407	5.7e-35	Common central domain of tyrosinase
A0A6P6LDT2	canonical	541	1	PF00264	Tyrosinase	176	410	1.1e-43	Common central domain of tyrosinase
A0A6P6PH11	canonical	541	2	PF00264	Tyrosinase	176	410	9.1e-44	Common central domain of tyrosinase
A0A6P6PSJ1	canonical	526	2	PF00264	Tyrosinase	172	407	3.5e-34	Common central domain of tyrosinase
A0A6P6PTF3	canonical	525	2	PF00264	Tyrosinase	176	410	5.7e-33	Common central domain of tyrosinase
A0A6P6Q1G2	canonical	515	2	PF00264	Tyrosinase	177	407	1.1e-32	Common central domain of tyrosinase
A0A6P6QVS9	canonical	533	1	PF00264	Tyrosinase	170	404	3.4e-44	Common central domain of tyrosinase
A0A6P6S967	canonical	584	2	PF00264	Tyrosinase	171	381	2.6e-36	Common central domain of tyrosinase
A0A6P6S967	canonical	584	2	PF12142	PPO1_DWL	385	436	2.5e-23	Polyphenol oxidase middle domain
A0A6P6S967	canonical	584	2	PF12143	PPO1_KFDV	454	577	4.6e-39	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6SCZ9	canonical	578	2	PF00264	Tyrosinase	164	372	2.6e-34	Common central domain of tyrosinase
A0A6P6SCZ9	canonical	578	2	PF12142	PPO1_DWL	378	429	3.2e-23	Polyphenol oxidase middle domain
A0A6P6SCZ9	canonical	578	2	PF12143	PPO1_KFDV	450	576	4.8e-41	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6SD00	canonical	578	2	PF00264	Tyrosinase	164	374	1.6e-32	Common central domain of tyrosinase
A0A6P6SD00	canonical	578	2	PF12142	PPO1_DWL	380	431	3.5e-22	Polyphenol oxidase middle domain
A0A6P6SD00	canonical	578	2	PF12143	PPO1_KFDV	452	576	1.7e-40	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6SDP1	canonical	589	2	PF00264	Tyrosinase	175	384	9.6e-34	Common central domain of tyrosinase
A0A6P6SDP1	canonical	589	2	PF12142	PPO1_DWL	389	440	6.0e-20	Polyphenol oxidase middle domain
A0A6P6SDP1	canonical	589	2	PF12143	PPO1_KFDV	462	585	1.3e-36	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6SDQ3	canonical	578	2	PF00264	Tyrosinase	164	372	2.7e-34	Common central domain of tyrosinase
A0A6P6SDQ3	canonical	578	2	PF12142	PPO1_DWL	378	429	1.4e-21	Polyphenol oxidase middle domain
A0A6P6SDQ3	canonical	578	2	PF12143	PPO1_KFDV	450	576	4.8e-41	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6SDS1	canonical	578	2	PF00264	Tyrosinase	164	372	2.7e-34	Common central domain of tyrosinase
A0A6P6SDS1	canonical	578	2	PF12142	PPO1_DWL	378	429	6.0e-23	Polyphenol oxidase middle domain
A0A6P6SDS1	canonical	578	2	PF12143	PPO1_KFDV	450	576	4.8e-41	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6P6SDS2	canonical	578	2	PF00264	Tyrosinase	164	372	2.6e-34	Common central domain of tyrosinase
A0A6P6SDS2	canonical	578	2	PF12142	PPO1_DWL	378	429	3.2e-23	Polyphenol oxidase middle domain
