accession	pool	length	ndom_chainsaw	n_pfam_domains	architecture	extra_domains	extra_pfam_ids
A0A8C9GMP5	canonical	519	2	1	Tyrosinase(179-409)	none	none
A0A8C9GUJ0	canonical	556	2	1	Tyrosinase(179-395)	none	none
A0A8C9IXZ4	canonical	530	1	1	Tyrosinase(170-403)	none	none
A0A8C9IYR5	canonical	519	1	1	Tyrosinase(179-409)	none	none
A0A8C9KAS0	canonical	531	1	1	Tyrosinase(170-403)	none	none
A0A8C9KIK1	canonical	537	1	1	Tyrosinase(182-417)	none	none
A0A8C9LG00	discarded	504	2	1	Tyrosinase(213-393)	none	none
A0A8C9LJ17	discarded	247	1	1	Tyrosinase(4-127)	none	none
A0A8C9MBE3	discarded	247	1	1	Tyrosinase(4-127)	none	none
A0A8C9MEM1	canonical	524	2	1	Tyrosinase(181-404)	none	none
A0A8C9NTR4	canonical	522	2	1	Tyrosinase(181-411)	none	none
A0A8C9P8U8	canonical	514	2	1	Tyrosinase(179-406)	none	none
A0A8C9QPT8	canonical	530	2	1	Tyrosinase(170-403)	none	none
A0A8C9RJM5	canonical	536	2	1	Tyrosinase(169-403)	none	none
A0A8C9S1Z9	canonical	528	1	1	Tyrosinase(172-407)	none	none
A0A8C9S218	canonical	530	1	1	Tyrosinase(174-409)	none	none
A0A8C9S4V1	canonical	533	2	1	Tyrosinase(162-396)	none	none
A0A8C9SKL6	canonical	479	2	1	Tyrosinase(173-407)	none	none
A0A8C9SVH4	canonical	530	2	1	Tyrosinase(168-402)	none	none
A0A8C9T050	canonical	530	2	1	Tyrosinase(162-396)	none	none
A0A8C9T7Y9	canonical	541	1	1	Tyrosinase(173-407)	none	none
A0A8C9TUC2	canonical	529	3	1	Tyrosinase(173-411)	none	none
A0A8C9TX16	canonical	537	1	1	Tyrosinase(190-429)	none	none
A0A8C9U5C4	canonical	529	2	1	Tyrosinase(170-403)	none	none
A0A8C9UKK0	canonical	536	1	1	Tyrosinase(181-416)	none	none
A0A8C9VB52	canonical	515	2	1	Tyrosinase(176-406)	none	none
A0A8C9VDB0	canonical	507	2	1	Tyrosinase(170-396)	none	none
A0A8C9VS47	canonical	536	1	1	Tyrosinase(171-405)	none	none
A0A8C9VTL4	canonical	528	2	1	Tyrosinase(168-402)	none	none
A0A8C9VVP9	canonical	518	2	1	Tyrosinase(170-404)	none	none
A0A8C9W2N0	canonical	506	2	1	Tyrosinase(184-410)	none	none
A0A8C9W7B7	canonical	501	2	1	Tyrosinase(164-398)	none	none
A0A8C9WGW1	canonical	529	2	1	Tyrosinase(161-395)	none	none
A0A8C9WP85	canonical	512	2	1	Tyrosinase(171-397)	none	none
A0A8C9WYK1	canonical	513	1	1	Tyrosinase(176-406)	none	none
A0A8C9Y2W9	canonical	540	1	1	Tyrosinase(172-406)	none	none
A0A8C9ZMM4	canonical	521	2	1	Tyrosinase(172-407)	none	none
A0A8D0AHS8	canonical	547	1	1	Tyrosinase(173-407)	none	none
A0A8D0AI83	canonical	512	2	1	Tyrosinase(170-404)	none	none
A0A8D0AJR2	canonical	521	1	1	Tyrosinase(172-406)	none	none
A0A8D0AJS7	canonical	557	1	1	Tyrosinase(170-404)	none	none
A0A8D0AKH8	canonical	550	1	1	Tyrosinase(172-406)	none	none
A0A8D0AKK8	canonical	546	1	1	Tyrosinase(172-406)	none	none
A0A8D0AKM4	canonical	534	2	1	Tyrosinase(170-404)	none	none
A0A8D0ANY3	canonical	510	2	1	Tyrosinase(169-403)	none	none
A0A8D0APM3	canonical	544	2	1	Tyrosinase(170-404)	none	none
A0A8D0ASF2	canonical	495	2	1	Tyrosinase(170-404)	none	none
A0A8D0AZ20	canonical	546	1	1	Tyrosinase(191-426)	none	none
A0A8D0BS08	canonical	528	1	1	Tyrosinase(170-403)	none	none
A0A8D0CH64	canonical	504	1	1	Tyrosinase(155-382)	none	none
A0A8D0CM39	canonical	526	2	1	Tyrosinase(164-398)	none	none
A0A8D0CMF0	canonical	474	2	1	Tyrosinase(177-407)	none	none
A0A8D0CMP5	canonical	540	2	1	Tyrosinase(173-407)	none	none
A0A8D0DJB8	canonical	530	2	1	Tyrosinase(175-410)	none	none
A0A8D0DRY0	canonical	523	1	1	Tyrosinase(182-412)	none	none
A0A8D0EH84	canonical	522	1	1	Tyrosinase(181-411)	none	none
A0A8D0FRF8	canonical	536	1	1	Tyrosinase(181-416)	none	none
A0A8D0FUZ0	canonical	529	2	1	Tyrosinase(170-403)	none	none
A0A8D0FV00	discarded	238	1	1	Tyrosinase(9-112)	none	none
A0A8D0GLE9	discarded	300	1	1	Tyrosinase(170-293)	none	none
A0A8D0H245	canonical	530	2	1	Tyrosinase(175-410)	none	none
A0A8D0H4N9	canonical	522	1	1	Tyrosinase(185-415)	none	none
A0A8D0PRS3	canonical	421	2	1	Tyrosinase(137-367)	none	none
A0A8D0PXS0	canonical	470	2	1	Tyrosinase(179-409)	none	none
A0A8D0RT99	canonical	463	2	1	Tyrosinase(179-409)	none	none
A0A8D0S3X8	canonical	444	2	1	Tyrosinase(137-367)	none	none
A0A8D0X2P1	canonical	562	1	1	Tyrosinase(207-442)	none	none
A0A8D0XKY8	canonical	463	2	1	Tyrosinase(179-409)	none	none
A0A8D0XST1	canonical	421	2	1	Tyrosinase(137-367)	none	none
A0A8D0Z0W5	canonical	562	2	1	Tyrosinase(207-442)	none	none
A0A8D1CEU5	canonical	470	2	1	Tyrosinase(179-409)	none	none
A0A8D1CR85	canonical	486	2	1	Tyrosinase(179-409)	none	none
A0A8D1FZ43	canonical	531	2	1	Tyrosinase(170-403)	none	none
A0A8D1GQJ8	canonical	421	2	1	Tyrosinase(137-367)	none	none
A0A8D1I653	canonical	394	2	1	Tyrosinase(170-394)	none	none
A0A8D1K6T4	discarded	421	2	1	Tyrosinase(137-367)	none	none
A0A8D1K6U0	discarded	463	2	1	Tyrosinase(179-409)	none	none
A0A8D1QHB0	canonical	398	2	1	Tyrosinase(170-398)	none	none
A0A8D1US19	canonical	504	1	1	Tyrosinase(132-395)	none	none
A0A8D1US54	canonical	518	2	1	Tyrosinase(179-409)	none	none
A0A8D1USC2	canonical	476	2	1	Tyrosinase(137-367)	none	none
A0A8D1XF07	canonical	444	2	1	Tyrosinase(137-367)	none	none
A0A8D1XHC9	canonical	486	2	1	Tyrosinase(179-409)	none	none
A0A8D2AEJ0	canonical	517	1	1	Tyrosinase(179-409)	none	none
A0A8D2AM71	discarded	407	2	1	Tyrosinase(179-395)	none	none
A0A8D2DF68	discarded	247	2	1	Tyrosinase(5-127)	none	none
A0A8D2EQ83	canonical	530	3	1	Tyrosinase(170-403)	none	none
A0A8D2ETI7	canonical	552	2	1	Tyrosinase(179-395)	none	none
A0A8D2FM79	discarded	247	1	1	Tyrosinase(5-127)	none	none
A0A8D2FPS1	canonical	537	1	1	Tyrosinase(182-417)	none	none
A0A8D2H873	canonical	530	2	1	Tyrosinase(170-403)	none	none
A0A8D2HD60	canonical	517	2	1	Tyrosinase(179-409)	none	none
A0A8D2JP97	canonical	537	1	1	Tyrosinase(182-417)	none	none
A0A8D2JQJ4	canonical	530	1	1	Tyrosinase(170-403)	none	none
A0A8D2JYR4	canonical	519	2	1	Tyrosinase(179-409)	none	none
A0A8D2KQ64	canonical	535	1	1	Tyrosinase(180-415)	none	none
A0A8D2L695	canonical	533	2	1	Tyrosinase(178-413)	none	none
A0A8D2LAH9	canonical	472	2	1	Tyrosinase(170-403)	none	none
A0A8D2LQ88	canonical	506	2	1	Tyrosinase(181-410)	none	none
A0A8D2LQK5	canonical	537	2	1	Tyrosinase(196-426)	none	none
A0A8D2LR82	canonical	518	2	1	Tyrosinase(178-407)	none	none
A0A8D2LRE4	canonical	513	2	1	Tyrosinase(189-418)	none	none
A0A8D2LRX8	canonical	500	2	1	Tyrosinase(171-400)	none	none
A0A8D2LSH8	canonical	513	2	1	Tyrosinase(177-406)	none	none
A0A8D2LT03	canonical	493	2	1	Tyrosinase(175-404)	none	none
A0A8D2MIM5	canonical	529	2	1	Tyrosinase(170-403)	none	none
A0A8D2MP71	canonical	522	2	1	Tyrosinase(181-411)	none	none
A0A8D2N3N9	canonical	536	1	1	Tyrosinase(181-416)	none	none
A0A8D2N594	canonical	475	2	1	Tyrosinase(181-416)	none	none
A0A8D2NTN1	canonical	522	1	1	Tyrosinase(181-411)	none	none
A0A8D2PIB3	canonical	492	1	1	Tyrosinase(181-416)	none	none
A0A8D2QN12	canonical	529	2	1	Tyrosinase(170-403)	none	none
A0A8D2QR43	canonical	536	2	1	Tyrosinase(181-416)	none	none
A0A8D3AN10	canonical	533	1	1	Tyrosinase(178-413)	none	none
A0A8D3B288	canonical	519	1	1	Tyrosinase(180-410)	none	none
A0A8D3B574	canonical	559	1	1	Tyrosinase(183-417)	none	none
A0A8D3BBI3	canonical	539	2	1	Tyrosinase(172-406)	none	none
A0A8D3BJG5	canonical	534	1	1	Tyrosinase(179-414)	none	none
A0A8D3BVJ0	canonical	530	2	1	Tyrosinase(175-410)	none	none
A0A8D3CBZ2	canonical	533	1	1	Tyrosinase(178-413)	none	none
A0A8D3CL83	canonical	528	1	1	Tyrosinase(173-408)	none	none
A0A8D3CX79	canonical	541	1	1	Tyrosinase(186-421)	none	none
A0A8D3DDF3	canonical	533	1	1	Tyrosinase(178-413)	none	none
A0A8D3DIS3	canonical	538	2	1	Tyrosinase(183-418)	none	none
A0A8D3DWW6	canonical	528	1	1	Tyrosinase(173-408)	none	none
A0A8D3EAZ4	canonical	530	1	1	Tyrosinase(175-410)	none	none
A0A8D3X086	canonical	297	2	1	Tyrosinase(32-244)	none	none
A0A8D4BDD6	canonical	286	2	1	Tyrosinase(28-237)	none	none
A0A8D4TSM1	canonical	536	2	1	Tyrosinase(171-409)	none	none
A0A8D7EVW3	canonical	593	2	3	Tyrosinase(156-365) | PPO1_DWL(371-423) | PPO1_KFDV(451-584)	PPO1_DWL(371-423) | PPO1_KFDV(451-584)	PF12142;PF12143
A0A8D7EWJ4	canonical	595	2	3	Tyrosinase(156-367) | PPO1_DWL(373-425) | PPO1_KFDV(453-586)	PPO1_DWL(373-425) | PPO1_KFDV(453-586)	PF12142;PF12143
A0A8D7FBP1	canonical	573	2	3	Tyrosinase(160-369) | PPO1_DWL(375-426) | PPO1_KFDV(448-571)	PPO1_DWL(375-426) | PPO1_KFDV(448-571)	PF12142;PF12143
A0A8E0QKL5	canonical	386	1	1	Tyrosinase(99-327)	none	none
A0A8E0QRX9	canonical	348	1	1	Tyrosinase(71-291)	none	none
A0A8E0QWF1	canonical	348	1	1	Tyrosinase(64-292)	none	none
A0A8E0R3M2	discarded	444	1	1	Tyrosinase(193-386)	none	none
A0A8E0R4H9	canonical	445	3	1	Tyrosinase(41-367)	none	none
A0A8E0RJZ7	canonical	653	2	1	Tyrosinase(184-486)	none	none
A0A8E0S8D1	canonical	407	2	1	Tyrosinase(167-402)	none	none
A0A8E0V7V4	canonical	492	3	3	Tyrosinase(28-223) | PPC(300-367) | PPC(409-476)	PPC(300-367) | PPC(409-476)	PF04151
A0A8E0VLB5	canonical	488	2	1	Tyrosinase(179-415)	none	none
A0A8E2AKR6	canonical	570	2	2	Tyrosinase(56-319) | Tyrosinase_C(419-530)	none	none
A0A8E2AVU6	discarded	513	2	3	Tyrosinase(53-183) | Tyrosinase(161-259) | Tyrosinase_C(363-473)	none	none
A0A8E2AW04	canonical	570	2	2	Tyrosinase(56-319) | Tyrosinase_C(419-530)	none	none
A0A8E2DWK1	canonical	677	2	2	Tyrosinase(97-352) | Tyrosinase_C(458-576)	none	none
A0A8E2E040	canonical	657	2	2	Tyrosinase(56-311) | Tyrosinase_C(493-618)	none	none
A0A8E2E888	canonical	366	1	1	Tyrosinase(90-304)	none	none
A0A8E2EJQ3	canonical	359	1	1	Tyrosinase(72-294)	none	none
A0A8E2EM46	canonical	643	2	2	Tyrosinase(103-354) | Tyrosinase_C(483-602)	none	none
A0A8E2EQ07	canonical	547	2	2	Tyrosinase(54-306) | Tyrosinase_C(402-517)	none	none
A0A8E2ERP3	canonical	632	2	2	Tyrosinase(24-298) | Tyrosinase_C(464-591)	none	none
A0A8E2EXZ3	canonical	675	2	2	Tyrosinase(97-352) | Tyrosinase_C(457-574)	none	none
A0A8E2F0P1	canonical	395	1	1	Tyrosinase(106-338)	none	none
A0A8E2F203	canonical	545	2	1	Tyrosinase(44-337)	none	none
A0A8E2F2M6	canonical	700	2	2	Tyrosinase(69-360) | Tyrosinase_C(545-669)	none	none
A0A8E2F2V8	canonical	360	1	1	Tyrosinase(85-304)	none	none
A0A8E2F331	canonical	673	2	2	Tyrosinase(56-375) | Tyrosinase_C(477-624)	none	none
A0A8E2F5T7	canonical	367	1	1	Tyrosinase(91-305)	none	none
A0A8E2F7C8	discarded	524	2	1	Tyrosinase(42-285)	none	none
A0A8E2FC38	discarded	259	1	1	Tyrosinase(3-188)	none	none
A0A8E2FEP8	discarded	350	2	1	Tyrosinase(72-286)	none	none
A0A8E2J837	canonical	437	3	1	Tyrosinase(137-372)	none	none
A0A8E2JHT1	canonical	603	2	2	Tyrosinase(68-316) | Tyrosinase_C(442-561)	none	none
A0A8E2JR73	discarded	81	1	1	Tyrosinase(2-81)	none	none
A0A8E2JUZ8	discarded	213	1	1	Tyrosinase(1-160)	none	none
A0A8E2JVK2	canonical	718	2	2	Tyrosinase(63-380) | Tyrosinase_C(547-678)	none	none
A0A8E2JW89	discarded	245	1	1	Tyrosinase(92-245)	none	none
A0A8E2JWP1	canonical	422	2	1	Tyrosinase(130-364)	none	none
A0A8E2JYG3	canonical	342	1	1	Tyrosinase(73-287)	none	none
A0A8E2JYI7	canonical	660	2	2	Tyrosinase(56-310) | Tyrosinase_C(496-621)	none	none
A0A8E3AQQ7	canonical	532	2	1	Tyrosinase(55-313)	none	none
A0A8E5HUS5	canonical	351	1	1	Tyrosinase(103-298)	none	none
A0A8E5MJ42	canonical	545	2	1	Tyrosinase(71-312)	none	none
A0A8E5MJW1	canonical	629	2	2	Tyrosinase(94-352) | Tyrosinase_C(470-599)	none	none
A0A8E6B3U1	canonical	514	2	3	Tyrosinase(73-278) | PPO1_DWL(283-335) | DUF7868(346-493)	PPO1_DWL(283-335) | DUF7868(346-493)	PF12142;PF25271
A0A8E6HRF2	canonical	610	2	3	Tyrosinase(182-391) | PPO1_DWL(397-448) | PPO1_KFDV(480-608)	PPO1_DWL(397-448) | PPO1_KFDV(480-608)	PF12142;PF12143
A0A8E6HRF3	canonical	603	2	3	Tyrosinase(177-386) | PPO1_DWL(392-443) | PPO1_KFDV(474-601)	PPO1_DWL(392-443) | PPO1_KFDV(474-601)	PF12142;PF12143
A0A8E8PJ43	discarded	137	1	0	no_pfam_hit	none	none
A0A8E8PJ55	discarded	137	1	0	no_pfam_hit	none	none
A0A8E8PJ56	discarded	137	1	0	no_pfam_hit	none	none
A0A8E8PJ67	discarded	137	1	0	no_pfam_hit	none	none
A0A8F0FQS3	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FQT0	discarded	144	1	1	Tyrosinase(91-144)	none	none
A0A8F0FQT5	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FQT6	discarded	194	1	1	Tyrosinase(132-194)	none	none
A0A8F0FQT9	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FQU5	discarded	156	1	1	Tyrosinase(106-156)	none	none
A0A8F0FQU6	discarded	194	1	1	Tyrosinase(131-194)	none	none
A0A8F0FQU7	discarded	153	1	0	no_pfam_hit	none	none
A0A8F0FQW1	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FR09	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FR13	discarded	182	1	1	Tyrosinase(126-182)	none	none
A0A8F0FR20	discarded	156	1	1	Tyrosinase(106-156)	none	none
A0A8F0FR56	discarded	158	1	1	Tyrosinase(105-158)	none	none
A0A8F0FR70	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FR81	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FR97	discarded	160	1	1	Tyrosinase(106-160)	none	none
A0A8F0FRD1	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FRH0	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FRI0	discarded	166	1	1	Tyrosinase(114-166)	none	none
A0A8F0FRQ3	discarded	171	1	1	Tyrosinase(113-171)	none	none
A0A8F0FS99	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0FSA6	discarded	194	1	1	Tyrosinase(132-194)	none	none
A0A8F0FSH7	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0K642	discarded	193	1	1	Tyrosinase(130-193)	none	none
A0A8F0K648	discarded	157	1	1	Tyrosinase(104-157)	none	none
A0A8F0K706	discarded	194	1	1	Tyrosinase(132-194)	none	none
A0A8F0K731	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0K7D4	discarded	173	1	1	Tyrosinase(120-173)	none	none
A0A8F0K7D9	discarded	161	1	1	Tyrosinase(108-161)	none	none
A0A8F0K7E4	discarded	174	1	1	Tyrosinase(113-174)	none	none
A0A8F0K7H7	discarded	178	1	0	no_pfam_hit	none	none
A0A8F0K7R3	discarded	144	1	1	Tyrosinase(91-144)	none	none
A0A8F0K7R8	discarded	140	1	1	Tyrosinase(91-140)	none	none
A0A8F0K7S4	discarded	154	1	1	Tyrosinase(104-154)	none	none
A0A8F0K8Q4	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8F0K8Q7	discarded	194	1	1	Tyrosinase(131-194)	none	none
A0A8F3C424	discarded	190	1	1	Tyrosinase(118-190)	none	none
A0A8F4Q4J9	canonical	473	2	1	Tyrosinase(116-300)	none	none
A0A8F6UAS3	discarded	485	2	2	Tyrosinase(120-307) | PPO1_KFDV(354-485)	PPO1_KFDV(354-485)	PF12143
A0A8G0G1E1	canonical	341	2	1	Tyrosinase(53-288)	none	none
A0A8G0LIR9	canonical	624	3	2	Tyrosinase(89-347) | Tyrosinase_C(480-596)	none	none
A0A8G0LLK9	discarded	351	2	1	Tyrosinase(3-112)	none	none
A0A8G0LMA0	canonical	552	2	1	Tyrosinase(71-313)	none	none
A0A8G1H487	discarded	204	1	1	Tyrosinase(136-204)	none	none
A0A8G1H492	discarded	205	1	1	Tyrosinase(137-205)	none	none
A0A8G1H495	discarded	202	1	1	Tyrosinase(136-202)	none	none
A0A8G1H4A1	discarded	192	1	1	Tyrosinase(135-192)	none	none
A0A8G1H4A3	discarded	209	1	1	Tyrosinase(141-209)	none	none
A0A8G1H4B2	discarded	195	1	1	Tyrosinase(138-195)	none	none
A0A8G1H4C1	discarded	192	1	1	Tyrosinase(135-192)	none	none
A0A8G1H4D0	discarded	205	1	1	Tyrosinase(137-205)	none	none
A0A8G1H4D6	discarded	204	2	1	Tyrosinase(137-202)	none	none
A0A8G1H4J1	discarded	205	1	1	Tyrosinase(137-205)	none	none
A0A8G1H4J5	discarded	204	1	1	Tyrosinase(137-204)	none	none
A0A8G1H4K7	discarded	195	1	1	Tyrosinase(138-195)	none	none
A0A8G1H4R8	discarded	202	1	1	Tyrosinase(138-202)	none	none
A0A8G1H4S3	discarded	191	1	1	Tyrosinase(134-191)	none	none
A0A8G1H4U1	discarded	193	1	1	Tyrosinase(136-193)	none	none
A0A8G1H4U5	discarded	207	1	1	Tyrosinase(139-207)	none	none
A0A8G1H4V0	discarded	193	1	1	Tyrosinase(138-191)	none	none
A0A8G1H4W1	discarded	202	1	1	Tyrosinase(136-202)	none	none
A0A8G1H4W6	discarded	200	1	1	Tyrosinase(139-200)	none	none
A0A8G1H4Z5	discarded	204	1	1	Tyrosinase(137-204)	none	none
A0A8G1H507	discarded	202	1	1	Tyrosinase(136-202)	none	none
A0A8G1H5C8	discarded	193	1	1	Tyrosinase(136-193)	none	none
A0A8G1H5D9	discarded	192	1	1	Tyrosinase(135-192)	none	none
A0A8G1H5F0	discarded	204	1	1	Tyrosinase(137-204)	none	none
A0A8G1H5Q5	discarded	203	1	1	Tyrosinase(136-203)	none	none
A0A8G1H5R4	discarded	204	1	1	Tyrosinase(137-204)	none	none
A0A8G1H5S6	discarded	203	1	1	Tyrosinase(136-203)	none	none
A0A8G1M2P9	discarded	193	1	1	Tyrosinase(136-193)	none	none
A0A8G1M2Q3	discarded	203	1	1	Tyrosinase(137-203)	none	none
A0A8G1M2Q7	discarded	205	1	1	Tyrosinase(138-205)	none	none
A0A8G1M2Y2	discarded	191	2	1	Tyrosinase(136-189)	none	none
A0A8G1M2Y6	discarded	193	1	1	Tyrosinase(136-193)	none	none
A0A8G1M2Z5	discarded	195	1	1	Tyrosinase(138-195)	none	none
A0A8G1M362	discarded	202	1	1	Tyrosinase(136-202)	none	none
A0A8G1M366	discarded	204	1	1	Tyrosinase(137-204)	none	none
A0A8G1M370	discarded	193	1	1	Tyrosinase(136-193)	none	none
A0A8G1M377	discarded	193	1	1	Tyrosinase(136-193)	none	none
A0A8G1M422	discarded	193	1	1	Tyrosinase(136-193)	none	none
A0A8G1M427	discarded	202	1	1	Tyrosinase(138-202)	none	none
A0A8G1QQX9	canonical	334	1	1	Tyrosinase(80-271)	none	none
A0A8G1QUI1	canonical	383	1	1	Tyrosinase(96-325)	none	none
A0A8G1QUY8	canonical	341	1	1	Tyrosinase(88-279)	none	none
A0A8G1RJC8	canonical	329	1	1	Tyrosinase(76-267)	none	none
A0A8G1RPW7	canonical	385	1	1	Tyrosinase(98-327)	none	none
A0A8G1RYK6	canonical	355	1	1	Tyrosinase(67-298)	none	none
A0A8G1S217	canonical	339	1	1	Tyrosinase(86-277)	none	none
A0A8G1VJJ2	canonical	406	2	1	Tyrosinase(114-348)	none	none
A0A8G1VMI2	canonical	350	1	1	Tyrosinase(67-293)	none	none
A0A8G1VR45	canonical	402	1	1	Tyrosinase(115-345)	none	none
A0A8G1VV01	canonical	409	2	1	Tyrosinase(118-351)	none	none
A0A8G1W2S6	discarded	259	1	1	Tyrosinase(16-183)	none	none
A0A8H2DRG7	canonical	593	2	1	Tyrosinase(50-337)	none	none
A0A8H2DTR3	canonical	708	2	2	Tyrosinase(171-438) | Tyrosinase_C(552-669)	none	none
A0A8H2E7P9	canonical	644	2	2	Tyrosinase(142-387) | Tyrosinase_C(484-604)	none	none
A0A8H2E7V3	canonical	693	2	2	Tyrosinase(68-367) | Tyrosinase_C(525-657)	none	none
A0A8H2S6K7	discarded	147	1	1	Tyrosinase(43-147)	none	none
A0A8H2S6K8	discarded	244	1	1	Tyrosinase(115-242)	none	none
A0A8H2S981	discarded	195	1	1	Tyrosinase(132-195)	none	none
A0A8H2S982	discarded	165	1	1	Tyrosinase(108-165)	none	none
A0A8H2S983	discarded	194	1	1	Tyrosinase(131-194)	none	none
A0A8H2VKB5	canonical	639	2	2	Tyrosinase(103-359) | Tyrosinase_C(482-603)	none	none
A0A8H2VQV0	noncanonical	359	1	1	Tyrosinase(118-313)	none	none
A0A8H2VS30	canonical	582	2	2	Tyrosinase(81-336) | Tyrosinase_C(432-547)	none	none
A0A8H2VV58	discarded	283	1	1	Tyrosinase(1-223)	none	none
A0A8H2W0H1	discarded	269	2	2	Tyrosinase(1-30) | Tyrosinase_C(123-235)	none	none
A0A8H2W4T0	canonical	357	1	1	Tyrosinase(84-294)	none	none
A0A8H2W7R3	discarded	737	2	1	Tyrosinase(121-377)	none	none
A0A8H2W809	canonical	431	1	1	Tyrosinase(156-367)	none	none
A0A8H2W928	canonical	348	1	1	Tyrosinase(74-279)	none	none
A0A8H2W9D2	canonical	360	1	1	Tyrosinase(84-297)	none	none
A0A8H2W9Q2	discarded	625	2	2	Tyrosinase(48-255) | Tyrosinase(384-582)	none	none
A0A8H2WBF2	canonical	333	1	1	Tyrosinase(73-276)	none	none
A0A8H2WDL1	discarded	332	1	1	Tyrosinase(73-275)	none	none
A0A8H2WDM7	canonical	356	1	1	Tyrosinase(86-292)	none	none
A0A8H2WDY0	canonical	639	2	2	Tyrosinase(88-301) | Pro_CA(467-627)	Pro_CA(467-627)	PF00484
A0A8H2WDZ0	canonical	279	1	1	Tyrosinase(10-221)	none	none
A0A8H2WET3	canonical	326	1	1	Tyrosinase(82-269)	none	none
A0A8H2WEW9	canonical	352	2	1	Tyrosinase(89-289)	none	none
A0A8H2WEZ6	canonical	363	1	1	Tyrosinase(87-300)	none	none
A0A8H2WI32	canonical	365	2	1	Tyrosinase(101-302)	none	none
A0A8H2WM01	canonical	356	2	1	Tyrosinase(73-279)	none	none
A0A8H2WMA3	canonical	322	1	1	Tyrosinase(78-264)	none	none
A0A8H2WMM3	canonical	367	2	1	Tyrosinase(92-305)	none	none
A0A8H2WNW1	canonical	317	1	1	Tyrosinase(73-260)	none	none
A0A8H2WP90	canonical	363	2	1	Tyrosinase(78-302)	none	none
A0A8H2WPP2	discarded	94	1	1	Tyrosinase(1-29)	none	none
A0A8H2WQD8	canonical	354	1	1	Tyrosinase(86-292)	none	none
A0A8H2WRM0	canonical	343	1	1	Tyrosinase(102-289)	none	none
A0A8H2WV07	canonical	315	1	1	Tyrosinase(70-256)	none	none
A0A8H2WW00	discarded	174	1	1	Tyrosinase(9-97)	none	none
A0A8H2WX59	discarded	155	1	1	Tyrosinase(7-84)	none	none
A0A8H2WXU0	canonical	322	1	1	Tyrosinase(70-256)	none	none
A0A8H2WYZ7	canonical	363	1	1	Tyrosinase(87-300)	none	none
A0A8H2X5G0	discarded	102	1	1	Tyrosinase(1-25)	none	none
A0A8H2X7X2	canonical	359	2	1	Tyrosinase(84-296)	none	none
A0A8H2X7Z7	canonical	357	1	1	Tyrosinase(84-294)	none	none
A0A8H2X9J9	noncanonical	324	1	1	Tyrosinase(78-277)	none	none
A0A8H2X9N2	canonical	359	1	1	Tyrosinase(84-296)	none	none
A0A8H2XCD1	canonical	332	1	1	Tyrosinase(61-259)	none	none
A0A8H2XCL6	canonical	364	1	1	Tyrosinase(84-301)	none	none
A0A8H2XG86	canonical	318	1	1	Tyrosinase(66-255)	none	none
A0A8H2XI08	canonical	362	1	1	Tyrosinase(87-300)	none	none
A0A8H2XJG0	canonical	357	1	1	Tyrosinase(84-294)	none	none
A0A8H2XL28	canonical	352	2	1	Tyrosinase(88-288)	none	none
A0A8H2XQU0	canonical	356	2	1	Tyrosinase(73-279)	none	none
A0A8H2XQY6	noncanonical	382	2	1	Tyrosinase(109-315)	none	none
A0A8H2XRL2	discarded	700	3	2	Tyrosinase(21-324) | Tyrosinase_C(521-636)	none	none
A0A8H2XU14	canonical	314	1	1	Tyrosinase(73-260)	none	none
A0A8H2XWF9	canonical	336	2	1	Tyrosinase(86-294)	none	none
A0A8H2XWZ9	canonical	365	2	1	Tyrosinase(79-302)	none	none
A0A8H2XZI9	canonical	714	2	1	Tyrosinase(60-369)	none	none
A0A8H2Y0I3	canonical	351	2	1	Tyrosinase(73-279)	none	none
A0A8H2Y0Y5	canonical	364	1	1	Tyrosinase(89-302)	none	none
A0A8H2Y1F4	canonical	401	1	2	Tyrosinase(84-262) | Tyrosinase(290-338)	none	none
A0A8H2ZLL6	discarded	91	1	1	Tyrosinase(1-34)	none	none
A0A8H2ZM91	canonical	526	2	2	Tyrosinase(10-257) | Tyrosinase_C(374-495)	none	none
A0A8H2ZTG7	discarded	530	1	2	Tyrosinase(1-181) | Tyrosinase_C(365-491)	none	none
A0A8H2ZUE3	discarded	316	1	1	Tyrosinase(80-252)	none	none
A0A8H2ZWM0	canonical	367	1	1	Tyrosinase(90-303)	none	none
A0A8H2ZYP1	canonical	365	2	1	Tyrosinase(79-302)	none	none
A0A8H2ZZ57	canonical	733	2	2	Tyrosinase(51-368) | Tyrosinase_C(555-669)	none	none
A0A8H2ZZC9	canonical	346	1	1	Tyrosinase(78-288)	none	none
