accession	classification	n_coord_his	af3_cu1_assignment	af3_cu1_dist_canonical	af3_cu1_plddt	af3_cu2_assignment	af3_cu2_dist_canonical	af3_cu2_plddt	af3_cu_cu_dist	m3d_n_cu_sites	m3d_n_total_sites	m3d_cu1_closest_cu_dist	m3d_cu1_closest_cu_prob	m3d_cu1_closest_any_dist	m3d_cu1_closest_any_element	m3d_cu2_closest_cu_dist	m3d_cu2_closest_cu_prob	m3d_cu2_closest_any_dist	m3d_cu2_closest_any_element	m3d_CuA_cu_dist	m3d_CuA_cu_prob	m3d_CuA_any_dist	m3d_CuA_any_element	m3d_CuB_cu_dist	m3d_CuB_cu_prob	m3d_CuB_any_dist	m3d_CuB_any_element
A0A507F697	binuclear	5	CuB	0.38	85.4	CuA	0.58	74.5	3.6	0	26			7.54	X			7.13	X								
A0A544XUX3	no_cu	2	CuA	1.58	91.9	neither		76.8	30.97	0	16			2.08	X			5.58	X								
A0A562PHQ5	mononuclear	5	CuB	0.23	97.7	CuA	0.93	92.6	4.7	2	29	0.32	0.960	0.32	CU	0.72	0.920	0.72	CU								
A0A5C3QBW9	mononuclear	4	CuB	0.50	96.0	CuA	1.39	75.3	4.84	2	17	0.40	0.910	0.40	CU	2.95	0.840	2.95	CU								
A0A5C6MG15	mononuclear	5	CuB	0.44	91.5	CuA	0.45	78.1	3.95	2	26	0.71	0.370	0.71	CU	1.41	0.330	1.41	CU								
A0A5C6SKB8	binuclear	5	CuB	0.44	92.0	CuA	0.87	89.9	4.58	2	15	0.59	0.950	0.59	CU	1.96	0.690	1.96	CU								
A0A5J6HY91	no_cu	4	CuA	0.75	95.5	CuB	2.26	82.6	5.54	1	8	1.03	0.220	1.03	CU	5.62	0.220	5.62	CU								
A0A5M8PS01	mononuclear	5	CuA	0.54	93.7	CuB	0.97	88.4	3.4	3	20	0.56	0.800	0.56	CU	1.52	0.620	1.52	CU								
A0A5N5DM31	mononuclear	5	CuB	0.30	90.6	CuA	0.70	78.4	4.02	3	14	0.86	0.970	0.86	CU	0.92	0.380	0.92	CU								
A0A5N5QEZ6	binuclear	5	CuB	0.16	97.3	CuA	0.78	89.4	3.88	4	27	0.81	0.940	0.81	CU	1.54	0.680	1.54	CU								
A0A5N6BWN4	no_cu	2	CuA	1.62	93.2	neither		80.8	18.2	0	16			0.68	X			4.66	X								
A0A5N7CL84	no_cu	1	neither		40.4	neither		26.4	9.44	0	48											14.28	X			11.11	X
A0A5N7DKE9	mononuclear	5	CuA	0.48	92.5	CuB	0.34	84.5	4.0	3	28	0.29	0.990	0.29	CU	1.00	0.350	1.00	CU								
A0A5Q4BTC4	no_cu	4	CuA	2.75	77.8	CuB	2.24	44.5	3.42	4	30	0.76	1.000	0.76	CU	1.54	0.810	1.54	CU								
A0A5Q4BZL7	mononuclear	5	CuA	0.60	97.8	CuB	0.55	96.7	3.69	2	24	0.66	1.000	0.66	CU	3.26	0.990	3.26	CU								
A0A5S6PYS3	no_cu	2	neither		67.2	neither		42.1	28.55	0	34			3.70	X			3.42	X								
A0A5S6QIU3	no_cu	4	CuA	1.03	85.8	CuB	0.75	72.5	4.7	2	34	0.17	0.350	0.17	CU	0.85	0.130	0.85	CU								
A0A5S6QUR5	mononuclear	5	CuA	0.95	59.9	neither		35.5	25.29	2	50	1.25	0.930	1.25	CU	24.82	0.930	1.90	X	0.97	0.810	0.97	CU	3.47	0.810	3.31	X
A0A654M5U9	binuclear	5	CuB	0.44	98.2	CuA	0.66	91.9	4.35	3	25	0.66	0.530	0.66	CU	1.72	0.470	1.72	CU								
A0A665TYY4	mononuclear	5	CuA	0.59	93.0	neither		55.6	20.81	1	30	0.18	0.930	0.18	CU	20.87	0.930	2.56	X	1.03	0.980	1.03	CU	1.77	0.500	1.77	CU
A0A665U0T6	mononuclear	4	CuA	0.54	93.7	neither		56.9	17.42	2	36	0.52	0.950	0.52	CU	17.61	0.950	2.74	ZN	1.26	0.660	1.26	CU	0.51	0.440	0.51	CU
A0A669D1M6	mononuclear	5	CuA	0.38	89.6	CuB	4.56	35.8	7.59	1	34	0.31	0.970	0.31	CU	7.36	0.970	7.36	CU	1.26	0.490	1.26	CU	2.68	0.410	2.68	CU
A0A672MGC5	mononuclear	4	CuB	0.46	89.5	CuA	4.39	62.0	7.49	1	20	0.34	0.960	0.34	CU	7.73	0.960	7.73	CU								
A0A672ML46	mononuclear	4	CuB	0.40	90.6	CuA	4.60	62.7	7.71	1	21	0.59	0.650	0.59	CU	7.89	0.650	0.54	ZN								
A0A673AVA6	mononuclear	4	CuA	0.48	92.2	neither		60.1	21.95	1	37	0.08	0.970	0.08	CU	21.95	0.970	3.58	X	1.05	0.260	1.05	CU	4.36	0.260	4.36	CU
A0A673AW28	mononuclear	4	CuA	0.35	92.7	CuB	1.34	47.4	4.21	2	37	0.73	0.960	0.73	CU	3.83	0.760	3.83	CU								
A0A6A3EYQ9	mononuclear	4	CuB	0.48	97.2	neither		65.1	27.63	1	28	0.45	0.970	0.45	CU	27.40	0.970	21.17	X	4.31	0.590	4.31	CU	1.17	0.590	1.17	CU
A0A6A3FBU7	no_cu	0	neither		67.5	neither		55.6	31.28	0	30											7.64	X			7.56	X
A0A6A3HLB0	binuclear	5	CuB	0.42	94.7	CuA	0.21	94.9	4.22	3	31	0.73	0.770	0.73	CU	0.49	0.930	0.49	CU								
A0A6A3L3S8	mononuclear	4	CuB	0.37	96.8	neither		63.5	25.73	1	28	0.37	0.970	0.37	CU	25.73	0.970	4.61	X	4.69	0.960	3.10	ZN	1.26	0.960	1.26	CU
A0A6A3MUA3	mononuclear	4	CuB	0.47	97.3	neither		64.4	27.78	1	24	0.48	0.970	0.48	CU	27.67	0.970	14.29	X	4.75	0.970	4.75	CU	1.54	0.970	1.54	CU
A0A6A3NDJ9	mononuclear	4	CuB	0.40	97.2	neither		65.1	25.69	1	32	0.22	1.000	0.22	CU	25.70	1.000	2.26	X			12.85	X			13.69	X
A0A6A3Q4B5	binuclear	5	CuA	0.17	94.7	CuB	0.39	93.3	4.15	3	37	1.06	1.000	1.06	CU	0.22	0.940	0.22	CU								
A0A6A4E140	mononuclear	4	CuB	0.42	97.4	neither		65.5	25.71	2	26	0.36	0.970	0.36	CU	25.90	0.970	6.24	X			11.25	X			10.35	X
A0A6A4G489	no_cu	0	neither		68.3	neither		56.2	31.61	0	33											7.43	X			7.52	X
A0A6A4ZE36	binuclear	5	CuB	0.47	95.1	CuA	0.47	87.2	4.01	3	29	0.39	0.970	0.39	CU	1.16	0.930	1.16	CU								
A0A6A5RAM1	mononuclear	4	CuA	0.83	89.9	CuB	0.64	68.0	4.3	1	29	0.51	0.840	0.51	CU	3.82	0.840	3.82	CU								
A0A6A5TLY8	mononuclear	5	CuA	0.50	95.3	CuB	0.59	91.3	3.72	3	27	0.38	0.900	0.38	CU	0.55	0.670	0.55	CU								
A0A6A5XM88	no_cu	2	CuA	1.13	72.5	neither		40.7	15.57	0	24			0.38	X			5.29	X								
A0A6A5YJL3	mononuclear	3	CuA	0.34	91.5	neither		71.9	29.33	1	18	1.06	0.550	1.06	CU	28.82	0.550	11.65	X	0.62	0.970	0.62	CU	2.76	0.980	2.76	CU
A0A6A5ZPV6	mononuclear	5	CuA	0.54	95.9	CuB	0.50	93.2	3.87	2	21	0.30	0.980	0.30	CU	2.84	0.870	2.84	CU								
A0A6A6BKX9	no_cu	4	CuA	0.51	96.5	CuB	0.71	94.6	3.73	2	21	0.66	0.740	0.66	CU	0.72	0.660	0.72	CU								
A0A6A6C2M9	mononuclear	5	CuA	0.68	95.0	CuB	0.61	94.9	3.85	3	21	0.76	0.990	0.76	CU	1.17	0.420	1.17	CU								
A0A6A6CAJ8	mononuclear	5	CuA	0.89	95.7	CuB	1.08	93.8	3.49	2	25	0.13	0.810	0.13	CU	0.60	0.540	0.60	CU								
A0A6A6CBF1	mononuclear	5	CuA	0.53	96.7	CuB	0.58	94.8	3.82	2	17	0.38	0.860	0.38	CU	0.57	0.720	0.57	CU								
A0A6A6D3V8	mononuclear	5	CuB	0.18	94.6	CuA	1.11	79.8	4.84	2	35	0.26	0.740	0.26	CU	1.51	0.190	1.51	CU								
A0A6A6H4U9	mononuclear	4	CuA	0.49	95.4	neither		72.7	23.56	4	26	0.65	0.930	0.65	CU	21.52	0.580	13.34	X	1.00	0.850	1.00	CU	2.64	0.440	1.50	X
A0A6A6HHK4	mononuclear	5	CuA	0.47	96.8	CuB	0.60	94.8	3.78	3	16	0.56	1.000	0.56	CU	1.29	0.290	1.29	CU								
A0A6A6JAY1	mononuclear	5	CuA	0.61	95.3	CuB	0.50	93.8	3.91	2	19	0.30	0.980	0.30	CU	0.41	0.730	0.41	CU								
A0A6A6TSU5	no_cu	2	neither		77.5	neither		48.8	39.32	0	29											2.31	X			2.32	X
A0A6A6V9C0	binuclear	5	CuB	0.12	97.1	CuA	1.14	94.8	4.19	4	45	1.01	0.700	1.01	CU	0.50	0.580	0.50	CU								
A0A6A6VF46	mononuclear	5	CuA	0.52	93.2	CuB	0.76	87.8	3.51	2	19	1.03	0.730	1.03	CU	0.73	0.710	0.73	CU								
A0A6A6VMY9	mononuclear	5	CuB	0.66	94.6	CuA	0.91	74.7	4.94	3	41	0.30	0.930	0.30	CU	0.91	0.600	0.91	CU								
A0A6A6VU64	mononuclear	5	CuA	0.35	96.1	CuB	0.37	94.6	4.03	2	17	0.76	0.880	0.76	CU	3.65	0.880	3.65	CU								
A0A6A6XLR7	mononuclear	4	CuB	0.50	86.1	CuA	0.94	56.8	4.59	2	17	0.94	0.740	0.94	CU	3.86	0.740	3.86	CU								
A0A6A7BLX6	mononuclear	5	CuA	0.38	95.9	CuB	0.60	93.7	3.68	2	24	0.71	0.810	0.71	CU	0.68	0.820	0.68	CU								
A0A6G0JRR3	mononuclear	5	CuB	0.48	87.1	CuA	0.19	78.7	3.92	3	38	0.84	0.980	0.84	CU	1.37	0.770	1.37	CU								
A0A6G0LHA8	mononuclear	4	CuB	0.49	97.1	neither		64.7	27.7	1	22	0.10	0.980	0.10	CU	27.75	0.980	12.59	X	3.45	0.710	3.45	CU	1.17	0.970	1.17	CU
A0A6G0QFF2	binuclear	5	CuA	0.20	95.6	CuB	0.40	94.6	4.14	2	36	1.36	0.440	1.36	CU	0.19	0.600	0.19	CU								
A0A6G0S364	mononuclear	4	CuB	0.50	97.3	neither		63.9	26.79	1	21	0.24	0.990	0.24	CU	26.98	0.990	19.44	X	4.47	0.590	4.47	CU	1.15	0.590	1.15	CU
A0A6G0WB52	mononuclear	4	CuB	0.67	95.7	neither		69.2	33.87	1	29	0.30	0.810	0.30	CU	33.91	0.810	12.09	X	4.24	0.900	4.24	CU	0.98	0.900	0.98	CU
A0A6G0XI62	mononuclear	2	neither		41.9	neither		15.4	11.79	1	49									36.31	0.470	0.88	X	37.10	0.470	4.41	X
A0A6G1IEP5	mononuclear	5	CuA	0.78	96.6	CuB	0.67	94.3	4.29	3	17	0.90	0.990	0.90	CU	0.88	0.680	0.88	CU								
A0A6G1KGG9	no_cu	3	neither		65.7	neither		35.0	3.03	0	22											4.24	X			1.21	X
A0A6H0Y3Z6	mononuclear	5	CuA	0.32	76.2	CuB	0.47	51.4	3.55	2	51	1.41	0.360	1.41	CU	0.60	0.370	0.60	CU								
A0A6I3X362	mononuclear	5	CuB	0.29	97.5	CuA	1.01	92.9	4.65	3	25	0.12	0.980	0.12	CU	0.58	0.890	0.58	CU								
A0A6J1BLU4	mononuclear	4	CuB	0.55	89.5	CuA	0.55	53.2	3.4	1	19	0.58	0.920	0.58	CU	2.96	0.920	2.96	CU								
A0A6J8AZI7	no_cu	3	CuB	0.48	83.7	neither		55.1	24.62	1	24	1.82	0.490	0.69	X	24.88	0.490	7.55	X								
A0A6J8CJF7	no_cu	2	neither		75.8	neither		44.2	43.98	0	24											10.50	X			9.44	X
A0A6J8CNM0	mononuclear	5	CuA	0.63	91.0	CuB	0.95	86.8	4.51	3	13	0.54	0.970	0.54	CU	1.92	0.720	1.92	CU								
A0A6J8CZL5	no_cu	3	CuA	0.79	59.9	neither		32.4	37.97	0	72			4.63	X			4.89	X								
A0A6J8EAN0	mononuclear	4	CuB	0.63	89.9	neither		42.2	24.67	2	40	0.31	0.890	0.31	CU	24.56	0.890	1.22	X	2.81	0.790	2.81	CU	1.38	0.680	1.38	CU
A0A6P4ZCR3	no_cu	3	CuB	0.99	80.4	neither		57.8	10.41	0	24			1.14	X			6.49	X								
A0A6P8I208	mononuclear	4	CuA	1.22	94.6	neither		55.4	37.67	1	39	0.88	0.940	0.88	CU	38.25	0.940	6.55	X	2.06	0.680	2.06	CU	2.41	0.470	2.41	CU
A0A6V7V3D6	mononuclear	4	CuA	0.59	93.4	neither		69.7	16.45																		
A0A6V7WY80	no_cu	5	CuB	1.54	86.1	CuA	1.00	77.2	6.02																		
A0A7C8I7T2	mononuclear	5	CuA	0.50	96.2	CuB	1.31	81.5	5.26	1	15	0.47	0.840	0.47	CU	4.82	0.840	1.92	X								
A0A7C8IE08	binuclear	5	CuB	0.33	94.9	CuA	0.98	93.1	4.32	2	26	0.31	0.860	0.31	CU	0.85	0.890	0.85	CU								
A0A7C8MC86	mononuclear	5	CuA	0.78	95.6	CuB	0.78	92.2	3.92	1	18	0.49	0.920	0.49	CU	3.59	0.920	3.59	CU								
A0A7C8UE72	no_cu	3	neither		86.6	neither		59.5	29.66	1	35	0.34	0.970	0.34	CU	29.47	0.970	14.90	X								
A0A7C9LY48	mononuclear	5	CuB	0.26	96.0	CuA	0.61	87.1	4.36	4	38	0.60	0.950	0.60	CU	0.26	0.990	0.26	CU								
A0A7C9M494	mononuclear	5	CuB	0.24	96.2	CuA	0.79	87.7	4.43	3	34	0.59	0.960	0.59	CU	0.95	0.870	0.95	CU								
A0A7D5Z0B1	mononuclear	5	CuA	0.31	95.5	CuB	0.45	94.7	3.79	1	23	0.59	0.990	0.59	CU	3.23	0.990	3.23	CU								
A0A7E6EGY5	no_cu	3	neither		53.6	neither		25.8	56.36	0	42											3.83	X			4.58	X
A0A7H8RBQ9	no_cu	4	CuA	0.46	86.0	CuB	0.49	81.3	3.55	2	26	0.89	0.340	0.89	CU	0.82	0.350	0.82	CU								
A0A7J6IXY4	mononuclear	5	CuA	0.28	95.3	CuB	0.40	92.5	4.11	2	26	0.46	0.930	0.46	CU	0.46	0.560	0.46	CU								
A0A7J6J5I0	mononuclear	5	CuA	0.57	98.0	CuB	0.64	94.8	4.13	2	20	0.49	0.950	0.49	CU	0.22	0.770	0.22	CU								
A0A7J6UTM6	binuclear	5	CuB	0.85	91.3	CuA	1.23	85.9	4.39	2	32	1.54	0.870	1.54	CU	0.38	0.990	0.38	CU								
A0A7J7J2C8	mononuclear	3	neither		36.8	CuA	0.85	19.0	21.6	0	35			0.96	X			5.48	X			8.15	X			4.27	X
A0A7K7RZM1	mononuclear	5	CuA	0.32	95.8	CuB	0.40	90.0	3.5	2	27	0.11	0.860	0.11	CU	1.25	0.840	1.25	CU								
A0A7M5V4K9	no_cu	3	neither		67.6	neither		79.0	39.58	0	23											6.81	X			9.21	X
A0A7M5WXX0	no_cu	2	neither		76.5	neither		55.1	36.57	0	38											2.97	X			3.56	X
A0A7M5XIS8	no_cu	3	neither		73.9	neither		73.6	29.99	0	26											2.27	X			2.45	X
A0A7M6DQE2	no_cu	1	neither		79.2	neither		66.0	29.17	0	24			7.92	X			2.36	X								
A0A7N6AMA0	mononuclear	5	CuA	0.62	94.0	CuB	1.45	53.0	4.93	1	28	0.22	0.970	0.22	CU	4.79	0.970	1.29	X								
A0A7R8ARR0	mononuclear	5	CuA	0.61	95.0	CuB	0.48	90.6	4.08	2	16	0.21	1.000	0.21	CU	0.57	0.760	0.57	CU								
A0A7R9UNI4	no_cu	1	neither		88.8	neither		66.6	31.19	0	26											7.99	X			7.35	X
A0A7S0FYS9	mononuclear	3	CuB	1.10	88.8	neither		61.5	19.45	2	22	0.75	0.900	0.75	CU	19.55	0.900	6.14	X								
A0A7S1T762	mononuclear	5	CuB	1.46	93.0	CuA	0.43	92.0	5.0	2	18	1.28	0.680	1.28	CU	0.31	0.960	0.31	CU								
A0A7S1T768	mononuclear	5	CuB	1.46	78.9	CuA	0.38	79.2	5.02	3	21	0.72	0.610	0.72	CU	0.55	0.890	0.55	CU								
A0A7S2D0S4	no_cu	2	neither		60.3	neither		57.6	27.41	0	28											2.59	X			0.96	X
A0A7S2EUW0	mononuclear	5	CuB	0.84	75.4	neither		79.7	44.08	2	55	1.01	0.840	1.01	CU	43.23	0.840	0.53	ZN	1.99	0.330	1.99	CU	1.07	0.920	1.07	CU
A0A7S2JHL4	no_cu	2	neither		56.3	neither		42.3	52.49	1	61	39.54	0.140	3.07	X	13.93	0.140	2.36	X								
A0A7S2JHQ4	no_cu	1	neither		59.1	neither		34.1	22.11	0	61			3.52	ZN			1.24	X								
A0A7S3EYR7	binuclear	3	CuB	0.18	78.6	neither		30.4	11.0	2	46	0.59	0.700	0.59	CU	8.72	0.290	0.67	ZN								
A0A7S4QPD7	binuclear	5	CuB	0.34	94.3	CuA	0.44	90.2	4.19	3	47	0.39	0.830	0.39	CU	0.60	0.940	0.60	CU								
A0A7S4QRZ1	binuclear	5	CuB	0.32	95.1	CuA	0.47	90.3	4.09	2	40	0.43	0.940	0.43	CU	0.64	0.670	0.64	CU								
A0A7W5H8K5	mononuclear	5	CuB	0.16	97.5	CuA	0.68	90.5	4.44	0	22			6.39	X			6.27	X								
A0A7W8KIV5	binuclear	5	CuB	0.41	84.4	CuA	1.14	63.8	4.91	3	55	0.87	0.890	0.87	CU	0.83	0.620	0.83	CU								
A0A7X5ASN3	mononuclear	5	CuB	0.25	91.8	CuA	0.94	79.5	4.34	3	22	0.26	0.970	0.26	CU	0.43	0.860	0.43	CU								
A0A7Y7WSX0	mononuclear	5	CuB	0.34	97.2	CuA	1.39	86.2	4.7	2	31	0.48	0.940	0.48	CU	0.73	0.700	0.73	CU								
A0A7Y7X987	mononuclear	5	CuB	0.32	97.1	CuA	0.70	90.4	4.22	1	22	0.30	0.880	0.30	CU	3.99	0.880	3.99	CU								
A0A7Y8BLA6	mononuclear	5	CuB	0.32	96.6	CuA	0.69	90.8	4.38	4	26	0.69	0.980	0.69	CU	1.20	0.560	1.20	CU								
A0A812BCK9	no_cu	1	neither		45.7	neither		24.3	43.1	0	62											11.58	X			10.20	X
A0A812PC05	no_cu	4	CuA	0.50	94.9	CuB	2.13	83.3	6.09	1	35	1.30	0.930	1.30	CU	4.81	0.930	4.81	CU								
A0A812V664	no_cu	4	CuA	0.64	94.1	CuB	1.92	75.3	5.54	0	21			0.58	X			1.85	X								
A0A812XIJ6	no_cu	4	CuA	0.51	94.3	CuB	1.84	81.5	5.63	1	26	1.02	0.610	1.02	CU	4.73	0.610	4.73	CU								
A0A833WLV2	no_cu	0	neither		64.0	neither		59.8	30.79	0	24											5.39	X			4.97	X
A0A858R6E5	mononuclear	5	CuB	0.24	94.8	CuA	0.88	88.1	4.46	2	27	0.46	0.780	0.46	CU	0.55	0.880	0.55	CU								
A0A8A3PKD0	mononuclear	5	CuB	0.29	92.5	CuA	0.82	75.2	3.83	2	36	0.29	0.930	0.29	CU	0.28	0.480	0.28	CU								
A0A8B6E8R8	no_cu	2	CuA	0.60	64.8	neither		76.0	28.08	0	30			0.76	X			6.05	X								
A0A8B6FI79	mononuclear	4	CuB	0.51	92.4	neither		34.8	29.13	2	41	0.24	0.970	0.24	CU	29.05	0.970	2.88	ZN	3.30	0.970	3.30	CU	0.72	0.970	0.72	CU
A0A8B8D4J3	no_cu	2	neither		51.7	neither		29.2	2.25	0	53											7.94	X			10.22	X
A0A8B9AG70	no_cu	3	CuB	1.23	78.2	neither		57.3	22.74	2	35	0.71	0.900	0.71	CU	22.42	0.620	1.04	X								
A0A8B9GJT5	mononuclear	5	CuB	0.47	89.3	CuA	0.23	61.5	4.49	2	31	0.28	0.700	0.28	CU	1.14	0.490	1.14	CU								
A0A8C0NCZ3	binuclear	5	CuB	0.21	83.9	CuA	0.45	88.9	3.66	1	37	3.27	0.970	3.27	CU	0.42	0.970	0.42	CU								
A0A8H2VQV0	mononuclear	5	CuA	0.50	96.4	CuB	0.61	94.7	3.69	3	18	1.03	0.950	1.03	CU	1.34	0.810	1.34	CU								
A0A8H2X9J9	mononuclear	5	CuA	0.64	92.4	CuB	1.48	86.1	5.34	3	23	0.15	0.980	0.15	CU	0.50	0.360	0.50	CU								
A0A8H2XQY6	no_cu	3	CuA	0.64	93.7	CuB	0.61	80.2	4.15	1	22	1.15	0.430	1.15	CU	3.29	0.430	1.28	X								
A0A8H3ANG7	no_cu	3	CuA	0.80	93.7	neither		50.7	24.05	1	26	0.27	0.840	0.27	CU	23.99	0.840	0.80	ZN								
A0A8H3BNH7	no_cu	3	CuA	0.68	93.2	CuB	0.57	79.3	4.08	2	16	0.21	0.830	0.21	CU	1.95	0.740	1.95	CU								
A0A8H3CDA8	no_cu	3	CuA	0.68	94.6	neither		58.4	23.91	2	27	0.47	0.400	0.47	CU	23.73	0.400	1.34	X								
A0A8H3CUW5	binuclear	3	CuB	0.25	88.8	neither		61.9	11.36	3	46	0.09	0.940	0.09	CU	7.88	0.860	1.94	ZN								
A0A8H3CZ20	mononuclear	3	CuB	2.67	85.7	CuA	1.00	71.8	2.89	0	21			0.73	X			2.28	X								
A0A8H3DH08	no_cu	3	CuB	3.91	92.2	neither		65.3	10.97	3	50	0.10	0.960	0.10	CU	8.28	0.380	1.03	ZN								
A0A8H3DKS2	mononuclear	4	CuB	0.22	93.2	CuA	1.58	67.2	5.39	1	41	0.97	0.960	0.97	CU	5.76	0.960	0.81	X								
A0A8H3DR34	no_cu	3	CuA	0.67	93.2	CuB	0.40	74.6	3.97	1	15	1.02	0.430	1.02	CU	3.26	0.430	1.65	X								
A0A8H3FNM0	mononuclear	4	CuA	0.54	96.9	CuB	0.44	76.6	4.21	1	16	0.67	0.990	0.67	CU	3.64	0.990	2.08	X								
A0A8H3FR24	binuclear	3	CuB	0.33	93.2	neither		64.5	10.51	3	44	0.98	0.830	0.98	CU	6.65	0.590	0.82	ZN								
A0A8H3GJI1	no_cu	3	CuA	0.58	94.3	CuB	0.54	77.9	4.21	0	26			0.28	X			1.38	X								
A0A8H3HGU7	no_cu	3	CuA	0.66	86.5	CuB	0.56	69.4	3.86	1	25	1.05	0.580	1.05	CU	3.20	0.580	1.83	X								
A0A8H3I335	mononuclear	4	CuA	0.55	92.3	CuB	1.03	89.3	3.28	3	16	1.88	0.610	1.88	CU	1.18	0.660	1.18	CU								
A0A8H3IAU0	mononuclear	5	CuA	0.61	96.8	CuB	0.65	93.6	3.78	2	31	0.90	0.890	0.90	CU	1.46	0.930	1.46	CU								
A0A8H3IDD5	mononuclear	5	CuA	0.61	96.8	CuB	0.65	94.4	3.8	2	23	0.49	0.750	0.49	CU	1.11	0.880	1.11	CU								
A0A8H3UFY5	mononuclear	5	CuA	0.26	95.9	CuB	0.50	92.5	3.88	2	22	0.31	0.860	0.31	CU	1.17	0.800	1.17	CU								
A0A8H3VC67	mononuclear	5	CuA	0.21	96.0	CuB	0.47	92.1	3.99	2	42	0.49	0.720	0.49	CU	0.67	0.520	0.67	CU								
A0A8H3W2Z1	mononuclear	5	CuA	0.56	98.0	CuB	0.62	94.5	4.02	3	21	1.11	0.930	1.11	CU	1.33	0.660	1.33	CU								
A0A8H3W909	mononuclear	5	CuA	0.35	95.4	CuB	0.47	94.2	4.16	3	20	0.24	0.980	0.24	CU	0.14	0.880	0.14	CU								
A0A8H4CJG9	mononuclear	4	CuB	2.14	72.6	neither		35.5	23.93	1	27	0.29	0.880	0.29	CU	23.76	0.880	7.26	X								
A0A8H4CPR6	mononuclear	5	CuA	0.56	98.1	CuB	0.67	95.2	4.12	3	20	0.43	0.970	0.43	CU	0.87	0.560	0.87	CU								
A0A8H4CUC1	mononuclear	5	CuB	0.54	92.6	CuA	0.54	86.0	4.08	1	21	0.47	0.740	0.47	CU	4.01	0.740	4.01	CU								
A0A8H4FHG1	mononuclear	5	CuA	0.34	96.1	CuB	0.38	95.4	4.22	3	17	0.38	0.920	0.38	CU	1.62	0.670	1.62	CU								
A0A8H4IVL2	mononuclear	5	CuB	0.50	96.5	CuA	0.23	92.1	3.81	2	15	1.73	0.510	1.73	CU	1.26	0.460	1.26	CU								
A0A8H4JDQ9	mononuclear	5	CuB	1.08	94.5	CuA	1.43	81.2	4.95	3	17	0.69	0.940	0.69	CU	0.95	0.740	0.95	CU								
A0A8H4JHW9	mononuclear	5	CuA	0.29	96.9	CuB	0.48	95.3	3.67	3	15	1.10	0.970	1.10	CU	1.91	0.530	1.91	CU								
A0A8H4QR39	mononuclear	5	CuA	0.55	92.2	CuB	0.94	80.2	3.43	3	53	0.29	0.900	0.29	CU	0.85	0.800	0.85	CU								
A0A8H4RK75	mononuclear	5	CuA	0.45	96.2	CuB	0.63	94.3	4.0	3	21	0.31	0.990	0.31	CU	1.40	0.910	1.40	CU								
A0A8H4RXM0	mononuclear	5	CuA	0.37	94.2	CuB	0.53	93.2	3.62	3	23	0.33	0.980	0.33	CU	0.68	0.970	0.68	CU								
A0A8H4Z0P3	mononuclear	5	CuA	0.33	95.0	CuB	0.42	94.0	3.86	2	21	0.87	0.730	0.87	CU	1.29	0.400	1.29	CU								
A0A8H4ZIX0	binuclear	5	CuB	0.40	95.5	CuA	0.68	93.1	3.86	5	41	0.95	0.740	0.95	CU	1.36	0.950	1.36	CU								
A0A8H5AS67	binuclear	5	CuB	0.27	94.9	CuA	0.85	90.3	4.02	4	45	0.72	0.850	0.72	CU	1.31	0.980	1.31	CU								
A0A8H5ATU2	no_cu	3	neither		74.1	neither		56.2	19.22	0	16											8.99	X			7.90	X
A0A8H5EAG2	binuclear	5	CuB	0.50	96.6	CuA	0.87	91.8	4.87	1	14	0.17	0.980	0.17	CU	4.74	0.980	2.00	X								
A0A8H5GBV2	mononuclear	5	CuB	0.58	79.1	CuA	0.80	80.5	3.82	3	30	1.00	0.980	1.00	CU	1.10	0.970	1.10	CU								
A0A8H5JRL3	mononuclear	5	CuB	0.37	85.4	CuA	0.56	65.6	3.71	1	38	2.24	0.450	2.24	CU	5.68	0.450	5.68	CU								
A0A8H5MQC7	mononuclear	5	CuA	0.40	95.2	CuB	0.59	95.7	3.71	2	20	0.49	1.000	0.49	CU	0.94	0.890	0.94	CU								
A0A8H5N7B6	mononuclear	5	CuA	0.27	90.9	CuB	0.14	86.4	3.84	1	19	0.29	0.990	0.29	CU	3.58	0.990	3.58	CU								
A0A8H5PBB3	no_cu	4	neither		74.2	CuB	3.97	38.3	2.74	2	24	0.46	0.870	0.46	CU	2.35	0.870	2.35	CU								
A0A8H5PBF2	mononuclear	5	CuA	0.46	90.0	CuB	0.63	91.8	3.68	2	22	0.18	0.920	0.18	CU	1.30	0.940	1.30	CU								
A0A8H5Q6G5	binuclear	5	CuA	0.41	94.9	CuB	0.44	71.7	3.88	3	17	0.24	0.820	0.24	CU	1.19	0.710	1.19	CU								
A0A8H5TQU7	binuclear	5	CuB	0.28	94.9	CuA	0.67	92.1	3.84	2	37	0.36	0.770	0.36	CU	0.30	0.980	0.30	CU								
A0A8H5UC91	mononuclear	5	CuA	0.28	95.8	CuB	0.41	94.5	3.87	2	30	0.58	0.960	0.58	CU	1.36	0.140	1.36	CU								
A0A8H5V6E6	mononuclear	5	CuA	0.34	96.6	CuB	0.51	95.1	3.69	3	30	0.42	0.810	0.42	CU	1.25	0.680	1.25	CU								
A0A8H5WCB4	binuclear	5	CuB	0.58	97.4	CuA	0.88	93.3	4.88	1	14	0.43	0.990	0.43	CU	4.84	0.990	0.49	X								
