accession,best_ce_cov,best_ce_rmsd,best_ce_naln,best_ce_ref
A0ABD6GFY7,0.855,4.35,224,ref_1JS8_squid
A0ABM0MAQ4,0.975,2.40,352,ref_5M8L_human
A0ABM1B806,0.855,4.14,224,ref_1JS8_squid
A0ABM1VVY2,0.855,4.28,224,ref_1JS8_squid
A0ABM4UF39,0.810,2.55,272,ref_1BT3_Ibatatas
A0ABM7Q8T6,0.885,4.75,232,ref_1JS8_squid
A0ABM7QH35,0.885,4.75,232,ref_1JS8_squid
A0ABN3U7S0,0.861,2.52,248,ref_PmTYR
A0ABN8C0W3,0.885,3.99,232,ref_1JS8_squid
A0ABN8CNH4,0.855,5.09,224,ref_1JS8_squid
A0ABN8LS46,0.833,2.85,240,ref_PmTYR
A0ABN8LUS6,0.861,3.63,248,ref_PmTYR
A0ABN8LVE4,0.861,3.65,248,ref_PmTYR
A0ABN8LXN0,0.861,3.65,248,ref_PmTYR
A0ABN8MSS7,0.855,3.78,224,ref_1JS8_squid
A0ABN8MVN3,0.861,3.29,248,ref_PmTYR
A0ABN8MVN6,0.861,3.53,248,ref_PmTYR
A0ABN8MVQ8,0.833,2.53,240,ref_PmTYR
A0ABN8MXH6,0.833,2.61,240,ref_PmTYR
A0ABN8MXX5,0.861,3.51,248,ref_PmTYR
A0ABN8MY60,0.861,3.54,248,ref_PmTYR
A0ABN8MZV7,0.861,3.47,248,ref_PmTYR
A0ABN8N4G6,0.833,2.62,240,ref_PmTYR
A0ABN8PCP7,0.833,3.56,240,ref_PmTYR
A0ABN8PTR8,0.855,3.75,224,ref_1JS8_squid
A0ABN8PUI2,0.833,2.61,240,ref_PmTYR
A0ABN8Q7Y1,0.833,2.54,240,ref_PmTYR
A0ABN8SLK2,0.861,3.66,248,ref_PmTYR
A0ABP0CGC6,0.889,2.82,312,ref_2Y9W_Abisporus
A0ABP2BNE3,0.824,4.42,216,ref_1JS8_squid
A0ABP3EMV2,0.833,2.87,240,ref_PmTYR
A0ABQ0GAI5,0.889,3.48,256,ref_PmTYR
A0ABQ0GL05,0.889,3.55,256,ref_PmTYR
A0ABQ0LKN2,0.885,3.98,232,ref_1JS8_squid
A0ABQ0M8A7,0.861,3.39,248,ref_PmTYR
A0ABQ4GGN2,0.861,2.99,248,ref_PmTYR
A0ABQ6N7K7,0.835,3.30,344,ref_A0A9N8ELP9_oomycota
A0ABQ7J1C5,0.885,3.50,232,ref_1JS8_squid
A0ABQ8FQ07,0.806,3.62,232,ref_PmTYR
A0ABQ8R1M6,0.934,3.94,328,ref_2Y9W_Abisporus
A0ABQ9EDE6,0.855,4.02,224,ref_1JS8_squid
A0ABQ9PEH4,0.684,4.82,240,ref_2Y9W_Abisporus
A0ABQ9PMC0,0.934,3.59,328,ref_2Y9W_Abisporus
A0ABQ9PND2,0.889,3.38,256,ref_PmTYR
A0ABQ9Q197,0.889,3.66,256,ref_PmTYR
A0ABQ9QHE7,0.889,3.38,256,ref_PmTYR
A0ABQ9S7H6,0.778,4.01,224,ref_PmTYR
A0ABQ9T229,0.889,3.38,256,ref_PmTYR
A0ABR0EHV5,0.885,3.49,232,ref_1JS8_squid
A0ABR0H9K2,0.885,4.07,232,ref_1JS8_squid
A0ABR0HD85,0.866,3.00,304,ref_2Y9W_Abisporus
A0ABR0I6B4,0.885,4.07,232,ref_1JS8_squid
A0ABR0IA35,0.866,3.00,304,ref_2Y9W_Abisporus
A0ABR0JJU7,0.889,3.66,256,ref_PmTYR
A0ABR0ML46,0.929,2.50,312,ref_1BT3_Ibatatas
A0ABR0S881,0.861,3.35,248,ref_PmTYR
A0ABR0TFM8,0.763,4.05,200,ref_1JS8_squid
A0ABR1D605,0.389,6.75,112,ref_PmTYR
A0ABR1D606,0.389,5.29,112,ref_PmTYR
A0ABR1FHI7,0.667,3.29,192,ref_PmTYR
A0ABR1QFP3,0.885,4.47,232,ref_1JS8_squid
A0ABR1RNS4,0.855,3.39,224,ref_1JS8_squid
A0ABR1T514,0.861,3.68,248,ref_PmTYR
A0ABR1TI72,0.833,4.72,240,ref_PmTYR
A0ABR1U9F9,0.957,3.99,336,ref_2Y9W_Abisporus
A0ABR1VP59,0.580,6.13,152,ref_1JS8_squid
A0ABR1X4W4,0.885,4.18,232,ref_1JS8_squid
A0ABR1X726,0.833,3.95,240,ref_PmTYR
A0ABR1YMI8,0.889,3.72,256,ref_PmTYR
A0ABR1YVN4,0.917,3.80,264,ref_PmTYR
A0ABR2MME6,0.702,4.64,184,ref_1JS8_squid
A0ABR2VB08,0.778,4.02,224,ref_PmTYR
A0ABR2VUU4,0.806,2.95,232,ref_PmTYR
A0ABR2W3C9,0.833,3.51,240,ref_PmTYR
A0ABR2W3S2,0.861,3.19,248,ref_PmTYR
A0ABR2W902,0.855,4.21,224,ref_1JS8_squid
A0ABR3CFI6,0.861,3.56,248,ref_PmTYR
A0ABR3D6M0,0.861,3.90,248,ref_PmTYR
A0ABR3QSB3,0.916,3.51,240,ref_1JS8_squid
A0ABR3SXQ6,0.824,4.23,216,ref_1JS8_squid
A0ABR3TFZ3,0.861,3.89,248,ref_PmTYR
A0ABR3U3E6,0.861,3.64,248,ref_PmTYR
A0ABR3UTG0,0.778,3.50,224,ref_PmTYR
A0ABR3WSQ8,0.643,5.22,232,ref_5M8L_human
A0ABR4BR18,0.885,3.65,232,ref_1JS8_squid
A0ABR4C2T6,0.885,3.55,232,ref_1JS8_squid
A0ABR4CF27,0.885,3.39,232,ref_1JS8_squid
A0ABR4ES42,0.824,4.23,216,ref_1JS8_squid
A0ABR4K145,0.916,4.11,240,ref_1JS8_squid
A0ABR4NDE5,0.885,4.04,232,ref_1JS8_squid
A0ABR7QDC1,0.855,3.39,224,ref_1JS8_squid
A0ABR7X9J7,0.885,4.86,232,ref_1JS8_squid
A0ABR8L1I5,0.855,3.41,224,ref_1JS8_squid
A0ABR9BSA8,0.885,3.30,232,ref_1JS8_squid
A0ABS8JIA8,0.885,4.72,232,ref_1JS8_squid
A0ABS8JID1,0.794,4.64,208,ref_1JS8_squid
A0ABT9CR60,0.824,4.99,216,ref_1JS8_squid
A0ABV0AFJ4,0.855,3.42,224,ref_1JS8_squid
A0ABV6RIB9,0.855,5.38,224,ref_1JS8_squid
A0ABV6RUK0,0.855,5.17,224,ref_1JS8_squid
A0ABV9FV84,0.855,4.60,224,ref_1JS8_squid
A0ABV9I266,0.855,3.09,224,ref_1JS8_squid
A0ABW1EV91,0.855,3.83,224,ref_1JS8_squid
A0ABW2RRB3,0.855,4.52,224,ref_1JS8_squid
A0ABW9S031,0.885,4.66,232,ref_1JS8_squid
A0ABX5RWM9,0.794,4.67,208,ref_1JS8_squid
A0ABX5UDS5,0.824,4.55,216,ref_1JS8_squid
A0ABX6FJC2,0.763,5.01,200,ref_1JS8_squid
A0ABY0G5N1,0.778,3.21,224,ref_PmTYR
A0ABY2H0D1,0.889,2.90,312,ref_2Y9W_Abisporus
A0ABY2RLZ4,0.855,4.56,224,ref_1JS8_squid
A0ABY7EU49,0.833,3.39,240,ref_PmTYR
A0ABZ1SYY9,0.861,2.98,248,ref_PmTYR
A0ACB5RUX0,0.912,2.58,320,ref_2Y9W_Abisporus
A0ACB6QFG3,0.861,3.22,248,ref_PmTYR
A0ACB6RB87,0.833,4.31,240,ref_PmTYR
A0ACB8HCS0,0.889,3.39,256,ref_PmTYR
A0ACC0W512,0.889,4.50,256,ref_PmTYR
A0ACC0XMJ2,0.881,1.58,296,ref_1BT3_Ibatatas
A0ACC1A5Y2,0.881,1.53,296,ref_1BT3_Ibatatas
A0ACC1QNQ0,0.861,3.18,248,ref_PmTYR
A0ACC1QU05,0.866,2.75,304,ref_2Y9W_Abisporus
A0ACC1SFB7,0.889,3.36,312,ref_2Y9W_Abisporus
A0ACC2HR65,0.889,3.71,256,ref_PmTYR
A0ACC2ID33,0.885,3.82,232,ref_1JS8_squid
A0ACC2JBL3,0.861,3.04,248,ref_PmTYR
A0ACC2S0P5,0.885,3.69,232,ref_1JS8_squid
A0ACC2S7C6,0.722,5.15,208,ref_PmTYR
A0ACC2T2P1,0.763,5.08,200,ref_1JS8_squid
A0ACC2T3L9,0.794,4.49,208,ref_1JS8_squid
A0ACC2T4I7,0.855,3.64,224,ref_1JS8_squid
A0ACC2TJ92,0.824,4.30,216,ref_1JS8_squid
A0ACC2TJW4,0.806,3.54,232,ref_PmTYR
A0ACC2U0B8,0.885,3.57,232,ref_1JS8_squid
A0ACC2U405,0.722,4.76,208,ref_PmTYR
A0ACC2U767,0.885,3.79,232,ref_1JS8_squid
A0ACC2U7B3,0.885,3.51,232,ref_1JS8_squid
A0ACC2USR9,0.336,3.07,88,ref_1JS8_squid
A0ACC3CBK0,0.824,3.54,216,ref_1JS8_squid
A0ACC3CBV5,0.855,3.33,224,ref_1JS8_squid
A0ACC3CEB8,0.702,3.90,184,ref_1JS8_squid
A0ACC3D5K5,0.458,5.68,120,ref_1JS8_squid
A0ACC3DNN8,0.885,3.89,232,ref_1JS8_squid
A0ACC3NIQ5,0.855,3.63,224,ref_1JS8_squid
A0ACC3SCJ8,0.885,3.65,232,ref_1JS8_squid
A0ACC3YJX9,0.889,3.38,256,ref_PmTYR
A0ACC3ZAS3,0.866,4.43,304,ref_2Y9W_Abisporus
A0ACD1IG11,0.824,4.23,216,ref_1JS8_squid
A0ACD3ADA0,0.525,4.69,160,ref_I3D139_archaea
A0ACD3YVM0,0.889,3.47,256,ref_PmTYR
A2RBK8,0.885,4.04,232,ref_1JS8_squid
A3K3J4,0.824,4.69,216,ref_1JS8_squid
A7RKE4,0.855,3.89,224,ref_1JS8_squid
A7RWK6,0.489,5.78,128,ref_1JS8_squid
A8N3S0,0.861,3.33,248,ref_PmTYR
A8N4B1,0.806,2.86,232,ref_PmTYR
B2WH32,0.806,3.58,232,ref_PmTYR
B9VU65,0.595,3.26,200,ref_1BT3_Ibatatas
B9XQZ3,0.855,4.80,224,ref_1JS8_squid
C3YG81,0.944,3.03,272,ref_PmTYR
D0NAA1,0.639,4.54,184,ref_PmTYR
D0ND81,0.639,3.78,184,ref_PmTYR
E3L5F5,0.885,3.62,232,ref_1JS8_squid
E3Q7T1,0.861,3.84,248,ref_PmTYR
E3QWQ8,0.885,3.54,232,ref_1JS8_squid
E3VXB9,0.548,0.95,184,ref_1BT3_Ibatatas
E5Q8T0,0.991,0.80,336,ref_5CE9_Jregia
E9FAB7,0.861,3.15,248,ref_PmTYR
F0XF66,0.889,4.05,256,ref_PmTYR
F0Y382,0.885,3.93,232,ref_1JS8_squid
F0YI85,0.639,3.39,184,ref_PmTYR
F0YJP7,0.639,3.24,184,ref_PmTYR
F1KXG5,0.889,3.24,256,ref_PmTYR
F6G5J6,0.855,3.91,224,ref_1JS8_squid
F9X2G9,0.861,3.40,248,ref_PmTYR
F9XBE5,0.861,3.20,248,ref_PmTYR
F9XCV9,0.885,3.49,232,ref_1JS8_squid
G1S3C9,0.975,1.60,352,ref_5M8L_human
G2QVS9,0.778,3.23,224,ref_PmTYR
G2YP57,0.885,3.50,232,ref_1JS8_squid
G2YS45,0.855,3.85,224,ref_1JS8_squid
G3JPN7,0.885,3.67,232,ref_1JS8_squid
G4Z7X0,0.611,4.68,176,ref_PmTYR
G5A9J7,0.885,4.18,232,ref_1JS8_squid
G5AB92,0.702,4.22,184,ref_1JS8_squid
G5ABA8,0.916,4.32,240,ref_1JS8_squid
G5B168,0.975,1.30,352,ref_5M8L_human
H1UWR0,0.889,3.37,256,ref_PmTYR
H1V8W0,0.806,3.69,232,ref_PmTYR
H1VZE2,0.885,3.74,232,ref_1JS8_squid
H2KPL1,0.953,3.44,344,ref_5M8L_human
H3CJD0,0.944,3.26,272,ref_PmTYR
H3CJD3,0.889,3.09,256,ref_PmTYR
H3GEM4,0.885,4.05,232,ref_1JS8_squid
I7CCR9,0.991,1.51,336,ref_5CE9_Jregia
J5J6Y4,0.501,3.89,176,ref_2Y9W_Abisporus
K1P4E2,0.763,4.65,200,ref_1JS8_squid
K1RLR4,0.750,4.39,216,ref_PmTYR
K2RLK6,0.889,3.34,256,ref_PmTYR
K3WBN0,0.885,4.22,232,ref_1JS8_squid
K3Y687,0.929,1.38,312,ref_1BT3_Ibatatas
L2FID8,0.889,3.95,256,ref_PmTYR
L2FNV4,0.917,3.40,264,ref_PmTYR
L2G8K6,0.866,2.81,304,ref_2Y9W_Abisporus
L2GEI1,0.806,3.55,232,ref_PmTYR
L7IUI4,0.889,2.66,312,ref_2Y9W_Abisporus
L7J0V9,0.889,4.16,256,ref_PmTYR
L8WW92,0.806,3.80,232,ref_PmTYR
M1R095,0.953,3.45,344,ref_5M8L_human
M2MQZ6,0.885,3.55,232,ref_1JS8_squid
M2YMY9,0.885,3.50,232,ref_1JS8_squid
M3C9Q8,0.980,2.87,344,ref_2Y9W_Abisporus
M4C6D4,0.855,4.95,224,ref_1JS8_squid
M7UN52,0.885,3.60,232,ref_1JS8_squid
N1RKC9,0.861,4.07,248,ref_PmTYR
N1S2R4,0.855,4.01,224,ref_1JS8_squid
N1S3E0,0.855,4.55,224,ref_1JS8_squid
N1S8Q1,0.885,4.15,232,ref_1JS8_squid
N4TKR4,0.833,3.57,240,ref_PmTYR
P55022,0.917,2.39,264,ref_PmTYR
Q0UNZ8,0.947,3.80,248,ref_1JS8_squid
Q33CJ6,0.944,2.69,272,ref_PmTYR
R1D043,0.417,3.83,120,ref_PmTYR
R1EXG5,0.855,4.08,224,ref_1JS8_squid
R1GBN1,0.912,2.42,320,ref_2Y9W_Abisporus
R7UB97,0.885,3.92,232,ref_1JS8_squid
R7YGC4,0.889,3.34,256,ref_PmTYR
S0DQZ0,0.861,3.55,248,ref_PmTYR
S0EA40,0.885,4.03,232,ref_1JS8_squid
S3D1Q3,0.885,3.59,232,ref_1JS8_squid
T0KJ59,0.806,3.56,232,ref_PmTYR
T0KXU6,0.889,3.09,256,ref_PmTYR
T0PKY7,0.916,4.32,240,ref_1JS8_squid
T0PU14,0.916,3.80,240,ref_1JS8_squid
T0QXV8,0.824,4.32,216,ref_1JS8_squid
T0S9R0,0.916,3.67,240,ref_1JS8_squid
T5A6R2,0.885,3.76,232,ref_1JS8_squid
U3AIJ7,0.855,4.02,224,ref_1JS8_squid
U4K751,0.885,3.26,232,ref_1JS8_squid
V5FME0,0.885,3.61,232,ref_1JS8_squid
V9E917,0.885,4.02,232,ref_1JS8_squid
V9EB77,0.794,4.77,208,ref_1JS8_squid
V9EVI6,0.916,4.08,240,ref_1JS8_squid
W2I6U4,0.885,4.02,232,ref_1JS8_squid
W2I6Y9,0.794,4.77,208,ref_1JS8_squid
W2IN56,0.916,4.08,240,ref_1JS8_squid
W2KB90,0.885,4.03,232,ref_1JS8_squid
W2MH14,0.794,4.75,208,ref_1JS8_squid
W2PMT3,0.824,4.74,216,ref_1JS8_squid
W2PPJ1,0.885,4.03,232,ref_1JS8_squid
W2PY30,0.916,4.32,240,ref_1JS8_squid
W2TFB2,0.397,7.00,104,ref_1JS8_squid
W2W5P6,0.885,4.02,232,ref_1JS8_squid
W2W6T1,0.794,4.77,208,ref_1JS8_squid
W2WMR4,0.916,4.08,240,ref_1JS8_squid
W2YEN6,0.885,4.03,232,ref_1JS8_squid
W2YF51,0.794,4.75,208,ref_1JS8_squid
W2YZ31,0.916,4.08,240,ref_1JS8_squid
W3WIK4,0.885,3.91,232,ref_1JS8_squid
W3XGL4,0.833,4.02,240,ref_PmTYR
W4GC36,0.916,4.79,240,ref_1JS8_squid
W7F1D8,0.855,3.94,224,ref_1JS8_squid
W7M987,0.861,3.35,248,ref_PmTYR
W7MLF2,0.855,3.89,224,ref_1JS8_squid
W9CSJ2,0.912,2.62,320,ref_2Y9W_Abisporus
W9I5K7,0.889,3.72,256,ref_PmTYR
W9KFT0,0.912,4.30,320,ref_2Y9W_Abisporus
X0BGB2,0.694,2.90,200,ref_PmTYR
X0JGY5,0.885,3.68,232,ref_1JS8_squid
X8JBW1,0.885,3.61,232,ref_1JS8_squid
X8JFG5,0.889,3.47,256,ref_PmTYR
X8JFZ0,0.806,3.83,232,ref_PmTYR
