accession,taxid,kingdom,phylum,genus
A0A7L2RRH8,254563,Animals,Chordata,Neodrepanis
A0A7L2S605,98133,Animals,Chordata,Mystacornis
A0A7L2SMW7,98133,Animals,Chordata,Mystacornis
A0A7L2TXS7,9176,Animals,Chordata,Pomatostomus
A0A7L2TZL4,9176,Animals,Chordata,Pomatostomus
A0A7L2UES8,33584,Animals,Chordata,Balaeniceps
A0A7L2UMM8,33584,Animals,Chordata,Balaeniceps
A0A7L2V9Q3,135165,Animals,Chordata,Brachypteracias
A0A7L2VHJ1,135165,Animals,Chordata,Brachypteracias
A0A7L2VME6,135165,Animals,Chordata,Brachypteracias
A0A7L2W4K9,56262,Animals,Chordata,Pandion
A0A7L2WMC0,56262,Animals,Chordata,Pandion
A0A7L2XQ04,1112836,Animals,Chordata,Erpornis
A0A7L2Y2B3,1112836,Animals,Chordata,Erpornis
A0A7L2Y957,1112836,Animals,Chordata,Erpornis
A0A7L2YLU2,54508,Animals,Chordata,Jacana
A0A7L2ZK99,670355,Animals,Chordata,Prunella
A0A7L3A0T2,670355,Animals,Chordata,Prunella
A0A7L3ASD3,302527,Animals,Chordata,Syrrhaptes
A0A7L3BAG4,302527,Animals,Chordata,Syrrhaptes
A0A7L3BE99,302527,Animals,Chordata,Syrrhaptes
A0A7L3BWI7,37079,Animals,Chordata,Pelecanoides
A0A7L3CBN5,37079,Animals,Chordata,Pelecanoides
A0A7L3CLE8,37079,Animals,Chordata,Pelecanoides
A0A7L3D4U6,227228,Animals,Chordata,Pluvianellus
A0A7L3DA69,227228,Animals,Chordata,Pluvianellus
A0A7L3DHE2,227228,Animals,Chordata,Pluvianellus
A0A7L3E7A6,221966,Animals,Chordata,Chaetops
A0A7L3EDA7,221966,Animals,Chordata,Chaetops
A0A7L3F3R9,2585822,Animals,Chordata,Zapornia
A0A7L3FZB7,2585822,Animals,Chordata,Zapornia
A0A7L3G376,317792,Animals,Chordata,Anhinga
A0A7L3H565,245048,Animals,Chordata,Buphagus
A0A7L3HGN1,245048,Animals,Chordata,Buphagus
A0A7L3HGQ1,245048,Animals,Chordata,Buphagus
A0A7L3ICB1,254575,Animals,Chordata,Pardalotus
A0A7L3II55,254575,Animals,Chordata,Pardalotus
A0A7L3IMJ1,254575,Animals,Chordata,Pardalotus
A0A7L3JB49,54017,Animals,Chordata,Thalassarche
A0A7L3JDC3,54017,Animals,Chordata,Thalassarche
A0A7L3K5H2,626378,Animals,Chordata,Drymodes
A0A7L3KC56,626378,Animals,Chordata,Drymodes
A0A7L3KS66,626378,Animals,Chordata,Drymodes
A0A7L3LBG2,2529409,Animals,Chordata,Turnix
A0A7L3N3B3,689266,Animals,Chordata,Oreotrochilus
A0A7L3N7G5,689266,Animals,Chordata,Oreotrochilus
A0A7L3NKI9,689266,Animals,Chordata,Oreotrochilus
A0A7L3P790,269412,Animals,Chordata,Xiphorhynchus
A0A7L3PYR3,269412,Animals,Chordata,Xiphorhynchus
A0A7L3Q0B1,68486,Animals,Chordata,Cettia
A0A7L3QSU1,68486,Animals,Chordata,Cettia
A0A7L3R603,68486,Animals,Chordata,Cettia
A0A7L3RDQ2,28697,Animals,Chordata,Cepphus
A0A7L3RH59,28697,Animals,Chordata,Cepphus
A0A7L3RLN6,28697,Animals,Chordata,Cepphus
A0A7L3SSK2,75485,Animals,Chordata,Rissa
A0A7L3T1J1,75485,Animals,Chordata,Rissa
A0A7L3TU19,13746,Animals,Chordata,Uria
A0A7L3UE00,13746,Animals,Chordata,Uria
A0A7L3UGW8,13746,Animals,Chordata,Uria
A0A7L3UUS7,84834,Animals,Chordata,Molothrus
A0A7L3VCU4,84834,Animals,Chordata,Molothrus
A0A7L3VGL6,84834,Animals,Chordata,Molothrus
A0A7L3W3X9,2478892,Animals,Chordata,Atlantisia
A0A7L3WYQ2,2478892,Animals,Chordata,Atlantisia
A0A7L3XQE2,1323832,Animals,Chordata,Calonectris
A0A7L3Y7R9,1323832,Animals,Chordata,Calonectris
A0A7L3Z0N5,79628,Animals,Chordata,Fregetta
A0A7L3Z4N6,79628,Animals,Chordata,Fregetta
A0A7L3ZX04,321084,Animals,Chordata,Circaetus
A0A7L3ZX88,321084,Animals,Chordata,Circaetus
A0A7L4AAE6,321084,Animals,Chordata,Circaetus
A0A7L4B2A4,297813,Animals,Chordata,Phaetusa
A0A7L4B9W3,297813,Animals,Chordata,Phaetusa
A0A7L4C0D6,382315,Animals,Chordata,Nyctiprogne
A0A7L4CAL0,382315,Animals,Chordata,Nyctiprogne
A0A7L4D2P2,325343,Animals,Chordata,Eurystomus
A0A7L4DEH0,325343,Animals,Chordata,Eurystomus
A0A7L4DSA9,325343,Animals,Chordata,Eurystomus
A0A7L4E176,43150,Animals,Chordata,Hirundo
A0A7L4E408,43150,Animals,Chordata,Hirundo
A0A7L4EMH8,43150,Animals,Chordata,Hirundo
A0A7L4F899,2953425,Animals,Chordata,Pampusana
A0A7L4FPS7,2953425,Animals,Chordata,Pampusana
A0A7L4FRG3,2953425,Animals,Chordata,Pampusana
A0A7L4GCF9,8905,Animals,Chordata,Podargus
A0A7L4GIS6,8905,Animals,Chordata,Podargus
A0A7L4H6Z1,8905,Animals,Chordata,Podargus
A0A7L4HJ58,33581,Animals,Chordata,Scopus
A0A7L4HXY3,33581,Animals,Chordata,Scopus
A0A7L4I0J3,33581,Animals,Chordata,Scopus
A0A7L4IKJ7,932028,Animals,Chordata,Pomatorhinus
A0A7L4IRI8,932028,Animals,Chordata,Pomatorhinus
A0A7L4ISY2,932028,Animals,Chordata,Pomatorhinus
A0A7L4JNZ0,1961834,Animals,Chordata,Ceuthmochares
A0A7L4JPX4,1961834,Animals,Chordata,Ceuthmochares
A0A7L4JSS3,1961834,Animals,Chordata,Ceuthmochares
A0A7L4KI28,1347786,Animals,Chordata,Callaeas
A0A7L4KSH1,1347786,Animals,Chordata,Callaeas
A0A7L4L8Z6,1347786,Animals,Chordata,Callaeas
A0A7L4LYT9,43316,Animals,Chordata,Glareola
A0A7L4M1H8,43316,Animals,Chordata,Glareola
A0A7L4MB48,43316,Animals,Chordata,Glareola
A0A7L9UBA5,2769491,Bacteria,Pseudomonadota,Massilia
A0A7M2SBB5,1413221,Bacteria,Actinomycetota,Streptomyces
A0A7M2SPF7,1413221,Bacteria,Actinomycetota,Streptomyces
A0A7M2T8U2,42881,Bacteria,Actinomycetota,Streptomyces
A0A7M2TF05,42881,Bacteria,Actinomycetota,Streptomyces
A0A7M4FCS6,8502,Animals,Chordata,Crocodylus
A0A7M4FEA3,8502,Animals,Chordata,Crocodylus
A0A7M4FN31,8502,Animals,Chordata,Crocodylus
A0A7M4FNM3,8502,Animals,Chordata,Crocodylus
A0A7M4FSZ7,8502,Animals,Chordata,Crocodylus
A0A7M5U0C1,252671,Animals,Cnidaria,Clytia
A0A7M5WYG4,252671,Animals,Cnidaria,Clytia
A0A7M6DMJ9,252671,Animals,Cnidaria,Clytia
A0A7M6DMK7,252671,Animals,Cnidaria,Clytia
A0A7M6DQ32,252671,Animals,Cnidaria,Clytia
A0A7N0RG09,63787,Plants,Streptophyta,Kalanchoe
A0A7N0VLV1,63787,Plants,Streptophyta,Kalanchoe
A0A7N2MTV1,97700,Plants,Streptophyta,Quercus
A0A7N2R4S9,97700,Plants,Streptophyta,Quercus
A0A7N2RCI0,97700,Plants,Streptophyta,Quercus
A0A7N6A648,64144,Animals,Chordata,Anabas
A0A7N6A692,64144,Animals,Chordata,Anabas
A0A7N6ABY5,64144,Animals,Chordata,Anabas
A0A7N6AG26,64144,Animals,Chordata,Anabas
A0A7N6AJ73,64144,Animals,Chordata,Anabas
A0A7N6BGW9,64144,Animals,Chordata,Anabas
A0A7N6BUK6,64144,Animals,Chordata,Anabas
A0A7N6FE63,64144,Animals,Chordata,Anabas
A0A7N6FH14,64144,Animals,Chordata,Anabas
A0A7N6FHA2,64144,Animals,Chordata,Anabas
A0A7N8WK81,205130,Animals,Chordata,Mastacembelus
A0A7N8WV62,205130,Animals,Chordata,Mastacembelus
A0A7N8XMW7,205130,Animals,Chordata,Mastacembelus
A0A7N8Y1J5,205130,Animals,Chordata,Mastacembelus
A0A7N8YJX1,205130,Animals,Chordata,Mastacembelus
A0A7R6T5J0,5627,Fungi,Basidiomycota,Grifola
A0A7R7VQZ5,182096,Fungi,Ascomycota,Aspergillus
A0A7R7VRG0,182096,Fungi,Ascomycota,Aspergillus
A0A7R7W9K7,1069201,Fungi,Ascomycota,Aspergillus
A0A7R7WZB7,1069201,Fungi,Ascomycota,Aspergillus
A0A7R7X9F5,1220207,Fungi,Ascomycota,Aspergillus
A0A7R7XAN5,1220207,Fungi,Ascomycota,Aspergillus
A0A7R7XQJ8,1220207,Fungi,Ascomycota,Aspergillus
A0A7R7XS87,1220207,Fungi,Ascomycota,Aspergillus
A0A7R7XXA9,1220207,Fungi,Ascomycota,Aspergillus
A0A7R7ZNQ8,182096,Fungi,Ascomycota,Aspergillus
A0A7R8AGW9,1220207,Fungi,Ascomycota,Aspergillus
A0A7R9KQM4,1979941,Animals,Arthropoda,Medioppia
A0A7R9KZT3,1979941,Animals,Arthropoda,Medioppia
A0A7R9L054,1979941,Animals,Arthropoda,Medioppia
A0A7R9M988,334625,Animals,Arthropoda,Oppiella
A0A7R9PVW4,1979941,Animals,Arthropoda,Medioppia
A0A7R9QVX0,334625,Animals,Arthropoda,Oppiella
A0A7R9V365,1486919,Plants,Chlorophyta,Chlamydomonas
A0A7S0I6H8,33657,?,Haptophyta,Phaeocystis
A0A7S0LHE4,221442,?,Haptophyta,Coccolithus
A0A7S0SRE9,96789,Oomycota,?,Chromulina
A0A7S0WI35,1034604,Plants,Chlorophyta,Chlamydomonas
A0A7S0XDT4,96789,Oomycota,?,Chromulina
A0A7S0ZFM1,708627,?,Rhodophyta,Timspurckia
A0A7S1A6W1,2966,?,?,Noctiluca
A0A7S1B601,216773,Oomycota,Bacillariophyta,Corethron
A0A7S1D9Z1,216820,Oomycota,Bacillariophyta,Cyclophora
A0A7S1QT39,2925,?,?,Alexandrium
A0A7S2B4B6,236787,Oomycota,?,Florenciella
A0A7S2BQH6,236787,Oomycota,?,Florenciella
A0A7S2BXX5,236787,Oomycota,?,Florenciella
A0A7S2CAB6,3111310,Oomycota,?,Octactis
A0A7S2CGN8,3111310,Oomycota,?,Octactis
A0A7S2CGQ1,3111310,Oomycota,?,Octactis
A0A7S2CVH2,3111310,Oomycota,?,Octactis
A0A7S2CZV2,3111310,Oomycota,?,Octactis
A0A7S2DI27,3111310,Oomycota,?,Octactis
A0A7S2DUP4,3111310,Oomycota,?,Octactis
A0A7S2F5L7,3111310,Oomycota,?,Octactis
A0A7S2FUY7,3111310,Oomycota,?,Octactis
A0A7S2G1V7,3111310,Oomycota,?,Octactis
A0A7S2G2D7,3111310,Oomycota,?,Octactis
A0A7S2GZS8,3111310,Oomycota,?,Octactis
A0A7S2GZX5,3111310,Oomycota,?,Octactis
A0A7S2H1Q6,3111310,Oomycota,?,Octactis
A0A7S2HL40,3111310,Oomycota,?,Octactis
A0A7S2JTA5,1333877,?,?,Zooxanthella
A0A7S2MH92,3111310,Oomycota,?,Octactis
A0A7S2MLN1,374047,Oomycota,Bacillariophyta,Helicotheca
A0A7S2MT20,3111310,Oomycota,?,Octactis
A0A7S2QBF1,1333877,?,?,Zooxanthella
A0A7S2R4W0,1034831,Oomycota,?,Rhizochromulina
A0A7S2R6D0,1034831,Oomycota,?,Rhizochromulina
A0A7S2R7L9,1034831,Oomycota,?,Rhizochromulina
A0A7S2R8C7,1034831,Oomycota,?,Rhizochromulina
A0A7S2SA39,1034831,Oomycota,?,Rhizochromulina
A0A7S2SIM0,1034831,Oomycota,?,Rhizochromulina
A0A7S2V1V1,94617,Oomycota,?,Fibrocapsa
A0A7S2W132,1034831,Oomycota,?,Rhizochromulina
A0A7S2W1K8,1034831,Oomycota,?,Rhizochromulina
A0A7S2W1Z0,1034831,Oomycota,?,Rhizochromulina
A0A7S2W3X4,1034831,Oomycota,?,Rhizochromulina
A0A7S2W4W4,1034831,Oomycota,?,Rhizochromulina
A0A7S2W594,1034831,Oomycota,?,Rhizochromulina
A0A7S2WAP3,1034831,Oomycota,?,Rhizochromulina
A0A7S2WEF6,1034831,Oomycota,?,Rhizochromulina
A0A7S2WFA6,1034831,Oomycota,?,Rhizochromulina
A0A7S2XX66,94617,Oomycota,?,Fibrocapsa
A0A7S3K2N9,44058,Oomycota,?,Aureoumbra
A0A7S3K307,44058,Oomycota,?,Aureoumbra
A0A7S3QEJ9,122233,Oomycota,Bacillariophyta,Chaetoceros
A0A7S3RCE1,2903,?,Haptophyta,Emiliania
A0A7S3S276,141414,?,Ciliophora,Strombidinopsis
A0A7S3W3R1,2903,?,Haptophyta,Emiliania
A0A7S3XIT1,2969,?,?,Oxyrrhis
A0A7S3XKD7,2969,?,?,Oxyrrhis
A0A7S3XKX0,2829,Oomycota,?,Heterosigma
A0A7S3XTZ6,2829,Oomycota,?,Heterosigma
A0A7S3XY60,2829,Oomycota,?,Heterosigma
A0A7S4AB65,44445,Oomycota,Bacillariophyta,Pseudo-nitzschia
A0A7S4C8S2,73025,?,Euglenozoa,Eutreptiella
A0A7S4DCA4,2829,Oomycota,?,Heterosigma
A0A7S4DDY2,2829,Oomycota,?,Heterosigma
A0A7S4GNC1,2969,?,?,Oxyrrhis
A0A7S6HUY0,101596,Plants,Streptophyta,Dahlia
A0A7S7SGR7,1473598,Bacteria,Acidobacteriota,Paludibaculum
A0A7S8CX28,5516,Fungi,Ascomycota,Fusarium
A0A7S8D0B4,5516,Fungi,Ascomycota,Fusarium
A0A7S8D418,5516,Fungi,Ascomycota,Fusarium
A0A7S8D684,5516,Fungi,Ascomycota,Fusarium
A0A7S8HSP6,5516,Fungi,Ascomycota,Fusarium
A0A7T0MI32,4442,Plants,Streptophyta,Camellia
A0A7T6XWB9,36651,Fungi,Ascomycota,Penicillium
A0A7T7L3P8,2797636,Bacteria,Actinomycetota,Streptomyces
A0A7T7RE24,2797636,Bacteria,Actinomycetota,Streptomyces
A0A7U2ERA1,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2ESQ2,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2EU21,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2EUN7,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2F463,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2F4F3,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2F4G3,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2F662,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2FA14,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2FA84,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2FAU1,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2HZK6,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2I6P4,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2IA54,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2MCW3,332952,Fungi,Ascomycota,Aspergillus
A0A7U2MHQ4,332952,Fungi,Ascomycota,Aspergillus
A0A7U2MJK8,332952,Fungi,Ascomycota,Aspergillus
A0A7U2MKV6,332952,Fungi,Ascomycota,Aspergillus
A0A7U2MN31,332952,Fungi,Ascomycota,Aspergillus
A0A7U2NQS5,321614,Fungi,Ascomycota,Phaeosphaeria
A0A7U2QZU7,332952,Fungi,Ascomycota,Aspergillus
A0A7U2R2A5,332952,Fungi,Ascomycota,Aspergillus
A0A7U3UTQ7,659352,Bacteria,Actinomycetota,Actinacidiphila
A0A7U4PCG9,430531,Bacteria,Pseudomonadota,Burkholderia
A0A7U9DPK1,1200984,Bacteria,Actinomycetota,Streptomyces
A0A7V2WU63,45248,Bacteria,Pseudomonadota,Leucothrix
A0A7V6P981,94625,Bacteria,Pseudomonadota,Brucella
A0A7W2DTS7,68213,Bacteria,Actinomycetota,Streptomyces
A0A7W3N6D8,412384,Bacteria,Bacillota,Priestia
A0A7W3NNF9,33900,Bacteria,Actinomycetota,Streptomyces
A0A7W3WKV5,2213162,Bacteria,Actinomycetota,Streptomyces
A0A7W4ZR98,67380,Bacteria,Actinomycetota,Streptomyces
A0A7W4ZUM4,67380,Bacteria,Actinomycetota,Streptomyces
A0A7W6JPH3,1268553,Bacteria,Pseudomonadota,Sphingomonas
A0A7W7DGX7,68233,Bacteria,Actinomycetota,Streptomyces
A0A7W7DTH3,68233,Bacteria,Actinomycetota,Streptomyces
A0A7W7E3W6,384,Bacteria,Pseudomonadota,Rhizobium
A0A7W7H2R4,135948,Bacteria,Actinomycetota,Actinoplanes
A0A7W7I0S7,1868,Bacteria,Actinomycetota,Actinoplanes
A0A7W7K2G7,1268553,Bacteria,Pseudomonadota,Sphingomonas
A0A7W7LFN0,55404,Bacteria,Actinomycetota,Streptomyces
A0A7W7LLS9,66427,Bacteria,Actinomycetota,Streptomyces
A0A7W7PB48,55404,Bacteria,Actinomycetota,Streptomyces
A0A7W7PBB2,55404,Bacteria,Actinomycetota,Streptomyces
A0A7W7PQH6,66895,Bacteria,Actinomycetota,Streptomyces
A0A7W7PTB6,66895,Bacteria,Actinomycetota,Streptomyces
A0A7W7QZM1,58351,Bacteria,Actinomycetota,Kitasatospora
A0A7W7U4E1,2663842,Bacteria,Actinomycetota,Streptomyces
A0A7W7WEY1,258050,Bacteria,Actinomycetota,Kitasatospora
A0A7W7WLD5,258050,Bacteria,Actinomycetota,Kitasatospora
A0A7W7ZLM5,940614,Bacteria,Acidobacteriota,Granulicella
A0A7W7ZXN0,714136,Bacteria,Actinomycetota,Nonomuraea
A0A7W8BHV4,67303,Bacteria,Actinomycetota,Streptomyces
A0A7W8HY88,472166,Bacteria,Pseudomonadota,Brevundimonas
A0A7W8KIV5,1141878,Bacteria,Deinococcota,Deinococcus
A0A7W9DMW4,763782,Bacteria,Actinomycetota,Sphaerisporangium
A0A7W9H3D1,36816,Bacteria,Actinomycetota,Streptomyces
A0A7W9HDB9,36816,Bacteria,Actinomycetota,Streptomyces
A0A7W9LZX3,1105145,Bacteria,Actinomycetota,Saccharothrix
A0A7W9T7W4,66375,Bacteria,Actinomycetota,Streptomyces
A0A7W9TJL8,66375,Bacteria,Actinomycetota,Streptomyces
A0A7W9UN50,67293,Bacteria,Actinomycetota,Streptomyces
A0A7W9UNQ5,67293,Bacteria,Actinomycetota,Streptomyces
A0A7W9ZFQ6,189,Bacteria,Pseudomonadota,Novispirillum
A0A7X0B1W6,765888,Bacteria,Pseudomonadota,Nitrospirillum
A0A7X0CD67,373040,Bacteria,Pseudomonadota,Massilia
A0A7X0HJ80,67283,Bacteria,Actinomycetota,Streptomyces
A0A7X0HLM5,67283,Bacteria,Actinomycetota,Streptomyces
A0A7X0J7C0,188932,Bacteria,Bacteroidota,Pedobacter
A0A7X0ULY4,305,Bacteria,Pseudomonadota,Ralstonia
A0A7X1AJN0,2724178,Bacteria,Pseudomonadota,Pseudomonas
A0A7X1AU61,2724178,Bacteria,Pseudomonadota,Pseudomonas
A0A7X1HXH2,178566,Bacteria,Actinomycetota,Streptomyces
A0A7X1J7S6,2759956,Bacteria,Actinomycetota,Streptomyces
A0A7X1JBZ8,2759956,Bacteria,Actinomycetota,Streptomyces
A0A7X1XF74,1608996,Bacteria,Pseudomonadota,Pseudomonas
A0A7X1YCU5,1608996,Bacteria,Pseudomonadota,Pseudomonas
A0A7X2IKG1,2666085,Bacteria,Pseudomonadota,Pseudoduganella
A0A7X3G2V1,2683234,Bacteria,Pseudomonadota,Massilia
A0A7X5YKZ1,74314,Bacteria,Pseudomonadota,Brevundimonas
A0A7X6DTB4,2606439,Bacteria,Nitrospirota,Candidatus
A0A7X6F6V2,396,Bacteria,Pseudomonadota,Rhizobium
A0A7X6F8F4,396,Bacteria,Pseudomonadota,Rhizobium
A0A7X6MJD4,1341646,Bacteria,Actinomycetota,Mycolicibacterium
A0A7Y0ZP28,76761,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y1A6B9,76761,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y1M371,1615674,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y1MNK6,78544,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y4KXB0,60450,Bacteria,Actinomycetota,Kribbella
A0A7Y6A0K8,144055,Bacteria,Actinomycetota,Cellulomonas
A0A7Y7XVN5,117681,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y7XW82,117681,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y7YD02,117681,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y7YGK1,117681,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y8CHG9,117681,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y8CNU3,117681,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y8ELP5,515393,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y8FG76,515393,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y8G0C0,117680,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y8G6M0,117680,Bacteria,Pseudomonadota,Pseudomonas
A0A7Y9DJJ9,37633,Bacteria,Actinomycetota,Kineococcus
A0A7Z0AWG8,321662,Bacteria,Pseudomonadota,Pseudomonas
A0A7Z0BL67,501010,Bacteria,Actinomycetota,Nocardiopsis
A0A7Z0Q9G1,2823807,Bacteria,Pseudomonadota,Bradyrhizobium
A0A7Z0TSU8,2823807,Bacteria,Pseudomonadota,Bradyrhizobium
A0A7Z2ZS25,2728020,Bacteria,Pseudomonadota,Massilia
A0A7Z3C645,294,Bacteria,Pseudomonadota,Pseudomonas
A0A7Z7N6D5,1777142,Bacteria,Pseudomonadota,Caballeronia
A0A803LLC7,63459,Plants,Streptophyta,Chenopodium
A0A803LLC8,63459,Plants,Streptophyta,Chenopodium
A0A803LPT1,63459,Plants,Streptophyta,Chenopodium
A0A803LPT2,63459,Plants,Streptophyta,Chenopodium
A0A803NZB7,3483,Plants,Streptophyta,Cannabis
A0A803NZB8,3483,Plants,Streptophyta,Cannabis
A0A803Q7X0,3483,Plants,Streptophyta,Cannabis
A0A803QFV7,3483,Plants,Streptophyta,Cannabis
A0A803QVW1,3483,Plants,Streptophyta,Cannabis
A0A804JMC8,214687,Plants,Streptophyta,Musa
A0A804JRR5,214687,Plants,Streptophyta,Musa
A0A804JRS7,214687,Plants,Streptophyta,Musa
A0A804K4K6,214687,Plants,Streptophyta,Musa
A0A804K4K7,214687,Plants,Streptophyta,Musa
A0A804K4K8,214687,Plants,Streptophyta,Musa
A0A804K4K9,214687,Plants,Streptophyta,Musa
A0A804KE62,214687,Plants,Streptophyta,Musa
A0A804KYE1,214687,Plants,Streptophyta,Musa
A0A804RIY3,4577,Plants,Streptophyta,Zea
A0A804RRR4,4577,Plants,Streptophyta,Zea
A0A804ULR4,4577,Plants,Streptophyta,Zea
A0A804UML8,4577,Plants,Streptophyta,Zea
A0A806U8E1,1452722,Bacteria,Bacillota,Priestia
A0A811K405,465554,Animals,Nematoda,Bursaphelenchus
A0A811KH31,465554,Animals,Nematoda,Bursaphelenchus
A0A811KY04,465554,Animals,Nematoda,Bursaphelenchus
A0A811L078,465554,Animals,Nematoda,Bursaphelenchus
A0A811L1W7,465554,Animals,Nematoda,Bursaphelenchus
A0A811NTG6,422564,Plants,Streptophyta,Miscanthus
A0A811NZK3,422564,Plants,Streptophyta,Miscanthus
A0A811PLT5,422564,Plants,Streptophyta,Miscanthus
A0A811PN71,422564,Plants,Streptophyta,Miscanthus
A0A811PWB5,422564,Plants,Streptophyta,Miscanthus
A0A811R0U8,422564,Plants,Streptophyta,Miscanthus
A0A811S8X4,422564,Plants,Streptophyta,Miscanthus
A0A811SJ34,422564,Plants,Streptophyta,Miscanthus
A0A811Y7K8,34880,Animals,Chordata,Nyctereutes
A0A811YWD2,34880,Animals,Chordata,Nyctereutes
A0A811ZGG6,34880,Animals,Chordata,Nyctereutes
A0A812CHS0,158019,Animals,Mollusca,Acanthosepion
A0A812CSK2,158019,Animals,Mollusca,Acanthosepion
A0A812JR76,1628268,?,?,Symbiodinium
A0A812LI75,1628268,?,?,Symbiodinium
A0A812NUF4,1628268,?,?,Symbiodinium
A0A812Q4I5,878477,?,?,Symbiodinium
A0A812QA25,878477,?,?,Symbiodinium
A0A812QP07,1628268,?,?,Symbiodinium
A0A812SAZ7,2952,?,?,Symbiodinium
A0A812UTX8,2952,?,?,Symbiodinium
A0A812V5M0,878477,?,?,Symbiodinium
A0A812WL81,1628268,?,?,Symbiodinium
A0A813E1C8,89957,?,?,Polarella
A0A813FA30,89957,?,?,Polarella
A0A813FLF8,89957,?,?,Polarella
A0A813G5P0,89957,?,?,Polarella
A0A813GR84,89957,?,?,Polarella
A0A813GUI6,89957,?,?,Polarella
A0A813HEG4,89957,?,?,Polarella
A0A813HFF9,89957,?,?,Polarella
A0A813I2M7,89957,?,?,Polarella
A0A813IMN3,89957,?,?,Polarella
A0A813JVL4,89957,?,?,Polarella
A0A813K9V7,89957,?,?,Polarella
A0A814MII4,1234261,Animals,Rotifera,Didymodactylos
A0A822XHC0,4432,Plants,Streptophyta,Nelumbo
A0A822Z7C8,4432,Plants,Streptophyta,Nelumbo
A0A830BJL4,374723,Plants,Streptophyta,Phtheirospermum
A0A830CHU2,374723,Plants,Streptophyta,Phtheirospermum
A0A830CU19,374723,Plants,Streptophyta,Phtheirospermum
A0A830GM12,1427151,Archaea,Methanobacteriota,Haloarcula
A0A831VP34,641691,Bacteria,Bacteroidota,Pricia
A0A831VWH6,641691,Bacteria,Bacteroidota,Pricia
A0A833PQW3,482957,Bacteria,Pseudomonadota,Burkholderia
A0A833QIW2,544730,Plants,Streptophyta,Carex
A0A833R0A1,544730,Plants,Streptophyta,Carex
A0A833RDF0,544730,Plants,Streptophyta,Carex
A0A833RJ43,544730,Plants,Streptophyta,Carex
A0A833S9Q2,4787,Oomycota,Oomycota,Phytophthora
A0A833SS56,4787,Oomycota,Oomycota,Phytophthora
A0A833TET7,4787,Oomycota,Oomycota,Phytophthora
A0A833TJH1,4787,Oomycota,Oomycota,Phytophthora
A0A833TLW3,4787,Oomycota,Oomycota,Phytophthora
A0A833W147,4787,Oomycota,Oomycota,Phytophthora
A0A833W8I4,4787,Oomycota,Oomycota,Phytophthora
A0A833WD19,4787,Oomycota,Oomycota,Phytophthora
A0A833XZ93,51240,Plants,Streptophyta,Juglans
A0A833YRW9,89673,Animals,Chordata,Phyllostomus
A0A834C2T3,30732,Animals,Chordata,Oryzias
A0A834D1R3,51240,Plants,Streptophyta,Juglans
A0A834DL67,89673,Animals,Chordata,Phyllostomus
A0A834E413,89673,Animals,Chordata,Phyllostomus
A0A834FXG3,118357,Plants,Streptophyta,Rhododendron
A0A834L0D5,30732,Animals,Chordata,Oryzias
A0A834L1H9,30732,Animals,Chordata,Oryzias
A0A834QUI8,9995,Animals,Chordata,Marmota
A0A834SG87,362788,Plants,Streptophyta,Senna
A0A834SH60,362788,Plants,Streptophyta,Senna
A0A834Y6U4,13715,Plants,Streptophyta,Tetracentron
A0A834Y8S0,13715,Plants,Streptophyta,Tetracentron
A0A834ZDT5,13715,Plants,Streptophyta,Tetracentron
A0A834ZKX7,13715,Plants,Streptophyta,Tetracentron
A0A834ZNS4,13715,Plants,Streptophyta,Tetracentron
A0A834ZVC3,13715,Plants,Streptophyta,Tetracentron
A0A835ADC5,1010633,Plants,Streptophyta,Digitaria
A0A835AE92,1010633,Plants,Streptophyta,Digitaria
A0A835AGD2,1010633,Plants,Streptophyta,Digitaria
A0A835AMR0,1010633,Plants,Streptophyta,Digitaria
A0A835ANI8,1010633,Plants,Streptophyta,Digitaria
