accession,afdb_available,afdb_his_missing,af3_cu_cu,af3_centroid,afdb_centroid,delta_centroid,n_cuA_his,n_cuB_his,afdb_cuA_found,afdb_cuB_found,afdb_cuA_plddt,afdb_cuB_plddt
A0A9E7GUQ1,True,False,4.18,4.83,4.59,-0.23,3,3,3,3,98.6,94.1
A0A9N9YHF2,True,False,3.99,5.0,4.77,-0.23,3,3,3,3,98.7,98.8
A0A9J7LM41,True,False,3.67,4.66,4.89,0.23,3,3,3,3,98.5,97.9
A0A9P1I5X8,True,False,3.91,5.43,5.21,-0.23,3,3,3,3,98.7,96.9
A0A9P3D0K0,True,False,4.12,4.83,4.6,-0.23,3,3,3,3,98.7,97.5
A0A9P4HN24,True,False,3.96,4.95,4.73,-0.23,3,3,3,3,97.5,98.3
A0A9P4HVU1,True,False,3.99,4.99,4.77,-0.23,3,3,3,3,96.9,97.0
A0A9P4I595,True,False,4.23,5.35,5.12,-0.23,3,3,3,3,98.0,95.9
A0A9P4PM39,True,False,3.93,4.8,4.57,-0.23,3,3,3,3,98.5,98.6
A0A9P4PNW3,True,False,4.2,5.25,5.02,-0.23,3,3,3,3,98.5,97.7
A0A9P4R6E3,True,False,4.04,4.98,4.75,-0.23,3,3,3,3,98.9,98.8
A0A9P5BDM4,True,False,4.23,4.88,4.65,-0.23,3,3,3,3,97.4,96.4
A0A9P5DWD0,True,False,3.98,4.88,4.65,-0.23,3,3,3,3,98.6,97.9
A0A9P5HSY5,True,False,3.93,4.99,4.76,-0.23,3,3,3,3,98.6,98.8
A0A9P5K8I6,True,False,3.78,4.87,4.65,-0.23,3,3,3,3,98.6,98.9
A0A9P5X9Z6,True,False,3.83,4.88,4.65,-0.23,3,3,3,3,98.7,98.7
A0A9P6KLR9,True,False,4.25,5.23,5.0,-0.23,3,3,3,3,97.6,98.2
A0A9P6KSR1,True,False,3.99,5.03,4.8,-0.23,3,3,3,3,98.4,98.6
A0A9P6LNG2,True,False,3.92,4.99,4.76,-0.23,3,3,3,3,98.8,98.7
A0A9P6NEH9,True,False,4.12,5.13,5.36,0.23,3,3,3,3,92.4,88.5
A0A9P7AYC7,True,False,4.0,4.75,4.52,-0.23,3,3,3,3,98.7,96.7
A0A9P7FEP6,True,False,4.18,4.69,4.46,-0.23,3,3,3,3,98.3,91.6
A0A9P7L088,True,False,4.16,5.04,4.81,-0.23,3,3,3,3,98.6,98.8
A0A9P7UK77,True,False,4.31,4.84,4.62,-0.23,3,3,3,3,98.9,97.0
A0A9P7W2Q5,True,False,3.96,5.19,4.97,-0.23,3,3,3,3,97.0,95.0
A0A9P8XXT9,True,False,3.97,5.04,4.8,-0.23,3,3,3,3,97.5,98.4
A0A9P9WK24,True,False,3.88,4.73,4.5,-0.23,3,3,3,3,96.2,88.7
A0A9Q1A0X2,True,False,4.0,4.77,4.54,-0.23,3,3,3,3,98.8,98.4
A0A9W4H4A5,True,False,3.84,4.88,4.65,-0.23,3,3,3,3,98.1,96.5
A0A9R1SQ36,True,False,3.63,4.92,5.15,0.23,3,3,3,3,98.9,98.9
A0A9W3BCN2,True,False,4.16,5.24,5.01,-0.23,3,3,3,3,96.4,94.4
A0A9W4U1W2,True,False,4.22,5.23,5.0,-0.23,3,3,3,3,97.4,96.8
A0A9W4ULZ7,True,False,4.21,4.76,4.53,-0.23,3,3,3,3,98.0,93.9
A0A9W8CIE1,True,False,4.02,5.18,4.95,-0.23,3,3,3,3,98.6,97.8
A0A9W7XIT1,True,False,4.04,5.09,4.86,-0.23,3,3,3,3,95.0,97.0
A0A9W7Y720,True,False,3.92,4.96,4.72,-0.23,3,3,3,3,98.0,98.6
A0A9W8PPH3,True,False,4.03,5.01,4.78,-0.23,3,3,3,3,98.9,98.8
A0A9W8TES0,True,False,3.98,4.99,4.76,-0.23,3,3,3,3,98.8,98.5
A0A9W8V905,True,False,3.94,5.05,4.81,-0.23,3,3,3,3,97.5,98.0
A0A9W9CXX3,True,False,3.94,5.0,4.77,-0.23,3,3,3,3,98.7,98.2
A0A9W9J9H4,True,False,4.22,5.18,4.95,-0.23,3,3,3,3,97.6,97.6
A0A9W9LGF4,True,False,4.18,5.29,5.06,-0.23,3,3,3,3,98.8,97.8
A0A9W9V833,True,False,3.95,5.03,4.8,-0.23,3,3,3,3,98.6,98.7
A0A9W9XIV4,True,False,4.22,4.86,4.63,-0.23,3,3,3,3,96.7,95.2
A0A9X0BDN5,True,False,4.07,4.46,4.68,0.23,3,3,3,3,98.2,90.9
A0A9X0BTF6,True,False,4.13,5.03,4.81,-0.23,3,3,3,3,98.9,98.9
A0A9X0BXG8,True,False,4.33,5.24,5.01,-0.23,3,3,3,3,96.3,96.0
A0A9X0C4Y4,True,False,4.11,5.08,4.85,-0.23,3,3,3,3,98.9,98.9
A0AA35LP94,True,False,4.06,4.99,4.77,-0.23,3,3,3,3,98.7,98.8
A0AA35M877,True,False,4.14,5.11,4.88,-0.23,3,3,3,3,98.7,98.8
A0AA36EFV6,True,False,3.89,4.89,4.67,-0.23,3,3,3,3,98.9,97.3
A0AA38RX46,True,False,3.88,4.89,4.66,-0.23,3,3,3,3,98.8,98.7
A0AA39UC92,True,False,3.94,5.1,4.87,-0.23,3,3,3,3,98.3,96.6
A0AA39XFD4,True,False,3.96,5.01,4.78,-0.23,3,3,3,3,98.2,98.6
A0AA40C2M7,True,False,3.85,5.05,4.83,-0.23,3,3,3,3,97.7,98.6
A0AA40F1Y1,True,False,3.99,4.93,4.7,-0.23,3,3,3,3,98.6,98.9
A0AA40KB66,True,False,3.93,5.17,4.94,-0.23,3,3,3,3,97.1,98.4
A0AA85KGE4,True,False,3.92,5.06,4.83,-0.23,3,3,3,3,98.0,96.9
A0AA88XLZ1,True,False,3.86,4.98,5.21,0.23,3,3,3,3,94.1,89.9
A0AAD1Z1H3,True,False,4.02,4.75,4.52,-0.23,3,3,3,3,98.5,96.9
A0AAD4FB42,True,False,3.89,4.99,4.76,-0.23,3,3,3,3,98.8,98.8
A0AAD4HFX7,True,False,3.91,4.71,4.48,-0.23,3,3,3,3,98.3,86.1
A0AAD6DTT9,True,False,4.14,5.13,4.9,-0.23,3,3,3,3,97.2,97.5
A0AAD5D7S3,True,False,4.04,4.9,4.67,-0.23,3,3,3,3,98.9,97.7
A0AAD6KHA9,True,False,4.39,4.76,4.53,-0.23,3,3,3,3,98.9,98.3
A0AAD7M215,True,False,4.02,4.86,4.64,-0.23,3,3,3,3,98.8,98.0
A0AAD7UD41,True,False,4.53,5.58,5.81,0.23,3,3,3,3,92.1,94.0
A0AAD9SNU1,True,False,3.99,4.82,4.58,-0.23,3,3,3,3,98.4,98.0
A0AAD9T0Z4,True,False,4.04,5.22,4.98,-0.23,3,3,3,3,98.9,97.8
A0AAE0LQA4,True,False,3.88,4.82,4.6,-0.23,3,3,3,3,98.8,98.5
A0AAE0M9G3,True,False,4.03,5.25,5.02,-0.23,3,3,3,3,98.3,97.7
A0AAE0TT95,True,False,3.94,4.9,4.67,-0.23,3,3,3,3,96.5,98.3
A0AAF3EKL4,True,False,4.21,5.25,5.02,-0.23,3,3,3,3,97.6,94.3
A0AAF5DS07,True,False,4.26,5.34,5.57,0.23,3,3,3,3,97.0,96.1
A0AAF6AWZ9,True,False,4.23,5.31,5.08,-0.23,3,3,3,3,97.8,97.8
A0AAF6BKA0,True,False,4.27,5.08,4.85,-0.23,3,3,3,3,97.6,94.9
A0AAF6BKS1,True,False,4.43,5.06,4.83,-0.23,3,3,3,3,98.1,94.8
A0AAI9ZHJ5,True,False,4.02,5.0,4.77,-0.23,3,3,3,3,98.8,98.8
A0AAJ0DDL3,True,False,4.02,4.4,4.63,0.23,3,3,3,3,98.8,97.2
A0AAJ6N653,True,False,3.98,4.8,5.03,0.23,3,3,3,3,97.9,95.3
A0AAN6MDB5,True,False,4.02,5.17,4.93,-0.23,3,3,3,3,98.8,98.4
A0AAN6RXR8,True,False,4.32,4.72,4.5,-0.23,3,3,3,3,98.4,96.4
A0AAN6VJH7,True,False,3.75,4.94,4.72,-0.23,3,3,3,3,98.8,97.4
A0AAN6Y0W5,True,False,4.36,5.21,4.98,-0.23,3,3,3,3,97.9,96.2
A0AAN7IA05,True,False,3.91,4.88,4.65,-0.23,3,3,3,3,98.8,97.9
A0AAN7QDT1,True,False,3.96,4.88,4.65,-0.23,3,3,3,3,98.9,98.2
A0AAN7XT79,True,False,3.71,4.91,5.14,0.23,3,3,3,3,98.9,98.9
A0AAN8T6H5,True,False,3.93,4.78,4.55,-0.23,3,3,3,3,98.8,96.4
A0AAN8T8Y8,True,False,3.74,4.81,4.58,-0.23,3,3,3,3,98.7,96.9
A0AAN9T4X3,True,False,3.95,4.89,4.66,-0.23,3,3,3,3,98.7,97.8
A0AAP0IE14,True,False,3.78,4.62,4.4,-0.23,3,3,3,3,98.5,96.7
A0AAU7EG80,True,False,3.81,4.93,5.16,0.23,3,3,3,3,91.2,91.1
A0AAV0PC46,True,False,3.89,4.76,4.53,-0.23,3,3,3,3,98.9,98.3
A0AAV0PDA9,True,False,3.83,4.75,4.52,-0.23,3,3,3,3,98.9,98.4
A0AAV1RPP7,True,False,3.76,4.76,4.53,-0.23,3,3,3,3,97.5,95.9
A0AAV2Z0Q5,True,False,3.96,5.19,4.97,-0.23,3,3,3,3,91.1,88.8
A0AAV8T5G7,True,False,3.89,4.83,4.59,-0.23,3,3,3,3,97.8,97.1
A0AAV9G669,True,False,3.92,4.95,4.72,-0.23,3,3,3,3,98.2,97.2
A0AAV9GRP9,True,False,3.93,4.91,4.67,-0.23,3,3,3,3,98.9,98.6
A0AAV9K000,True,False,3.95,4.8,4.57,-0.23,3,3,3,3,98.6,97.2
A0AAV9LS32,True,False,3.74,4.76,4.53,-0.23,3,3,3,3,98.5,95.1
A0AAV9WG77,True,False,4.37,4.79,4.56,-0.23,3,3,3,3,93.8,94.7
A0AAV9XAI9,True,False,4.32,4.83,4.6,-0.23,3,3,3,3,97.5,96.3
A0AAW0R5L3,True,False,3.97,5.08,4.85,-0.23,3,3,3,3,98.8,98.2
A0AAW1MZD2,True,False,4.12,4.78,4.55,-0.23,3,3,3,3,98.2,95.4
A0AB37WSN9,True,False,4.05,5.14,4.91,-0.23,3,3,3,3,98.6,98.5
A0ABC9CSN2,True,False,3.99,4.77,4.54,-0.23,3,3,3,3,98.9,98.3
A0ABC9D2C6,True,False,3.88,4.75,4.52,-0.23,3,3,3,3,98.8,97.6
A0ABC9E1N6,True,False,3.82,4.84,4.62,-0.23,3,3,3,3,98.7,97.4
A0ABC9HG94,True,False,3.99,4.82,4.59,-0.23,3,3,3,3,98.5,97.3
A0ABD0UHC1,True,False,3.82,4.82,4.59,-0.23,3,3,3,3,98.6,97.9
A0ABD1S7B8,True,False,3.79,4.81,4.58,-0.23,3,3,3,3,98.8,97.7
A0ABD3VAS6,True,False,4.43,5.4,5.17,-0.23,3,3,3,3,96.1,90.3
A5X3M5,True,False,3.99,4.83,4.6,-0.23,3,3,3,3,98.8,98.1
C1H6P8,True,False,4.33,4.61,4.84,0.23,3,3,3,3,97.1,91.8
C5XMC9,True,False,3.87,4.66,4.43,-0.23,3,3,3,3,98.8,96.2
C7Z456,True,False,4.09,5.15,4.92,-0.23,3,3,3,3,97.5,95.9
B9RZ47,True,False,3.92,4.91,4.68,-0.23,3,3,3,3,98.9,98.3
D1KED7,True,False,4.05,4.81,4.58,-0.23,3,3,3,3,98.8,98.0
D2H9Z1,True,False,3.88,4.76,4.98,0.23,3,3,3,3,97.9,98.8
D7FSG1,True,False,4.54,5.26,5.03,-0.23,3,3,3,3,96.3,94.1
D8T5K0,True,False,3.91,4.78,4.55,-0.23,3,3,3,3,98.7,96.4
E9E768,True,False,4.06,5.15,4.92,-0.23,3,3,3,3,98.2,97.1
F6Z836,True,False,3.91,4.91,4.68,-0.23,3,3,3,3,98.8,96.8
G2QJJ3,True,False,3.93,4.89,4.66,-0.23,3,3,3,3,98.8,98.6
F9X7B7,True,False,3.92,5.23,5.0,-0.23,3,3,3,3,97.9,98.5
G3VZQ8,True,False,3.83,4.94,5.16,0.23,3,3,3,3,98.9,98.9
G4N3R0,True,False,4.03,5.05,4.82,-0.23,3,3,3,3,98.5,97.4
G4NA59,True,False,3.77,5.02,4.79,-0.23,3,3,3,3,98.9,98.3
H0ZLV3,True,False,3.78,4.73,4.96,0.23,3,3,3,3,98.2,98.8
H2YA23,True,False,3.85,4.92,5.15,0.23,3,3,3,3,98.8,98.8
H3ANN5,True,False,3.89,5.01,5.24,0.23,3,3,3,3,98.8,98.8
I1S2V3,True,False,4.09,5.14,4.91,-0.23,3,3,3,3,98.5,98.6
J5JNM7,True,False,3.84,5.08,4.85,-0.23,3,3,3,3,98.5,98.0
K9GIG7,True,False,4.23,5.17,4.95,-0.23,3,3,3,3,97.0,97.1
L0N6C6,True,False,3.79,4.79,5.01,0.23,3,3,3,3,97.9,98.8
K3VIF6,True,False,4.09,5.07,4.84,-0.23,3,3,3,3,98.9,98.8
K3X5C6,True,False,3.94,5.21,4.98,-0.23,3,3,3,3,89.1,91.7
M3YKA6,True,False,3.84,4.75,4.98,0.23,3,3,3,3,98.0,98.8
N8S2A5,True,False,3.94,4.62,4.39,-0.23,3,3,3,3,98.2,94.5
P81732,True,False,4.32,5.21,4.98,-0.23,3,3,3,3,97.3,90.1
Q01KB7,True,False,4.16,4.79,4.56,-0.23,3,3,3,3,98.8,97.9
Q1AUN4,True,False,3.88,5.0,4.76,-0.23,3,3,3,3,98.4,98.9
Q2UP46,True,False,5.01,5.73,5.51,-0.23,4,3,4,3,90.1,95.8
Q6EH49,True,False,3.91,4.99,4.77,-0.23,3,3,3,3,98.8,95.8
Q84YI0,True,False,4.13,4.93,4.71,-0.23,3,3,3,3,98.1,96.3
R0LWL7,True,False,3.76,4.82,5.05,0.23,3,3,3,3,97.6,98.6
R1ERX8,True,False,3.9,4.88,4.65,-0.23,3,3,3,3,98.7,98.6
S3DEW7,True,False,3.91,4.96,4.73,-0.23,3,3,3,3,98.7,98.8
S8BXK9,True,False,4.47,4.84,4.61,-0.23,3,3,3,3,97.7,95.9
T0JZ71,True,False,4.07,5.14,4.91,-0.23,3,3,3,3,96.5,98.1
T5AFN0,True,False,4.09,4.81,4.58,-0.23,3,3,3,3,98.3,96.8
W2REJ1,True,False,3.79,4.84,4.61,-0.23,3,3,3,3,98.2,95.5
W2YZ17,True,False,3.9,5.03,4.8,-0.23,3,3,3,3,98.8,98.2
W3WNI1,True,False,4.0,4.98,4.75,-0.23,3,3,3,3,98.8,96.1
W3XD13,True,False,4.0,4.88,4.65,-0.23,3,3,3,3,98.7,98.8
W3XKA5,True,False,4.0,5.07,4.85,-0.23,3,3,3,3,98.0,98.5
W4H5S0,True,False,3.9,4.95,4.72,-0.23,3,3,3,3,98.2,95.9
W5VXS2,True,False,3.93,4.88,4.64,-0.23,3,3,3,3,98.9,98.0
W7I6B5,True,False,4.09,5.2,4.97,-0.23,3,3,3,3,98.1,98.7
W7MUF6,True,False,4.21,4.99,4.76,-0.23,3,3,3,3,98.6,97.8
X0K389,True,False,3.87,4.93,4.7,-0.23,3,3,3,3,98.8,98.6
X0K8E5,True,False,4.37,4.79,4.57,-0.23,3,3,3,3,97.2,96.2
X0L4S1,True,False,3.9,5.08,4.86,-0.23,3,3,3,3,98.6,97.8
X0LKA4,True,False,4.1,5.13,4.9,-0.23,3,3,3,3,98.5,98.2
A0A084B2K4,True,False,3.97,5.06,4.84,-0.22,3,3,3,3,98.5,98.6
A0A084QCB8,True,False,4.08,5.1,4.88,-0.22,3,3,3,3,97.6,98.4
A0A074SFZ9,True,False,4.0,4.95,4.73,-0.22,3,3,3,3,96.3,96.8
A0A074VGZ0,True,False,4.03,4.99,4.77,-0.22,3,3,3,3,98.8,98.8
A0A024FS61,True,False,3.96,4.87,4.65,-0.22,3,3,3,3,98.9,98.4
A0A091HSS0,True,False,3.73,4.72,4.94,0.22,3,3,3,3,98.0,98.7
A0A0A1T3I6,True,False,4.48,5.04,4.82,-0.22,3,3,3,3,98.2,96.7
A0A067C156,True,False,4.08,4.91,4.69,-0.22,3,3,3,3,97.5,90.7
A0A0B7KA41,True,False,3.91,5.04,4.81,-0.22,3,3,3,3,97.7,98.4
A0A0B7KHL5,True,False,4.04,5.01,4.79,-0.22,3,3,3,3,98.7,98.8
A0A0B1PD39,True,False,4.42,4.69,4.46,-0.22,3,3,3,3,98.7,97.4
A0A0B2VDU0,True,False,4.17,5.42,5.19,-0.22,3,3,3,3,98.2,95.5
A0A0C4E8A2,True,False,3.8,4.99,4.76,-0.22,3,3,3,3,98.8,96.9
A0A0D0CBB0,True,False,4.18,4.83,4.61,-0.22,3,3,3,3,98.5,95.0
A0A0D4D5X8,True,False,4.06,4.79,4.56,-0.22,3,3,3,3,98.5,96.3
A0A0D8Y996,True,False,4.32,5.43,5.22,-0.22,3,3,3,3,98.3,95.9
A0A0D8Y9Y2,True,False,4.18,5.32,5.09,-0.22,3,3,3,3,89.3,88.9
A0A0F0IBW7,True,False,3.77,4.77,4.55,-0.22,3,3,3,3,98.8,98.7
A0A0J9VB39,True,False,4.27,4.82,4.6,-0.22,3,3,3,3,97.4,96.4
A0A0L0SBE5,True,False,4.25,5.41,5.19,-0.22,3,3,3,3,96.0,96.9
A0A137NUB7,True,False,4.33,5.27,5.05,-0.22,3,3,3,3,96.3,98.3
A0A135T4G4,True,False,4.02,5.28,5.06,-0.22,3,3,3,3,98.4,96.6
A0A158P6C4,True,False,4.29,5.57,5.35,-0.22,3,3,3,3,92.5,92.7
A0A161WG29,True,False,4.07,5.04,4.82,-0.22,3,3,3,3,98.8,98.2
A0A162KDQ5,True,False,4.1,4.83,4.62,-0.22,3,3,3,3,98.5,96.1
A0A167RCQ6,True,False,4.45,4.96,4.73,-0.22,3,3,3,3,95.0,93.5
A0A173DSG7,True,False,3.98,4.84,4.62,-0.22,3,3,3,3,98.2,96.7
A0A1B8B0A6,True,False,3.79,4.72,4.5,-0.22,3,3,3,3,98.5,94.8
A0A1E5PZI2,True,False,3.96,5.2,4.98,-0.22,3,3,3,3,98.7,98.3
A0A1E1JS04,True,False,4.04,4.74,4.52,-0.22,3,3,3,3,95.6,92.4
A0A1G9XZA0,True,False,3.78,4.78,4.56,-0.22,3,3,3,3,97.9,96.1
A0A1H5XBP9,True,False,3.94,5.12,4.9,-0.22,3,3,3,3,98.2,94.9
A0A1L7WDN4,True,False,3.94,4.86,4.64,-0.22,3,3,3,3,98.6,93.0
A0A1L7XV02,True,False,4.37,4.83,4.61,-0.22,3,3,3,3,92.2,95.2
A0A1L8FPX0,True,False,3.85,4.9,4.68,-0.22,3,3,3,3,98.8,96.9
A0A1J7H1D4,True,False,4.03,4.91,4.69,-0.22,3,3,3,3,98.7,97.9
A0A1R1PBT7,True,False,3.88,4.91,4.69,-0.22,3,3,3,3,97.8,98.4
A0A1R1YCH6,True,False,3.98,5.17,4.95,-0.22,3,3,3,3,98.0,98.5
A0A1L9RA92,True,False,4.38,4.75,4.52,-0.22,3,3,3,3,95.4,91.0
A0A1L9RXI5,True,False,4.16,5.16,4.93,-0.22,3,3,3,3,98.1,97.5
A0A1M5EK35,True,False,4.03,4.97,4.74,-0.22,3,3,3,3,97.9,94.0
A0A1S0UET2,True,False,4.17,5.37,5.15,-0.22,3,3,3,3,98.3,96.1
A0A1S8B2L2,True,False,3.96,4.55,4.33,-0.22,3,3,3,3,97.1,89.8
A0A1S9E169,True,False,3.99,5.03,4.82,-0.22,3,3,3,3,98.8,98.7
A0A1Y1W8H1,True,False,3.83,4.91,4.69,-0.22,3,3,3,3,96.2,98.7
A0A1V6RX09,True,False,4.07,5.02,4.81,-0.22,3,3,3,3,98.9,98.9
A0A1V6UJI3,True,False,4.26,5.18,4.96,-0.22,3,3,3,3,98.4,98.2
A0A226MSN3,True,False,4.15,5.27,5.04,-0.22,3,3,3,3,97.1,97.8
A0A232M6A5,True,False,4.11,4.79,4.57,-0.22,3,3,3,3,98.5,96.9
A0A251SBY7,True,False,3.95,4.89,4.67,-0.22,3,3,3,3,98.9,97.1
A0A260ZAA2,True,False,4.27,5.33,5.11,-0.22,3,3,3,3,97.4,95.5
A0A261BV78,True,False,4.22,5.46,5.24,-0.22,3,3,3,3,97.5,96.5
A0A285MR25,True,False,4.13,5.02,5.24,0.22,3,3,3,3,96.4,94.8
A0A2A2JDX4,True,False,3.78,5.1,4.87,-0.22,3,3,3,3,98.1,94.3
A0A2A2KR94,True,False,4.28,5.43,5.21,-0.22,3,3,3,3,98.4,96.3
A0A2A2KTL5,True,False,4.16,5.49,5.27,-0.22,3,3,3,3,98.5,96.8
A0A2B7ZAM7,True,False,4.15,5.28,5.07,-0.22,3,3,3,3,98.9,98.5
A0A2G5CHB1,True,False,3.95,4.9,4.68,-0.22,3,3,3,3,98.5,97.9
A0A2G5CHC6,True,False,3.92,4.83,4.62,-0.22,3,3,3,3,98.9,98.1
A0A2H1GKH5,True,False,4.39,4.86,4.64,-0.22,3,3,3,3,98.4,96.7
A0A2H1H3J1,True,False,3.76,4.66,4.88,0.22,3,3,3,3,98.5,97.4
A0A2H3S4M3,True,False,4.09,5.13,4.91,-0.22,3,3,3,3,98.4,97.3
A0A2H4SJ54,True,False,4.25,4.84,4.62,-0.22,3,3,3,3,98.0,96.3
A0A2K1R840,True,False,3.96,4.81,4.6,-0.22,3,3,3,3,98.3,97.4
A0A2N8NQV5,True,False,3.95,5.12,4.89,-0.22,3,3,3,3,98.6,98.8
A0A2N8P306,True,False,4.21,5.43,5.21,-0.22,3,3,3,3,98.7,98.8
A0A2N9GS78,True,False,3.92,4.84,4.62,-0.22,3,3,3,3,98.8,98.3
A0A2P5BPK0,True,False,3.98,5.0,4.78,-0.22,3,3,3,3,98.8,97.7
A0A2P5I525,True,False,4.23,5.09,4.87,-0.22,3,3,3,3,97.5,97.4
A0A2R6W043,True,False,4.1,5.19,4.97,-0.22,3,3,3,3,97.8,98.0
A0A2R6XWE1,True,False,4.27,5.3,5.52,0.22,3,3,3,3,96.1,96.6
A0A2T2N3V9,True,False,4.11,5.24,5.02,-0.22,3,3,3,3,94.5,98.5
A0A2T3A6X1,True,False,3.92,4.81,4.59,-0.22,3,3,3,3,98.8,98.7
A0A2T7A7H9,True,False,3.9,4.91,4.69,-0.22,3,3,3,3,98.8,98.6
A0A2T9Y0C2,True,False,4.16,5.16,4.94,-0.22,3,3,3,3,98.5,96.6
A0A2T9Z971,True,False,4.17,5.13,4.91,-0.22,3,3,3,3,97.0,98.3
A0A2U1JE60,True,False,3.83,5.0,4.78,-0.22,3,3,3,3,96.0,97.5
A0A319D0U5,True,False,3.95,4.97,4.75,-0.22,3,3,3,3,98.8,98.8
A0A2W1DIA7,True,False,4.55,4.92,4.7,-0.22,3,3,3,3,98.7,96.9
A0A2Y9JCF5,True,False,3.67,4.74,4.96,0.22,3,3,3,3,98.0,98.8
A0A2Z5DHA8,True,False,3.91,4.81,4.59,-0.22,3,3,3,3,98.8,97.3
A0A2Z6P106,True,False,4.02,4.77,4.56,-0.22,3,3,3,3,98.7,96.0
A0A2Z7B6W4,True,False,3.85,4.71,4.49,-0.22,3,3,3,3,98.8,97.5
A0A341C9I1,True,False,3.84,4.75,4.96,0.22,3,3,3,3,98.1,98.8
A0A370P950,True,False,3.91,4.96,4.74,-0.22,3,3,3,3,98.8,98.5
A0A3B4AC74,True,False,3.78,4.95,5.17,0.22,3,3,3,3,98.9,98.9
A0A3B4TWE3,True,False,3.79,4.95,5.17,0.22,3,3,3,3,98.8,98.9
A0A3B6R7S3,True,False,4.45,4.79,4.57,-0.22,3,3,3,3,98.0,95.3
A0A3D8T276,True,False,3.87,4.99,4.77,-0.22,3,3,3,3,98.6,98.7
A0A3L6RH28,True,False,3.96,4.92,4.7,-0.22,3,3,3,3,98.0,93.0
A0A3M7EIK6,True,False,3.93,5.01,4.79,-0.22,3,3,3,3,98.8,98.8
A0A3M7EY59,True,False,3.79,4.8,4.58,-0.22,3,3,3,3,98.5,98.8
A0A3M7FE91,True,False,3.97,4.93,4.71,-0.22,3,3,3,3,98.8,98.8
A0A3M7H687,True,False,4.18,4.7,4.47,-0.22,3,3,3,3,98.8,97.1
A0A3N4J8U4,True,False,3.68,4.91,4.69,-0.22,3,3,3,3,98.8,98.1
A0A3N4L5Z3,True,False,4.23,4.85,4.63,-0.22,3,3,3,3,98.6,95.8
A0A3P7FTP6,True,False,4.57,5.46,5.24,-0.22,3,3,3,3,98.3,95.7
A0A3Q7TDD6,True,False,3.79,4.77,4.99,0.22,3,3,3,3,97.9,98.8
A0A420QKK6,True,False,4.12,5.04,4.82,-0.22,3,3,3,3,97.5,98.2
A0A423W393,True,False,3.89,5.02,4.8,-0.22,3,3,3,3,98.3,98.5
A0A428SIW1,True,False,4.25,4.65,4.43,-0.22,3,3,3,3,96.4,91.9
A0A428U2W7,True,False,4.01,5.04,4.82,-0.22,3,3,3,3,98.9,98.8
A0A437ABS8,True,False,4.47,4.86,4.64,-0.22,3,3,3,3,97.6,95.7
A0A438JHW6,True,False,3.8,4.77,4.54,-0.22,3,3,3,3,98.8,98.1
A0A439D887,True,False,4.25,4.93,4.71,-0.22,3,3,3,3,98.3,96.1
A0A444WYG1,True,False,4.03,4.84,4.62,-0.22,3,3,3,3,98.9,97.5
A0A452DWF7,True,False,3.75,4.73,4.95,0.22,3,3,3,3,98.0,98.8
A0A4P7N9G8,True,False,3.83,4.74,4.52,-0.22,3,3,3,3,97.4,98.2
A0A4P8L6C8,True,False,3.91,4.84,4.62,-0.22,3,3,3,3,98.9,98.1
A0A4Q4ME11,True,False,3.89,4.87,4.65,-0.22,3,3,3,3,96.7,93.1
A0A4Q4MYG0,True,False,3.74,4.9,4.67,-0.22,3,3,3,3,98.8,98.8
A0A498S7U2,True,False,4.53,5.55,5.33,-0.22,3,3,3,3,98.1,94.4
A0A4D9EV54,True,False,3.83,4.85,5.07,0.22,3,3,3,3,98.3,98.8
A0A4R7BDA0,True,False,4.02,4.65,4.43,-0.22,3,3,3,3,98.8,98.5
A0A4R8RDW8,True,False,3.94,5.06,4.84,-0.22,3,3,3,3,98.9,98.6
A0A4S8IT13,True,False,3.91,4.77,4.55,-0.22,3,3,3,3,98.8,97.5
A0A4S8JI25,True,False,4.06,4.77,4.55,-0.22,3,3,3,3,98.6,94.0
A0A4S8YNU8,True,False,4.06,4.87,4.65,-0.22,3,3,3,3,98.4,96.6
A0A4S9SK23,True,False,3.92,4.97,4.74,-0.22,3,3,3,3,98.8,98.8
A0A4V1RYU3,True,False,3.93,4.97,4.75,-0.22,3,3,3,3,98.8,98.6
A0A4U6VL40,True,False,3.8,4.69,4.47,-0.22,3,3,3,3,77.7,89.8
A0A4W5Q6S0,True,False,3.71,4.93,5.15,0.22,3,3,3,3,98.9,98.9
A0A4Y7SK59,True,False,4.04,5.21,4.99,-0.22,3,3,3,3,94.0,96.5
A0A4Y8D0A4,True,False,4.34,4.78,4.56,-0.22,3,3,3,3,98.5,97.1
A0A507B0B5,True,False,4.22,4.92,4.7,-0.22,3,3,3,3,97.3,98.7
A0A553HT94,True,False,3.98,5.0,4.78,-0.22,3,3,3,3,97.2,97.9
A0A5J9TUB7,True,False,4.14,4.86,4.65,-0.22,3,3,3,3,98.2,97.3
A0A5N6D8B2,True,False,3.77,4.76,4.54,-0.22,3,3,3,3,98.7,98.6
A0A5N6LXU0,True,False,4.09,4.93,4.7,-0.22,3,3,3,3,98.8,97.3
A0A5Q4BAP6,True,False,4.16,5.11,4.89,-0.22,3,3,3,3,98.7,98.6
A0A652L843,True,False,4.24,5.37,5.16,-0.22,3,3,3,3,98.3,98.1
A0A665XFK3,True,False,3.78,4.95,5.17,0.22,3,3,3,3,98.8,98.9
