accession,nres,ndom,chopping,confidence
A0A9P6CAG6,352,1,34-347,0.717
A0A9P6CCN6,356,1,38-352,0.727
A0A9P6CDR8,249,1,6-230,0.839
A0A9P6CJ62,387,1,103-386,0.912
A0A9P6CQJ4,360,1,41-355,0.720
A0A9P6CTZ2,343,1,39-342,0.666
A0A9P6DDV4,342,1,39-341,0.648
A0A9P6DJR5,366,1,39-202_226-226_234-360,0.654
A0A9P6EAD3,370,2,"39-191,205-369",0.611
A0A9P6EHV7,390,1,34-389,0.674
A0A9P6EI08,75,1,1-74,0.841
A0A9P6ELV7,633,2,"19-359,475-619",0.685
A0A9P6ES30,395,2,"47-76,82-393",0.607
A0A9P6EYF3,516,2,"5-182_286-385,192-285_393-514",0.648
A0A9P6G6A9,581,2,"46-402,412-580",0.627
A0A9P6GD45,628,3,"39-408,409-457,475-618",0.685
A0A9P6GF49,405,2,"42-78_364-404,79-360",0.633
A0A9P6GFA9,347,1,44-333,0.667
A0A9P6GFF6,737,2,"33-348,402-725",0.942
A0A9P6GHV8,410,1,28-185_263-409,0.689
A0A9P6GIB7,606,2,"54-399,403-602",0.670
A0A9P6GJ93,419,2,"32-77_388-418,79-366",0.654
A0A9P6GLH1,352,1,34-350,0.813
A0A9P6GNG8,404,1,51-190_265-403,0.689
A0A9P6GVB7,312,2,"17-250,269-306",0.740
A0A9P6H427,364,2,"30-184,210-363",0.602
A0A9P6H4S6,360,1,33-195_218-359,0.667
A0A9P6H6N4,370,2,"30-187_339-369,192-337",0.606
A0A9P6H6P2,371,2,"30-190_259-370,193-258",0.590
A0A9P6HAV3,370,2,"31-188_338-369,193-336",0.602
A0A9P6HE18,366,2,"28-185_335-365,211-332",0.623
A0A9P6HEG3,365,2,"28-187_241-364,190-240",0.596
A0A9P6HES9,361,2,"28-187_247-360,209-246",0.602
A0A9P6HFP7,368,2,"28-186_277-367,198-256",0.601
A0A9P6HVN3,275,1,1-271,0.767
A0A9P6HW69,346,1,36-342,0.743
A0A9P6HY99,380,1,25-379,0.631
A0A9P6HYB5,366,2,"1-126_255-261_279-365,127-254_262-275",0.556
A0A9P6HYU3,287,1,35-271,0.699
A0A9P6HZS0,341,1,42-340,0.709
A0A9P6I069,401,2,"30-179_252-400,185-241",0.629
A0A9P6I471,337,1,23-336,0.693
A0A9P6I6P0,535,2,"3-205_302-396,206-301_409-519",0.695
A0A9P6I8G8,410,1,41-179_258-409,0.649
A0A9P6I9U5,590,2,"33-211_307-357,212-306_371-586",0.655
A0A9P6ICW4,325,1,32-324,0.699
A0A9P6ID20,331,1,27-330,0.679
A0A9P6IHM1,808,2,"28-362,391-769",0.921
A0A9P6JRS5,350,1,42-160_169-349,0.636
A0A9P6JS43,374,2,"59-229,236-373",0.628
A0A9P6JSV9,348,1,42-347,0.643
A0A9P6KLR9,396,1,32-179_249-395,0.564
A0A9P6KM80,692,2,"71-421,422-639",0.624
A0A9P6KSR1,374,1,28-373,0.648
A0A9P6KVE9,179,1,5-156,0.790
A0A9P6L1G9,367,2,"28-186_251-366,210-250",0.585
A0A9P6LD63,341,1,37-340,0.680
A0A9P6LD84,404,1,28-403,0.670
A0A9P6LF57,386,1,29-385,0.665
A0A9P6LG06,311,2,"6-164,178-298",0.695
A0A9P6LG07,561,2,"46-152,193-558",0.911
A0A9P6LG49,714,2,"152-509,559-709",0.750
A0A9P6LGC9,327,2,"35-268,282-314",0.692
A0A9P6LIP7,338,1,32-335,0.667
A0A9P6LJW0,548,2,"45-396,416-539",0.680
A0A9P6LK99,842,3,"39-360,366-779,780-830",0.869
A0A9P6LLF6,330,1,26-329,0.711
A0A9P6LML4,667,2,"29-410_412-412_414-420,411-411_413-413_421-650",0.594
A0A9P6LNG2,393,1,25-158_250-392,0.599
A0A9P6LNV3,383,1,28-149_242-382,0.625
A0A9P6LRF4,287,3,"15-138,160-192,193-276",0.851
A0A9P6MTT1,503,4,"5-119,120-180,181-377,395-499",0.521
A0A9P6NEH9,358,2,"32-191,195-347_354-357",0.484
A0A9P6NKZ6,321,1,5-307,0.841
A0A9P6NP50,317,1,38-316,0.766
A0A9P6NQ06,432,1,132-431,0.911
A0A9P6NUP1,317,1,39-316,0.775
A0A9P6NVN1,342,2,"31-179,196-341",0.556
A0A9P6QMX7,502,2,"5-191_295-396,203-294_403-492",0.638
A0A9P6R7U9,521,2,"5-193_296-395,195-295_404-517",0.641
A0A9P6TG97,350,1,60-349,0.732
A0A9P6TGI4,477,1,159-458,0.895
A0A9P6VMU7,603,2,"57-434,435-600",0.589
A0A9P6ZPI2,670,2,"6-198,249-669",0.650
A0A9P7A969,670,2,"20-200,251-669",0.666
A0A9P7AQK0,670,2,"6-198,249-669",0.646
A0A9P7AYC7,595,2,"55-394,410-588",0.699
A0A9P7E4R0,641,2,"6-206_355-419,248-354_423-640",0.610
A0A9P7ECI6,630,2,"6-403,419-629",0.567
A0A9P7FBZ7,600,2,"20-193_235-235_307-389,238-306_394-598",0.575
A0A9P7FEP6,668,2,"20-197,247-667",0.674
A0A9P7FS01,201,1,21-197,0.856
A0A9P7G6J2,263,1,18-249,0.866
A0A9P7GL00,476,2,"5-104_302-466,112-167",0.724
A0A9P7GXE9,375,1,37-369,0.767
A0A9P7GY86,528,2,"2-206_304-399,207-303_410-527",0.681
A0A9P7H0N9,925,3,"14-292,420-720,728-922",0.920
A0A9P7H0V2,387,1,27-386,0.624
A0A9P7H2X3,534,2,"5-190_296-395,202-295_412-529",0.660
A0A9P7H4X1,336,1,32-333,0.641
A0A9P7H5X9,785,2,"38-225_453-490,310-452_491-745",0.691
A0A9P7H6V4,403,2,"31-177_255-402,185-254",0.659
A0A9P7H959,250,1,7-237,0.741
A0A9P7HAA6,720,2,"19-197_411-460,270-410_461-692",0.689
A0A9P7HB24,566,2,"45-400,414-553",0.702
A0A9P7HDS4,769,2,"24-224_463-476,310-462_483-742",0.702
A0A9P7HHK8,566,2,"43-398,399-558",0.724
A0A9P7HHT8,868,3,"25-396,406-569,591-861",0.759
A0A9P7HIY1,180,1,8-168,0.849
A0A9P7HJ74,95,1,1-86,0.861
A0A9P7HJR8,278,1,61-269,0.874
A0A9P7HLC1,403,1,31-179_255-402,0.674
A0A9P7HR95,278,1,34-265,0.649
A0A9P7HT14,316,2,"28-217,218-312",0.658
A0A9P7HU99,294,2,"3-155,160-281",0.651
A0A9P7I3C5,382,1,26-381,0.632
A0A9P7I402,581,2,"25-228,249-571",0.685
A0A9P7I6A0,670,3,"3-165_193-482,173-192_489-498,499-669",0.598
A0A9P7I9U8,255,1,1-247,0.900
A0A9P7JPE6,668,2,"6-205_373-421,249-372_424-667",0.623
A0A9P7JWP4,670,2,"6-206_386-390,249-385_391-669",0.630
A0A9P7K585,306,1,21-305,0.731
A0A9P7KAY0,306,2,"10-174,175-304",0.609
A0A9P7KJA4,327,1,32-326,0.679
A0A9P7KK28,729,2,"44-280_437-441,285-436_442-700",0.648
A0A9P7KV03,623,2,"22-422,456-621",0.594
A0A9P7KVD4,332,1,42-145_157-319,0.642
A0A9P7L088,386,1,26-385,0.632
A0A9P7M465,382,1,41-381,0.629
A0A9P7MB55,387,1,23-153_255-386,0.634
A0A9P7MGH4,544,2,"43-393,410-533",0.696
A0A9P7MM30,383,1,42-382,0.626
A0A9P7MNS9,387,1,23-154_160-160_254-386,0.627
A0A9P7MT28,544,2,"43-393,410-533",0.686
A0A9P7N248,393,2,"7-185_245-392,189-240",0.520
A0A9P7NE30,389,1,25-153_257-388,0.630
A0A9P7NHH3,549,2,"43-394,412-535",0.674
A0A9P7PVI4,639,2,"33-408,418-638",0.688
A0A9P7PXS8,544,2,"43-393,410-533",0.687
A0A9P7Q641,387,1,23-154_160-161_254-386,0.613
A0A9P7QED4,544,2,"43-392,396-542",0.680
A0A9P7QIY1,245,2,"30-167,168-244",0.729
A0A9P7QKV2,382,1,53-381,0.631
A0A9P7QM48,639,2,"33-408,418-638",0.670
A0A9P7QPY3,343,1,28-342,0.713
A0A9P7QRK7,404,1,28-403,0.633
A0A9P7QS01,330,1,26-329,0.721
A0A9P7QUR7,767,3,"27-420,421-615,640-725",0.715
A0A9P7QYB3,380,1,25-379,0.616
A0A9P7QZ71,363,1,39-362,0.649
A0A9P7R1E3,367,1,24-363,0.746
A0A9P7R2L5,669,2,"30-266_371-414,267-370_416-648",0.685
A0A9P7R386,339,1,33-336,0.626
A0A9P7R4B6,361,1,37-360,0.658
A0A9P7R6W9,409,2,"32-183_261-408,191-260",0.658
A0A9P7R847,392,1,25-157_249-391,0.597
A0A9P7R8M5,495,4,"5-128,135-186,187-372,392-492",0.500
A0A9P7R9D2,488,1,108-487,0.868
A0A9P7RB79,421,1,27-178_270-420,0.654
A0A9P7RBZ8,353,1,43-349,0.711
A0A9P7RI56,341,1,26-340,0.712
A0A9P7RLL9,540,1,25-372,0.781
A0A9P7RNZ5,691,2,"17-216,266-690",0.731
A0A9P7RPR2,610,2,"1-139,189-606",0.688
A0A9P7S7P4,318,1,11-317,0.678
A0A9P7SEG7,387,1,23-152_255-386,0.647
A0A9P7SG79,639,2,"33-408,418-638",0.679
A0A9P7SNC9,387,1,23-155_159-162_253-386,0.607
A0A9P7SQ62,639,2,"33-408,418-638",0.684
A0A9P7SYC4,84,1,1-64,0.891
A0A9P7TWM6,383,1,37-164_246-382,0.588
A0A9P7TYR1,387,1,23-168_251-386,0.626
A0A9P7TZV7,387,1,23-154_254-386,0.617
A0A9P7U6L4,324,1,31-323,0.709
A0A9P7UB66,529,2,"3-196_301-397,197-300_406-528",0.706
A0A9P7UBT7,548,2,"42-395,416-538",0.687
A0A9P7UD37,905,3,"5-393,410-516,540-901",0.783
A0A9P7UF73,399,1,33-397,0.710
A0A9P7UIY2,403,2,"31-178_255-402,186-254",0.661
A0A9P7UJ56,415,2,"37-188_269-412,195-268",0.707
A0A9P7UK60,700,2,"29-262_367-416,265-366_420-680",0.645
A0A9P7UK77,636,2,"25-388,477-624",0.718
A0A9P7ULN4,383,1,28-168_202-382,0.593
A0A9P7UMI8,419,2,"22-232,250-415",0.871
A0A9P7UN11,624,2,"25-388,465-609",0.700
A0A9P7USK2,337,1,31-333,0.683
A0A9P7VFF7,329,1,46-328,0.722
A0A9P7VJA3,322,1,39-321,0.737
A0A9P7VT99,312,1,41-311,0.694
A0A9P7W2Q5,387,2,"25-126_161-204_251-386,207-248",0.592
A0A9P7Y7Z0,368,1,23-367,0.683
A0A9P7YAX7,562,2,"45-404,411-555",0.742
A0A9P7YCU3,324,1,40-311,0.711
A0A9P7YDW7,391,2,"40-76_347-390,77-346",0.614
A0A9P7YP12,723,4,"24-189_369-400,200-246,254-368_523-710,412-498",0.688
A0A9P7YSQ7,679,2,"29-379,383-414_502-665",0.645
A0A9P7Z3A8,574,2,"42-373,387-563",0.616
A0A9P7ZAT5,657,3,"11-78,119-465,475-656",0.629
A0A9P7ZDG1,319,1,44-307,0.699
A0A9P7ZEN4,406,1,82-405,0.647
A0A9P7ZK00,262,1,18-258,0.725
A0A9P7ZK51,387,1,27-386,0.646
A0A9P7ZR50,379,2,"31-80_246-378,83-245",0.599
A0A9P8AUF0,336,1,36-319,0.768
A0A9P8AV30,332,1,39-331,0.770
A0A9P8AZ72,376,2,"41-198_345-353_365-374,203-344_354-362",0.604
A0A9P8C1U8,307,1,18-293,0.717
A0A9P8C1X5,372,1,25-371,0.611
A0A9P8C2W8,248,1,5-237,0.945
A0A9P8C395,633,2,"33-415,430-629",0.599
A0A9P8C4U3,604,2,"62-416,427-587",0.648
A0A9P8C4W8,394,1,30-155_252-393,0.664
A0A9P8CAX6,362,1,30-360,0.742
A0A9P8CJK2,404,2,"25-168_258-403,185-257",0.680
A0A9P8CKH4,378,1,55-377,0.621
A0A9P8CPW1,342,2,"36-212,218-339",0.561
A0A9P8CSX4,365,1,36-356,0.721
A0A9P8D470,616,3,"4-193,207-511,516-615",0.599
A0A9P8D4Z1,350,1,28-346,0.676
A0A9P8D5I1,338,2,"32-208,214-335",0.546
A0A9P8D8F5,324,1,34-139_145-311,0.645
A0A9P8DCG8,315,1,27-131_139-302,0.662
A0A9P8DCT3,382,1,26-381,0.631
A0A9P8DHJ5,686,2,"19-250,255-675",0.711
A0A9P8DKY9,294,2,"3-155,160-281",0.656
A0A9P8E2K2,392,1,24-391,0.666
A0A9P8E2U0,404,2,"32-176_255-403,184-253",0.642
A0A9P8E4A0,392,1,24-391,0.667
A0A9P8ENH5,802,2,"39-442,530-729",0.732
A0A9P8ESQ1,390,1,25-389,0.676
A0A9P8EVR0,324,1,103-323,0.922
A0A9P8FQJ9,709,2,"65-449,557-703",0.712
A0A9P8FSK7,392,1,24-391,0.668
A0A9P8FVE8,404,2,"32-176_255-403,184-253",0.638
A0A9P8FXF2,698,2,"65-449,547-692",0.686
A0A9P8G211,324,1,103-323,0.835
A0A9P8G4G9,323,1,102-322,0.928
A0A9P8G682,404,2,"32-175_256-403,184-255",0.646
A0A9P8GGV4,392,1,24-391,0.669
A0A9P8GH40,323,1,102-322,0.926
A0A9P8GJ33,390,1,25-389,0.672
A0A9P8HF99,552,2,"43-395,407-538",0.678
A0A9P8HZ59,719,2,"7-255_330-504,256-329_513-701",0.616
A0A9P8HZL9,641,2,"47-208_280-284_332-421,288-331_447-638",0.624
A0A9P8I7W5,622,2,"24-389,435-608",0.637
A0A9P8IDJ8,294,2,"15-196,207-293",0.740
A0A9P8IJZ9,151,1,4-149,0.967
A0A9P8ILD1,403,1,31-177_256-402,0.663
A0A9P8ILQ2,272,1,3-235,0.681
A0A9P8IMB7,589,2,"25-231,252-586",0.674
A0A9P8IQL2,743,3,"32-228_230-230_448-485,241-289,291-447_486-715",0.643
A0A9P8ISE6,145,1,8-142,0.891
A0A9P8ISW1,572,2,"43-396,420-563",0.721
A0A9P8J1T0,404,2,"32-175_255-403,184-253",0.639
A0A9P8JAR0,807,2,"65-430,562-734",0.736
A0A9P8JBW6,322,1,101-321,0.917
A0A9P8JEF0,388,1,24-387,0.682
A0A9P8JUP8,390,1,25-389,0.678
A0A9P8JV18,404,2,"32-159_259-403,160-256",0.641
A0A9P8JVI6,390,1,25-389,0.671
A0A9P8JWQ9,392,1,24-391,0.666
A0A9P8KCL2,803,2,"65-451,529-705",0.739
A0A9P8L2T7,568,3,"12-133,155-185,201-554",0.705
A0A9P8LAU2,964,5,"16-341,352-463,468-788,790-888,905-961",0.862
A0A9P8M2B5,381,2,"2-65,68-380",0.634
A0A9P8M342,331,1,15-330,0.650
A0A9P8M4K5,389,1,28-388,0.682
A0A9P8M534,579,2,"21-237,244-572",0.627
A0A9P8MJP3,537,2,"42-391,406-525",0.703
A0A9P8MK66,231,1,1-226,0.754
A0A9P8MNI4,542,2,"45-398,405-538",0.669
A0A9P8MT67,757,2,"42-402,565-707",0.800
A0A9P8MUU1,338,1,113-332,0.887
A0A9P8N0Q3,533,2,"38-364,408-531",0.754
A0A9P8N2E9,635,2,"32-407,417-634",0.653
A0A9P8N5G2,545,2,"47-396,413-539",0.702
A0A9P8N751,526,2,"44-339,361-524",0.646
A0A9P8N9L3,105,1,13-79,0.744
A0A9P8QKR7,628,2,"29-400,419-624",0.622
A0A9P8RGZ2,204,1,1-189,0.776
A0A9P8RKW4,193,1,5-192,0.856
A0A9P8RLJ8,78,1,9-75,0.931
A0A9P8RLL1,134,1,2-133,0.964
A0A9P8RMY0,515,1,31-70_232-513,0.800
A0A9P8RPF4,394,2,"22-171_247-392,180-246",0.640
A0A9P8RQT6,336,2,"1-170,173-309",0.728
A0A9P8RRY3,429,3,"26-163_331-413,184-229,230-330_417-427",0.552
A0A9P8S379,791,3,"12-179,201-599,608-789",0.701
A0A9P8S5Z4,866,2,"57-327,396-864",0.868
A0A9P8S6I3,245,1,23-243,0.744
A0A9P8SF21,582,2,"44-379,380-521",0.718
A0A9P8SG32,388,1,33-185_192-194_200-387,0.638
A0A9P8SK06,566,2,"38-367,420-549",0.727
A0A9P8SPR5,151,1,2-137,0.956
A0A9P8STX6,151,1,9-137,0.916
A0A9P8SUG2,630,2,"22-189_351-422,245-350_425-625",0.655
A0A9P8TUI9,548,2,"43-395,407-538",0.664
A0A9P8UDW5,338,1,32-213_216-335,0.619
A0A9P8UEG2,372,1,33-291_320-371,0.692
A0A9P8UEQ7,405,1,82-404,0.793
A0A9P8UG69,376,1,58-372,0.676
A0A9P8UIC0,352,1,35-350,0.772
A0A9P8UJ52,384,1,28-383,0.623
A0A9P8UJA7,354,1,32-353,0.693
A0A9P8UJU9,366,1,35-364,0.760
A0A9P8UK37,105,1,1-90,0.976
A0A9P8UK50,400,1,123-398,0.779
A0A9P8UKP1,368,1,25-367,0.638
A0A9P8ULC3,539,2,"3-205_304-405,206-303_419-538",0.678
A0A9P8ULL1,406,1,26-395,0.591
A0A9P8URL5,287,1,12-286,0.837
A0A9P8US84,373,1,30-371,0.719
A0A9P8UTA9,240,1,24-230,0.811
A0A9P8UU77,386,1,29-385,0.656
A0A9P8UUF6,281,1,5-280,0.797
A0A9P8UW26,337,1,38-334,0.703
A0A9P8UWG6,377,1,102-365,0.908
A0A9P8UWM5,394,1,24-393,0.650
A0A9P8V2M6,405,1,29-195_197-404,0.689
A0A9P8V2S0,334,1,30-333,0.722
A0A9P8V2W5,342,1,34-338,0.682
A0A9P8V5S4,314,1,30-313,0.740
A0A9P8V626,408,2,"26-180_260-407,188-258",0.690
A0A9P8V6P5,562,2,"2-212_314-410,213-313_419-561",0.683
A0A9P8V875,363,1,21-348,0.696
A0A9P8VB48,360,1,26-332,0.704
A0A9P8VCH3,397,1,34-396,0.653
A0A9P8VDX7,703,3,"19-430,433-487,488-661",0.705
A0A9P8VN70,739,2,"37-285_425-479,289-424_480-733",0.643
A0A9P8VP55,541,2,"41-391,394-531",0.659
A0A9P8VVJ8,363,1,31-362,0.658
A0A9P8VZ16,325,1,31-324,0.704
A0A9P8VZR4,714,2,"30-237,263-690",0.655
A0A9P8W8E4,608,2,"43-190,234-607",0.710
A0A9P8WFI0,358,1,31-356,0.680
A0A9P8WHC9,601,2,"42-397,400-540",0.731
A0A9P8XSB3,331,2,"34-192_230-319,194-229",0.606
A0A9P8XUJ5,366,1,44-365,0.676
A0A9P8XUN0,346,1,1-345,0.645
A0A9P8XUP2,556,2,"3-190_291-394,201-290_417-539",0.628
A0A9P8XWL6,282,1,7-278,0.816
A0A9P8XXT9,393,1,39-42_104-389,0.767
A0A9P8XXZ3,378,1,74-375,0.817
A0A9P8Y1H1,404,2,"41-108,125-402",0.764
A0A9P8YAM6,342,1,32-337,0.625
A0A9P8YAV5,323,1,3-319,0.836
A0A9P8YAV9,641,2,"32-408,417-637",0.587
A0A9P8YD13,486,1,206-483,0.847
A0A9P8YGS0,361,1,35-360,0.711
A0A9P8YJY5,384,1,60-383,0.675
A0A9P8YM28,342,1,33-337,0.630
A0A9P8ZS39,483,2,"6-304_310-315,306-309_316-443",0.647
A0A9P8ZWJ6,375,1,27-374,0.701
A0A9P8ZWM7,414,1,82-413,0.671
A0A9P8ZXT3,396,1,85-391,0.807
A0A9P8ZYD0,891,4,"51-239,303-383,410-724,770-888",0.905
A0A9P9A0J5,394,1,24-393,0.691
A0A9P9A2F4,388,1,27-387,0.640
A0A9P9A454,620,2,"50-413,421-618",0.636
A0A9P9A6B1,355,1,35-351,0.695
A0A9P9A6U7,287,1,4-275,0.717
A0A9P9AAI5,561,3,"48-372,382-411,421-549",0.677
A0A9P9AC83,545,2,"43-392,407-529",0.680
A0A9P9AFP1,297,1,30-284,0.733
A0A9P9AG59,281,1,4-279,0.782
A0A9P9AGJ3,341,1,32-338,0.621
A0A9P9APM6,604,2,"3-208_212-214,210-211_216-603",0.691
A0A9P9AQ01,395,1,18-394,0.666
A0A9P9ASR6,403,1,30-177_257-402,0.675
A0A9P9BHZ3,501,3,"5-158,171-353,369-491",0.609
A0A9P9BJD1,395,1,29-188_198-394,0.646
A0A9P9BK36,361,1,40-360,0.697
A0A9P9BLV7,434,1,31-179_271-433,0.656
A0A9P9BLZ6,366,1,26-364,0.718
A0A9P9BMM6,348,1,25-344,0.824
A0A9P9BPW2,355,1,83-352,0.899
A0A9P9BQX9,367,1,41-366,0.649
A0A9P9BTY8,308,2,"18-167,168-294",0.617
A0A9P9BVC7,368,1,42-367,0.678
A0A9P9CYR3,577,2,"28-407,415-571",0.713
A0A9P9D313,301,1,29-299,0.772
A0A9P9D3U5,323,1,25-320,0.720
A0A9P9D493,606,2,"51-213_373-417,236-372_419-604",0.635
A0A9P9DE48,410,1,40-185_260-409,0.648
A0A9P9DH90,562,2,"5-347,377-555",0.641
A0A9P9DL74,376,1,32-370,0.748
A0A9P9DLS6,391,1,28-390,0.652
A0A9P9DMQ1,326,1,31-325,0.706
A0A9P9DR32,420,1,32-419,0.663
A0A9P9DRT6,546,2,"42-394,399-539",0.661
A0A9P9DTI8,376,1,33-370,0.787
A0A9P9DXH0,422,2,"47-197_272-421,204-271",0.638
A0A9P9DY84,301,1,29-299,0.770
A0A9P9E097,715,2,"27-404,408-417_532-701",0.659
A0A9P9E4D0,321,1,32-308,0.643
A0A9P9E535,583,2,"43-403,447-580",0.628
A0A9P9E827,300,1,15-287,0.683
A0A9P9ECR6,313,1,3-309,0.825
A0A9P9ECU4,353,1,31-352,0.648
A0A9P9EE65,392,2,"41-78_348-391,79-347",0.622
A0A9P9EFC0,546,2,"44-395,412-535",0.652
A0A9P9EIM9,737,2,"10-267,272-670",0.725
A0A9P9EP06,549,2,"42-395,404-542",0.651
A0A9P9ER97,397,1,30-396,0.728
A0A9P9EVV4,301,1,29-299,0.759
A0A9P9EX00,220,1,28-218,0.850
A0A9P9F0N9,372,1,32-370,0.677
A0A9P9F0P3,358,1,32-356,0.684
A0A9P9F610,404,2,"32-178_257-403,186-255",0.701
A0A9P9FH49,579,2,"43-392,393-535",0.684
A0A9P9G0H2,307,1,30-269,0.674
A0A9P9G1D6,628,2,"40-169,245-616",0.825
A0A9P9GGD9,745,3,"36-219_420-458,290-419_459-671,672-732",0.653
A0A9P9GQV0,586,2,"25-396,410-583",0.570
A0A9P9H480,562,2,"22-407,457-558",0.543
A0A9P9HA99,409,2,"45-176_261-408,189-259",0.663
A0A9P9HAD7,728,2,"29-250_378-430,265-377_432-725",0.660
A0A9P9HJ81,618,3,"34-114,141-455,499-617",0.864
A0A9P9HQ61,572,2,"43-396,420-559",0.725
A0A9P9IDE3,301,1,29-299,0.770
A0A9P9IFD1,366,1,40-365,0.665
A0A9P9IL65,211,1,36-203,0.713
A0A9P9IM25,581,2,"57-231_325-365,234-324_371-580",0.657
A0A9P9IM70,372,1,28-371,0.640
A0A9P9IMH5,683,2,"26-235_373-407,239-372_409-671",0.638
A0A9P9IMQ8,546,2,"44-395,410-535",0.659
A0A9P9IQ08,370,1,52-368,0.792
A0A9P9ITJ2,606,2,"52-424,430-602",0.720
A0A9P9IXR3,615,3,"21-102,130-432,461-614",0.915
A0A9P9IXR4,366,1,40-365,0.670
A0A9P9IYK1,398,1,33-156_252-397,0.636
A0A9P9IZ74,638,2,"50-393,403-582",0.711
A0A9P9J0Z6,404,2,"31-178_257-403,186-255",0.693
A0A9P9J2H8,631,2,"28-251_359-399,252-358_402-630",0.690
A0A9P9J3N0,352,1,31-351,0.689
A0A9P9J4T8,338,1,32-335,0.630
A0A9P9J5H6,578,2,"43-364,379-535",0.694
A0A9P9J6B9,546,2,"42-395,413-539",0.672
A0A9P9J7R2,327,1,21-324,0.622
A0A9P9J9F7,720,2,"32-242,268-714",0.650
A0A9P9JAD3,229,1,3-219,0.889
A0A9P9JAU8,632,2,"29-252_360-400,253-359_402-631",0.691
A0A9P9JKG7,317,1,18-303,0.707
A0A9P9JQC5,742,2,"14-292,420-738",0.935
A0A9P9JVC3,596,3,"12-92,121-419,476-594",0.888
A0A9P9K123,338,1,32-335,0.649
A0A9P9KBB3,403,1,31-179_256-402,0.691
A0A9P9KEG5,324,1,22-311,0.667
A0A9P9KEH1,346,1,31-344,0.663
A0A9P9KIR2,403,1,29-181_255-402,0.690
A0A9P9KM55,633,2,"26-420,421-632",0.716
A0A9P9KNI3,294,2,"3-155,160-281",0.642
A0A9P9KPV1,382,1,26-381,0.629
A0A9P9KYY7,750,2,"35-219_423-491,286-422_493-741",0.684
A0A9P9L6M7,566,2,"46-397,414-553",0.707
A0A9P9WAG3,327,1,23-326,0.675
A0A9P9WAG9,384,1,28-383,0.623
A0A9P9WAQ4,329,1,32-328,0.725
A0A9P9WAZ0,374,1,23-372,0.733
A0A9P9WBG0,900,3,"27-440,541-698,738-898",0.721
A0A9P9WBT7,393,1,35-275_354-390,0.770
A0A9P9WE24,394,2,"23-158_249-392,180-248",0.627
A0A9P9WGF9,343,1,40-340,0.734
A0A9P9WH67,358,1,39-354,0.682
A0A9P9WJE3,314,1,1-300,0.681
A0A9P9WK24,617,2,"16-211,216-602",0.665
A0A9P9WLA8,365,1,29-364,0.689
A0A9P9WLG7,321,1,26-320,0.710
A0A9P9WMZ2,558,2,"13-115,281-556",0.877
A0A9P9WPJ5,349,1,30-346,0.778
A0A9P9WS14,368,1,31-367,0.633
A0A9P9WUX0,387,1,25-386,0.661
A0A9P9WV32,496,2,"9-154,164-494",0.933
A0A9P9WW04,393,2,"27-168_244-391,177-238",0.628
A0A9P9WW19,347,1,37-346,0.722
A0A9P9WWM5,384,2,"1-22_322-378,27-308",0.762
A0A9P9WXB5,680,2,"28-237_307-307_309-391,245-306_308-308_402-657",0.631
A0A9P9WY50,394,1,24-393,0.636
A0A9P9WYE5,379,1,30-377,0.717
A0A9P9X028,353,1,43-349,0.721
A0A9P9X1G2,694,2,"29-249_353-410,261-352_414-674",0.657
A0A9P9X1N4,415,2,"37-186_268-412,195-267",0.667
A0A9P9X5E8,344,1,45-343,0.715
A0A9P9X855,437,3,"3-92,120-315,328-436",0.715
A0A9P9XA42,399,1,33-397,0.707
A0A9P9XBE7,410,1,27-183_259-409,0.664
A0A9P9XCC3,516,2,"5-189_292-392,197-291_400-512",0.639
A0A9P9XGQ0,550,2,"42-398,418-545",0.688
A0A9P9XJ46,264,1,6-245,0.807
A0A9P9XJK6,423,1,28-198_278-422,0.680
A0A9P9XLE1,392,1,25-158_249-391,0.590
A0A9P9XMI0,396,2,"28-180_245-395,187-223",0.644
A0A9P9XMR3,412,2,"32-183_262-411,191-260",0.656
A0A9P9XNZ2,344,1,26-343,0.742
A0A9P9XQR7,721,4,"21-26_329-514,31-324,526-654,660-715",0.861
A0A9P9XQU4,348,1,30-345,0.738
A0A9P9XU20,143,1,21-135,0.813
A0A9P9XU62,342,1,37-339,0.648
A0A9P9Y0B8,478,1,163-477,0.925
A0A9P9Y2C9,408,2,"27-182_259-407,189-258",0.698
A0A9P9Y2X6,390,2,"25-308,314-350",0.780
A0A9P9Y5F5,392,2,"31-82_260-391,83-259",0.576
A0A9Q0AIK5,614,2,"64-253_356-402,255-355_406-612",0.686
A0A9Q0AIL3,335,1,34-331,0.709
A0A9Q0AJ77,353,1,25-352,0.680
A0A9Q0AJM4,396,1,38-395,0.625
A0A9Q0ANI9,342,1,32-335,0.633
A0A9Q0APT0,369,1,28-368,0.629
A0A9Q0ARC3,357,1,33-332,0.770
A0A9Q0AU16,380,1,28-379,0.681
A0A9Q0AYM7,776,3,"28-390,405-615,648-736",0.708
A0A9Q0B0H4,341,1,26-340,0.721
A0A9Q0B0U4,675,2,"23-256_367-447,258-366_448-674",0.711
A0A9Q0B1W0,407,2,"31-178_256-406,186-254",0.658
A0A9Q0B2X4,495,3,"5-128,185-372,392-492",0.514
A0A9Q0B372,391,1,25-146_250-390,0.676
A0A9Q0B5F6,617,2,"30-214_319-362,224-318_364-600",0.689
A0A9Q0B615,324,1,31-323,0.711
A0A9Q0B6Y1,488,1,108-487,0.848
