accession	status	n_sites	n_cu	n_other_metal	metals	cu_prob_max	all_probs	ligands	tier	n_his
A0A654M5U9	ok	1	0	1	FECONI		FECONI:0.97	207,A,HIS;211,A,HIS;234,A,HIS	binuclear	5
A0A665TYY4	ok	1	1	0	Copper	0.99	Copper:0.99	179,A,HIS;202,A,HIS;211,A,HIS	mononuclear	5
A0A665U0T6	ok	1	0	1	FECONI		FECONI:1.00	180,A,HIS;203,A,HIS;212,A,HIS	mononuclear	4
A0A669D1M6	ok	1	0	1	FECONI		FECONI:1.00	177,A,HIS;200,A,HIS;209,A,HIS	mononuclear	5
A0A672MGC5	ok	3	2	1	Copper;Zinc	0.97	Zinc:0.77;Copper:0.97;Copper:0.87	106,A,GLU;153,A,GLU | 187,A,HIS;193,A,ASP;198,A,GLU;201,A,HIS | 347,A,HIS;351,A,HIS;374,A,HIS	mononuclear	4
A0A672ML46	ok	2	1	1	Copper;Manganese	0.91	Manganese:0.96;Copper:0.91	187,A,HIS;193,A,ASP;198,A,GLU;201,A,HIS | 347,A,HIS;351,A,HIS;374,A,HIS	mononuclear	4
A0A673AVA6	ok	1	1	0	Copper	0.99	Copper:0.99	199,A,HIS;222,A,HIS;231,A,HIS	mononuclear	4
A0A673AW28	ok	1	0	1	FECONI		FECONI:0.99	178,A,HIS;201,A,HIS;210,A,HIS	mononuclear	4
A0A6A3EYQ9	ok	1	0	1	FECONI		FECONI:0.98	192,A,HIS;196,A,HIS;218,A,HIS	mononuclear	4
A0A6A3FBU7	ok	0	0	0					no_cu	0
A0A6A3HLB0	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.99;Copper:0.93	29,A,HIS;39,A,HIS;48,A,HIS | 184,A,GLU;188,A,HIS;209,A,HIS;210,A,HIS	binuclear	5
A0A6A3L3S8	ok	1	0	1	FECONI		FECONI:0.97	231,A,HIS;235,A,HIS;257,A,HIS	mononuclear	4
A0A6A3MUA3	ok	1	0	1	FECONI		FECONI:0.98	192,A,HIS;196,A,HIS;218,A,HIS	mononuclear	4
A0A6A3NDJ9	ok	1	0	1	FECONI		FECONI:0.98	231,A,HIS;235,A,HIS;257,A,HIS	mononuclear	4
A0A6A3Q4B5	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.99;Copper:0.93	29,A,HIS;39,A,HIS;48,A,HIS | 184,A,GLU;188,A,HIS;209,A,HIS;210,A,HIS	binuclear	5
A0A6A4E140	ok	1	0	1	FECONI		FECONI:0.98	231,A,HIS;235,A,HIS;257,A,HIS	mononuclear	4
A0A6A4G489	ok	0	0	0					no_cu	0
A0A6A4ZE36	ok	2	0	2	FECONI		FECONI:0.84;FECONI:0.96	65,A,HIS;75,A,HIS;83,A,HIS | 239,A,HIS;243,A,HIS;264,A,HIS;265,A,HIS	binuclear	5
A0A6A5RAM1	ok	1	1	0	Copper	0.99	Copper:0.99	94,A,HIS;119,A,HIS;128,A,HIS	mononuclear	4
A0A6A5TLY8	ok	1	0	1	FECONI		FECONI:0.99	110,A,HIS;118,A,HIS;127,A,HIS	mononuclear	5
A0A6A5XM88	ok	1	1	0	Copper	0.91	Copper:0.91	71,A,HIS;88,A,HIS	no_cu	2
A0A6A5YJL3	ok	1	0	1	FECONI		FECONI:1.00	106,A,HIS;114,A,HIS;123,A,HIS	mononuclear	3
A0A6A5ZPV6	ok	1	0	1	FECONI		FECONI:0.99	112,A,HIS;121,A,HIS;130,A,HIS	mononuclear	5
A0A6A6BKX9	ok	1	1	0	Copper	0.91	Copper:0.91	74,A,HIS;91,A,HIS	no_cu	4
A0A6A6C2M9	ok	1	0	1	FECONI		FECONI:0.97	69,A,HIS;77,A,HIS;86,A,HIS	mononuclear	5
A0A6A6CAJ8	ok	1	0	1	FECONI		FECONI:0.92	107,A,HIS;115,A,HIS;124,A,HIS	mononuclear	5
A0A6A6CBF1	ok	1	0	1	FECONI		FECONI:0.98	77,A,HIS;85,A,HIS;94,A,HIS	mononuclear	5
A0A6A6D3V8	ok	1	0	1	FECONI		FECONI:0.96	308,A,HIS;312,A,HIS;337,A,HIS	mononuclear	5
A0A6A6H4U9	ok	1	0	1	FECONI		FECONI:0.93	79,A,HIS;87,A,HIS;96,A,HIS	mononuclear	4
A0A6A6HHK4	ok	1	0	1	FECONI		FECONI:0.96	121,A,HIS;129,A,HIS;138,A,HIS	mononuclear	5
A0A6A6JAY1	ok	2	2	0	Copper	1.00	Copper:1.00;Copper:0.83	50,A,HIS;58,A,HIS;67,A,HIS | 196,A,HIS;222,A,HIS	mononuclear	5
A0A6A6TSU5	ok	0	0	0					no_cu	2
A0A6A6V9C0	ok	3	0	3	FECONI;Zinc		FECONI:0.95;Zinc:0.95;FECONI:0.87	106,A,HIS;128,A,CYS;139,A,HIS | 303,A,HIS;307,A,HIS;331,A,HIS;332,A,HIS | 246,A,ASP;574,A,HIS	binuclear	5
A0A6A6VF46	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.76	82,A,HIS;90,A,HIS;99,A,HIS | 228,A,HIS;254,A,HIS	mononuclear	5
A0A6A6VMY9	ok	1	0	1	FECONI		FECONI:0.95	321,A,HIS;325,A,HIS;348,A,HIS;349,A,HIS	mononuclear	5
A0A6A6VU64	ok	2	1	1	Copper;FECONI	0.92	FECONI:0.99;Copper:0.92	118,A,HIS;126,A,HIS;135,A,HIS | 261,A,HIS;286,A,HIS;287,A,HIS	mononuclear	5
A0A6A6XLR7	ok	1	1	0	Copper	0.97	Copper:0.97	238,A,HIS;242,A,HIS;279,A,HIS;280,A,HIS	mononuclear	4
A0A6A7BLX6	ok	2	2	0	Copper	0.99	Copper:0.99;Copper:0.82	112,A,HIS;121,A,HIS;130,A,HIS | 261,A,HIS;287,A,HIS	mononuclear	5
A0A6G0JRR3	ok	2	0	2	FECONI		FECONI:0.89;FECONI:0.98	197,A,HIS;201,A,HIS;222,A,HIS | 197,A,HIS;201,A,HIS;223,A,HIS	mononuclear	5
A0A6G0LHA8	ok	1	0	1	FECONI		FECONI:0.98	192,A,HIS;196,A,HIS;218,A,HIS	mononuclear	4
A0A6G0QFF2	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.99;Copper:0.93	29,A,HIS;39,A,HIS;48,A,HIS | 184,A,GLU;188,A,HIS;209,A,HIS;210,A,HIS	binuclear	5
A0A6G0S364	ok	1	0	1	FECONI		FECONI:0.99	192,A,HIS;196,A,HIS;218,A,HIS	mononuclear	4
A0A6G0WB52	ok	1	0	1	FECONI		FECONI:0.97	242,A,HIS;246,A,HIS;268,A,HIS	mononuclear	4
A0A6G0XI62	ok	3	1	2	Copper;FECONI	0.75	FECONI:0.80;FECONI:0.98;Copper:0.75	288,A,GLU;397,A,HIS | 313,A,HIS;322,A,HIS | 647,A,HIS;666,A,HIS	mononuclear	2
A0A6G1IEP5	ok	1	1	0	Copper	1.00	Copper:1.00	18,A,HIS;26,A,HIS;35,A,HIS	mononuclear	5
A0A6G1KGG9	ok	0	0	0					no_cu	3
A0A6H0Y3Z6	ok	4	1	3	Copper;FECONI;Zinc	0.91	Zinc:0.78;Zinc:0.96;FECONI:0.89;Copper:0.91	216,A,CYS;219,A,CYS;232,A,HIS;238,A,HIS | 370,A,CYS;373,A,CYS;387,A,HIS;393,A,HIS | 607,A,HIS;615,A,HIS;624,A,HIS | 755,A,HIS;780,A,HIS;781,A,HIS	mononuclear	5
A0A6I3X362	ok	2	1	1	Copper;FECONI	0.93	Copper:0.93;FECONI:0.96	116,A,HIS;149,A,CYS;164,A,HIS | 266,A,HIS;270,A,HIS;294,A,HIS;295,A,HIS	mononuclear	5
A0A6J1BLU4	ok	1	0	1	FECONI		FECONI:0.97	264,A,HIS;268,A,HIS;297,A,HIS;298,A,HIS	mononuclear	4
A0A6J8AZI7	ok	1	0	1	FECONI		FECONI:0.77	443,A,HIS;466,A,HIS	no_cu	3
A0A6J8CJF7	ok	0	0	0					no_cu	2
A0A6J8CNM0	ok	2	2	0	Copper	1.00	Copper:1.00;Copper:0.81	55,A,HIS;64,A,HIS;73,A,HIS | 183,A,HIS;187,A,HIS	mononuclear	5
A0A6J8CZL5	ok	1	1	0	Copper	0.98	Copper:0.98	63,A,HIS;851,A,HIS	no_cu	3
A0A6J8EAN0	ok	1	1	0	Copper	0.99	Copper:0.99	323,A,HIS;327,A,HIS;350,A,HIS	mononuclear	4
A0A6P4ZCR3	ok	1	0	1	FECONI		FECONI:0.80	361,A,HIS;386,A,HIS	no_cu	3
A0A6P8I208	ok	1	0	1	FECONI		FECONI:0.96	336,A,HIS;345,A,HIS;464,A,HIS	mononuclear	4
A0A6V7V3D6	ok	1	0	1	FECONI		FECONI:1.00	129,A,HIS;139,A,HIS;148,A,HIS	mononuclear	4
A0A6V7WY80	ok	2	1	1	Copper;FECONI	0.85	Copper:0.85;FECONI:0.93	167,A,HIS;186,A,HIS | 309,A,HIS;313,A,HIS;335,A,HIS	no_cu	5
A0A7C8I7T2	ok	1	0	1	FECONI		FECONI:1.00	74,A,HIS;82,A,HIS;91,A,HIS	mononuclear	5
A0A7C8IE08	ok	2	1	1	Copper;FECONI	0.97	FECONI:0.96;Copper:0.97	99,A,HIS;121,A,CYS;132,A,HIS | 299,A,HIS;303,A,HIS;337,A,HIS;338,A,HIS	binuclear	5
A0A7C8MC86	ok	1	0	1	Zinc		Zinc:0.89	129,A,HIS;137,A,HIS;146,A,HIS	mononuclear	5
A0A7C8UE72	ok	1	1	0	Copper	0.97	Copper:0.97	356,A,HIS;360,A,HIS;384,A,HIS;385,A,HIS	no_cu	3
A0A7C9LY48	ok	2	1	1	Copper;FECONI	0.92	Copper:0.92;FECONI:0.97	100,A,HIS;134,A,CYS;149,A,HIS | 255,A,HIS;259,A,HIS;283,A,HIS;284,A,HIS	mononuclear	5
A0A7C9M494	ok	2	0	2	FECONI		FECONI:0.93;FECONI:0.95	83,A,HIS;117,A,CYS;120,A,HIS;132,A,HIS | 238,A,HIS;242,A,HIS;266,A,HIS;267,A,HIS	mononuclear	5
A0A7D5Z0B1	ok	3	1	2	Copper;FECONI;Manganese	0.99	Copper:0.99;Manganese:0.76;FECONI:0.90	64,A,HIS;72,A,HIS;81,A,HIS | 86,A,HIS;89,A,GLU | 216,A,HIS;241,A,HIS;242,A,HIS	mononuclear	5
A0A7E6EGY5	ok	1	1	0	Copper	0.85	Copper:0.85	41,A,HIS;61,A,HIS	no_cu	3
A0A7H8RBQ9	ok	1	1	0	Copper	0.92	Copper:0.92	263,A,HIS;278,A,HIS;279,A,HIS	no_cu	4
A0A7J6IXY4	ok	2	0	2	FECONI;Zinc		FECONI:1.00;Zinc:0.94	138,A,HIS;146,A,HIS;155,A,HIS | 292,A,HIS;317,A,HIS;318,A,HIS	mononuclear	5
A0A7J6J5I0	ok	2	0	2	FECONI		FECONI:0.95;FECONI:0.99	234,A,HIS;238,A,HIS;261,A,HIS | 49,A,HIS;57,A,HIS;66,A,HIS	mononuclear	5
A0A7J6UTM6	ok	1	0	1	FECONI		FECONI:0.99	175,A,HIS;196,A,HIS;205,A,HIS	binuclear	5
A0A7J7J2C8	ok	1	0	1	Manganese		Manganese:0.98	574,A,HIS;615,A,ASP	mononuclear	3
A0A7K7RZM1	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.87	191,A,HIS;213,A,HIS;222,A,HIS | 371,A,HIS;398,A,HIS	mononuclear	5
A0A7M5V4K9	ok	0	0	0					no_cu	3
A0A7M5WXX0	ok	0	0	0					no_cu	2
A0A7M5XIS8	ok	0	0	0					no_cu	3
A0A7M6DQE2	ok	0	0	0					no_cu	1
A0A7N6AMA0	ok	1	1	0	Copper	1.00	Copper:1.00	180,A,HIS;203,A,HIS;212,A,HIS	mononuclear	5
A0A7R8ARR0	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.96	110,A,HIS;118,A,HIS;127,A,HIS | 260,A,HIS;285,A,HIS;286,A,HIS	mononuclear	5
A0A7R9UNI4	ok	1	0	1	Zinc		Zinc:0.92	82,A,CYS;463,A,HIS;469,A,CYS;472,A,CYS	no_cu	1
A0A7S0FYS9	ok	1	0	1	FECONI		FECONI:0.97	397,A,HIS;401,A,HIS;424,A,HIS;425,A,GLU	mononuclear	3
A0A7S1T762	ok	2	1	1	Copper;FECONI	0.88	FECONI:0.99;Copper:0.88	117,A,HIS;125,A,HIS;134,A,HIS | 241,A,HIS;245,A,HIS;279,A,HIS	mononuclear	5
A0A7S1T768	ok	2	1	1	Copper;Zinc	1.00	Copper:1.00;Zinc:0.87	101,A,HIS;109,A,HIS;118,A,HIS | 225,A,HIS;229,A,HIS;263,A,HIS	mononuclear	5
A0A7S2D0S4	ok	0	0	0					no_cu	2
A0A7S2EUW0	ok	4	0	4	FECONI;Manganese;Zinc		Zinc:0.82;Zinc:0.95;FECONI:1.00;Manganese:0.80	309,A,ASP;315,A,ASP | 427,A,HIS;431,A,HIS;453,A,HIS;454,A,HIS | 932,A,HIS;936,A,HIS | 647,A,ASP;703,A,ASP	mononuclear	5
A0A7S2JHL4	ok	1	0	1	Zinc		Zinc:0.89	684,A,CYS;686,A,CYS;688,A,HIS	no_cu	2
A0A7S2JHQ4	ok	1	0	1	Zinc		Zinc:0.77	707,A,CYS;709,A,CYS;711,A,HIS	no_cu	1
A0A7S3EYR7	ok	5	1	4	Copper;FECONI;Manganese;Zinc	0.96	FECONI:0.91;FECONI:0.90;Copper:0.96;Manganese:0.79;Zinc:1.00	245,A,HIS;268,A,HIS;440,A,HIS | 414,A,HIS;418,A,HIS;439,A,HIS | 414,A,HIS;418,A,HIS;440,A,HIS | 454,A,GLU;762,A,ASP | 864,A,HIS;868,A,HIS;874,A,HIS	binuclear	3
A0A7S4QPD7	ok	3	1	2	Copper;FECONI;Manganese	0.93	Copper:0.93;Manganese:0.77;FECONI:0.95	195,A,HIS;278,A,CYS;289,A,HIS | 346,A,HIS;349,A,ASP;363,A,HIS | 458,A,HIS;462,A,HIS;486,A,HIS;487,A,HIS	mononuclear	5
A0A7S4QRZ1	ok	2	1	1	Copper;FECONI	0.91	Copper:0.91;FECONI:0.96	195,A,HIS;278,A,CYS;289,A,HIS | 458,A,HIS;462,A,HIS;486,A,HIS;487,A,HIS	binuclear	5
A0A7W5H8K5	ok	2	1	1	Copper;FECONI	0.94	Copper:0.94;FECONI:0.96	80,A,HIS;111,A,CYS;126,A,HIS | 228,A,HIS;232,A,HIS;256,A,HIS;257,A,HIS	mononuclear	5
A0A7W8KIV5	ok	2	1	1	Copper;FECONI	0.91	Copper:0.91;FECONI:0.95	49,A,HIS;60,A,HIS;69,A,HIS | 172,A,HIS;176,A,HIS;199,A,HIS	binuclear	5
A0A7X5ASN3	ok	2	1	1	Copper;Zinc	0.93	Copper:0.93;Zinc:0.96	62,A,HIS;69,A,CYS;80,A,HIS | 207,A,HIS;211,A,HIS;244,A,HIS;245,A,HIS	mononuclear	5
A0A7Y7WSX0	ok	2	1	1	Copper;FECONI	0.90	Copper:0.90;FECONI:0.98	79,A,HIS;128,A,HIS | 231,A,HIS;235,A,HIS;259,A,HIS;260,A,HIS	mononuclear	5
A0A7Y7X987	ok	2	1	1	Copper;FECONI	0.77	Copper:0.77;FECONI:0.97	79,A,HIS;128,A,HIS | 231,A,HIS;235,A,HIS;259,A,HIS;260,A,HIS	mononuclear	5
A0A7Y8BLA6	ok	2	0	2	FECONI		FECONI:0.95;FECONI:0.97	79,A,HIS;113,A,CYS;130,A,HIS | 236,A,HIS;240,A,HIS;264,A,HIS;265,A,HIS	mononuclear	5
A0A812BCK9	ok	0	0	0					no_cu	1
A0A812PC05	ok	1	0	1	FECONI		FECONI:0.95	155,A,HIS;165,A,HIS	no_cu	4
A0A812V664	ok	0	0	0					no_cu	4
A0A812XIJ6	ok	0	0	0					no_cu	4
A0A833WLV2	ok	0	0	0					no_cu	0
A0A858R6E5	ok	3	3	0	Copper	0.98	Copper:0.94;Copper:0.87;Copper:0.98	57,A,HIS;94,A,CYS;110,A,HIS | 226,A,HIS;230,A,HIS;254,A,HIS | 226,A,HIS;230,A,HIS;255,A,HIS	mononuclear	5
A0A8A3PKD0	ok	2	0	2	FECONI;Zinc		FECONI:0.91;Zinc:0.95	88,A,HIS;118,A,HIS;310,A,HIS | 280,A,HIS;284,A,HIS;309,A,HIS;310,A,HIS	mononuclear	5
A0A8B6E8R8	ok	0	0	0					no_cu	2
A0A8B6FI79	ok	1	1	0	Copper	0.99	Copper:0.99	269,A,HIS;273,A,HIS;296,A,HIS	mononuclear	4
A0A8B8D4J3	ok	1	1	0	Copper	0.87	Copper:0.87	260,A,HIS;265,A,HIS	no_cu	2
A0A8B9AG70	ok	2	0	2	FECONI;Manganese		FECONI:1.00;Manganese:0.78	173,A,HIS;314,A,HIS;338,A,HIS | 457,A,HIS;555,A,GLU	no_cu	3
A0A8B9GJT5	ok	2	1	1	Copper;FECONI	0.94	Copper:0.94;FECONI:0.94	104,A,HIS;132,A,HIS | 281,A,HIS;285,A,HIS;308,A,HIS	mononuclear	5
A0A8C0NCZ3	ok	1	1	0	Copper	1.00	Copper:1.00	220,A,HIS;242,A,HIS;251,A,HIS	binuclear	5
A0A8H2VQV0	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.98;Copper:0.94	128,A,HIS;136,A,HIS;145,A,HIS | 274,A,HIS;299,A,HIS;300,A,HIS	mononuclear	5
A0A8H2X9J9	ok	1	0	1	FECONI		FECONI:0.99	88,A,HIS;96,A,HIS;105,A,HIS	mononuclear	5
A0A8H2XQY6	ok	1	1	0	Copper	0.85	Copper:0.85	119,A,HIS;136,A,HIS	no_cu	3
A0A8H3ANG7	ok	1	0	1	FECONI		FECONI:0.98	171,A,HIS;188,A,HIS	no_cu	3
A0A8H3BNH7	ok	1	1	0	Copper	0.95	Copper:0.95	119,A,HIS;136,A,HIS	no_cu	3
A0A8H3CDA8	ok	1	1	0	Copper	0.98	Copper:0.98	137,A,HIS;154,A,HIS	no_cu	3
A0A8H3CUW5	ok	3	1	2	Copper;FECONI;Zinc	0.96	FECONI:0.86;Zinc:0.89;Copper:0.96	61,A,HIS;89,A,HIS;98,A,HIS | 87,A,CYS;610,A,CYS;613,A,CYS | 326,A,HIS;330,A,HIS;354,A,HIS;355,A,HIS	binuclear	3
A0A8H3CZ20	ok	1	1	0	Copper	0.96	Copper:0.96	80,A,HIS;233,A,HIS	mononuclear	3
A0A8H3DH08	ok	2	1	1	Copper;Zinc	0.97	Zinc:0.90;Copper:0.97	87,A,CYS;611,A,CYS;614,A,CYS | 326,A,HIS;330,A,HIS;354,A,HIS;355,A,HIS	no_cu	3
A0A8H3DKS2	ok	2	1	1	Copper;FECONI	0.98	FECONI:0.85;Copper:0.98	357,A,HIS;361,A,HIS;385,A,HIS | 357,A,HIS;361,A,HIS;386,A,HIS	mononuclear	4
A0A8H3DR34	ok	1	1	0	Copper	0.97	Copper:0.97	119,A,HIS;136,A,HIS	no_cu	3
A0A8H3FNM0	ok	1	0	1	FECONI		FECONI:0.98	137,A,HIS;145,A,HIS;154,A,HIS	mononuclear	4
A0A8H3FR24	ok	3	1	2	Copper;FECONI;Zinc	0.98	FECONI:0.98;Zinc:0.83;Copper:0.98	80,A,HIS;105,A,HIS;114,A,HIS | 103,A,CYS;573,A,CYS;576,A,CYS | 306,A,HIS;310,A,HIS;339,A,HIS	binuclear	3
A0A8H3GJI1	ok	2	1	1	Copper;Zinc	0.89	Zinc:0.86;Copper:0.89	19,A,HIS;25,A,ASP | 119,A,HIS;136,A,HIS	no_cu	3
A0A8H3HGU7	ok	1	1	0	Copper	0.91	Copper:0.91	137,A,HIS;173,A,HIS	no_cu	3
A0A8H3I335	ok	3	1	2	Copper;FECONI;Manganese	0.82	FECONI:0.83;Manganese:0.91;Copper:0.82	141,A,HIS;158,A,HIS | 146,A,GLU;235,A,GLU;300,A,HIS | 286,A,HIS;312,A,HIS	mononuclear	4
A0A8H3IAU0	ok	1	1	0	Copper	0.98	Copper:0.98	125,A,HIS;133,A,HIS;142,A,HIS	mononuclear	5
A0A8H3IDD5	ok	1	0	1	FECONI		FECONI:0.99	126,A,HIS;134,A,HIS;143,A,HIS	mononuclear	5
A0A8H3UFY5	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.99;Copper:0.94	90,A,HIS;98,A,HIS;107,A,HIS | 247,A,HIS;272,A,HIS;273,A,HIS	mononuclear	5
A0A8H3VC67	ok	2	1	1	Copper;FECONI	0.95	FECONI:0.92;Copper:0.95	179,A,HIS;187,A,HIS;196,A,HIS | 336,A,HIS;361,A,HIS;362,A,HIS	mononuclear	5
A0A8H3W2Z1	ok	2	1	1	Copper;FECONI	0.95	FECONI:0.99;Copper:0.95	49,A,HIS;57,A,HIS;66,A,HIS | 234,A,HIS;238,A,HIS;261,A,HIS	mononuclear	5
A0A8H3W909	ok	2	0	2	FECONI		FECONI:0.95;FECONI:0.94	104,A,HIS;112,A,HIS;121,A,HIS | 258,A,HIS;283,A,HIS;284,A,HIS	mononuclear	5
A0A8H4CJG9	ok	1	1	0	Copper	0.97	Copper:0.97	279,A,HIS;283,A,HIS;307,A,HIS;308,A,HIS	mononuclear	4
A0A8H4CPR6	ok	2	1	1	Copper;FECONI	1.00	FECONI:0.87;Copper:1.00	233,A,HIS;237,A,HIS;260,A,HIS | 48,A,HIS;56,A,HIS;65,A,HIS	mononuclear	5
A0A8H4CUC1	ok	1	1	0	Copper	0.97	Copper:0.97	263,A,HIS;267,A,HIS;293,A,HIS	mononuclear	5
A0A8H4FHG1	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.94;Copper:0.94	104,A,HIS;112,A,HIS;121,A,HIS | 258,A,HIS;283,A,HIS;284,A,HIS	mononuclear	5
A0A8H4IVL2	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:1.00	62,A,HIS;72,A,HIS | 217,A,HIS;221,A,HIS;247,A,HIS	mononuclear	5
A0A8H4JDQ9	ok	2	1	1	Copper;FECONI	0.93	Copper:0.93;FECONI:0.97	39,A,HIS;47,A,HIS | 150,A,HIS;154,A,HIS;176,A,HIS;177,A,HIS	mononuclear	5
A0A8H4JHW9	ok	2	1	1	Copper;Zinc	0.92	Copper:0.92;Zinc:0.95	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A8H4QR39	ok	1	1	0	Copper	0.99	Copper:0.99	464,A,HIS;472,A,HIS;481,A,HIS	mononuclear	5
A0A8H4RK75	ok	2	0	2	FECONI;Manganese		FECONI:0.99;Manganese:0.94	129,A,HIS;137,A,HIS;146,A,HIS | 274,A,HIS;299,A,HIS;300,A,HIS	mononuclear	5
A0A8H4RXM0	ok	2	1	1	Copper;FECONI	0.99	Copper:0.99;FECONI:0.93	124,A,HIS;132,A,HIS;141,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A8H4Z0P3	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.92	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A8H4ZIX0	ok	2	1	1	Copper;FECONI	0.96	FECONI:0.95;Copper:0.96	77,A,HIS;100,A,CYS;111,A,HIS | 344,A,HIS;348,A,HIS;384,A,HIS;385,A,HIS	binuclear	5
A0A8H5AS67	ok	2	1	1	Copper;FECONI	0.96	Copper:0.96;FECONI:0.96	60,A,HIS;85,A,CYS;96,A,HIS | 259,A,HIS;263,A,HIS;287,A,HIS;288,A,HIS	binuclear	5
A0A8H5ATU2	ok	0	0	0					no_cu	3
A0A8H5EAG2	ok	2	2	0	Copper	0.96	Copper:0.91;Copper:0.96	77,A,HIS;92,A,HIS | 209,A,HIS;213,A,HIS;235,A,HIS;236,A,HIS	binuclear	5
A0A8H5GBV2	ok	2	1	1	Copper;FECONI	1.00	Copper:1.00;FECONI:0.79	65,A,HIS;86,A,HIS;95,A,HIS | 283,A,HIS;316,A,HIS;317,A,HIS	mononuclear	5
A0A8H5JRL3	ok	2	2	0	Copper	0.98	Copper:0.96;Copper:0.98	88,A,HIS;98,A,HIS | 308,A,HIS;312,A,HIS;336,A,HIS;337,A,HIS	mononuclear	5
A0A8H5MQC7	ok	2	1	1	Copper;FECONI	0.90	Copper:0.90;FECONI:0.92	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A8H5N7B6	ok	1	0	1	FECONI		FECONI:1.00	75,A,HIS;83,A,HIS;92,A,HIS	mononuclear	5
A0A8H5PBB3	ok	1	0	1	FECONI		FECONI:0.97	161,A,HIS;165,A,HIS;204,A,HIS;205,A,HIS	no_cu	4
A0A8H5PBF2	ok	1	1	0	Copper	0.98	Copper:0.98	62,A,HIS;70,A,HIS;79,A,HIS	mononuclear	5
A0A8H5Q6G5	ok	1	1	0	Copper	1.00	Copper:1.00	68,A,HIS;76,A,HIS;85,A,HIS	binuclear	5
A0A8H5TQU7	ok	2	2	0	Copper	0.96	Copper:0.95;Copper:0.96	77,A,HIS;100,A,CYS;111,A,HIS | 344,A,HIS;348,A,HIS;384,A,HIS;385,A,HIS	binuclear	5
A0A8H5UC91	ok	2	1	1	Copper;FECONI	0.99	Copper:0.99;FECONI:0.94	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A8H5V6E6	ok	2	0	2	FECONI		FECONI:0.92;FECONI:0.95	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A8H5WCB4	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:0.97	39,A,HIS;54,A,HIS | 171,A,HIS;175,A,HIS;197,A,HIS;198,A,HIS	binuclear	5
A0A8H5XW17	ok	2	0	2	FECONI		FECONI:0.98;FECONI:0.92	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A8H6A0W2	ok	0	0	0					no_cu	2
A0A8H6ANQ1	ok	1	1	0	Copper	1.00	Copper:1.00	136,A,HIS;144,A,HIS;153,A,HIS	mononuclear	4
A0A8H6FIQ4	ok	1	0	1	FECONI		FECONI:0.98	125,A,HIS;133,A,HIS;142,A,HIS	mononuclear	5
A0A8H6HT48	ok	2	1	1	Copper;FECONI	0.87	Copper:0.87;FECONI:0.96	49,A,HIS;159,A,HIS | 297,A,HIS;301,A,HIS;335,A,HIS;336,A,HIS	mononuclear	4
A0A8H6JVW5	ok	2	1	1	Copper;Zinc	0.94	Copper:0.94;Zinc:0.90	132,A,HIS;175,A,HIS | 343,A,HIS;347,A,HIS;370,A,HIS	no_cu	4
A0A8H6L0G3	ok	1	1	0	Copper	0.98	Copper:0.98	126,A,HIS;134,A,HIS;143,A,HIS	mononuclear	5
A0A8H6MKC6	ok	2	1	1	Copper;Zinc	0.89	Copper:0.89;Zinc:0.88	132,A,HIS;173,A,HIS | 358,A,HIS;362,A,HIS;385,A,HIS	no_cu	4
A0A8H6MX70	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.96	132,A,HIS;140,A,HIS;149,A,HIS | 317,A,HIS;321,A,HIS;344,A,HIS	mononuclear	5
A0A8H6N7U5	ok	2	0	2	FECONI		FECONI:0.98;FECONI:0.86	144,A,HIS;152,A,HIS;161,A,HIS | 305,A,HIS;330,A,HIS;331,A,HIS	mononuclear	5
A0A8H6S8I0	ok	3	1	2	Copper;FECONI	0.94	Copper:0.94;FECONI:0.91;FECONI:0.98	99,A,HIS;121,A,HIS | 262,A,HIS;266,A,HIS;304,A,HIS | 262,A,HIS;266,A,HIS;305,A,HIS	mononuclear	5
